season,week,player,team,weekly_yards,headshot_url,cumulative_yards
2025,8,Bo Nix,DEN,247,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",1803
2025,9,Bo Nix,DEN,173,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",1976
2025,10,Bo Nix,DEN,150,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",2126
2025,11,Bo Nix,DEN,295,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",2421
2025,13,Bo Nix,DEN,321,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",2742
2025,14,Bo Nix,DEN,212,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",2954
2025,15,Bo Nix,DEN,302,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",3256
2025,16,Bo Nix,DEN,352,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",3608
2025,17,Bo Nix,DEN,182,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",3790
2025,18,Bo Nix,DEN,141,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",3931
2025,14,Brady Cook,NYJ,163,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h8dnpq2fikpgnrnfiapx",163
2025,15,Brady Cook,NYJ,176,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h8dnpq2fikpgnrnfiapx",339
2025,16,Brady Cook,NYJ,188,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h8dnpq2fikpgnrnfiapx",527
2025,17,Brady Cook,NYJ,152,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h8dnpq2fikpgnrnfiapx",679
2025,18,Brady Cook,NYJ,60,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h8dnpq2fikpgnrnfiapx",739
2025,18,Brandon Allen,TEN,72,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cz7oluypd7ahkdrr8net",72
2025,8,Breece Hall,NYJ,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3dviruymtm2wl2zcpmr",4
2025,1,Brock Purdy,SF,277,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",277
2025,4,Brock Purdy,SF,309,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",586
2025,11,Brock Purdy,SF,200,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",786
2025,12,Brock Purdy,SF,193,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",979
2025,13,Brock Purdy,SF,168,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",1147
2025,15,Brock Purdy,SF,295,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",1442
2025,16,Brock Purdy,SF,295,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",1737
2025,17,Brock Purdy,SF,303,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",2040
2025,18,Brock Purdy,SF,127,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",2167
2025,1,Bryce Young,CAR,154,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",154
2025,2,Bryce Young,CAR,328,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",482
2025,3,Bryce Young,CAR,121,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",603
2025,4,Bryce Young,CAR,150,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",753
2025,5,Bryce Young,CAR,198,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",951
2025,6,Bryce Young,CAR,199,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",1150
2025,7,Bryce Young,CAR,138,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",1288
2025,9,Bryce Young,CAR,102,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",1390
2025,10,Bryce Young,CAR,124,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",1514
2025,11,Bryce Young,CAR,448,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",1962
2025,12,Bryce Young,CAR,169,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",2131
2025,13,Bryce Young,CAR,206,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",2337
2025,15,Bryce Young,CAR,163,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",2500
2025,16,Bryce Young,CAR,191,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",2691
2025,17,Bryce Young,CAR,54,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",2745
2025,18,Bryce Young,CAR,266,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",3011
2025,1,C.J. Stroud,HOU,188,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",188
2025,2,C.J. Stroud,HOU,207,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",395
2025,3,C.J. Stroud,HOU,204,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",599
2025,4,C.J. Stroud,HOU,233,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",832
2025,5,C.J. Stroud,HOU,244,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",1076
2025,7,C.J. Stroud,HOU,229,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",1305
2025,8,C.J. Stroud,HOU,318,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",1623
2025,9,C.J. Stroud,HOU,79,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",1702
2025,13,C.J. Stroud,HOU,276,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",1978
2025,14,C.J. Stroud,HOU,203,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",2181
2025,15,C.J. Stroud,HOU,260,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",2441
2025,16,C.J. Stroud,HOU,187,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",2628
2025,17,C.J. Stroud,HOU,244,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",2872
2025,18,C.J. Stroud,HOU,169,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",3041
2025,1,Caleb Williams,CHI,210,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",210
2025,2,Caleb Williams,CHI,207,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",417
