season,week,player,team,weekly_yards,cumulative_yards
2025,4,Cooper Rush,BAL,52,52
2025,5,Cooper Rush,BAL,179,231
2025,6,Cooper Rush,BAL,72,303
2025,9,DJ Moore,CHI,2,2
2025,1,Dak Prescott,DAL,188,188
2025,2,Dak Prescott,DAL,361,549
2025,3,Dak Prescott,DAL,251,800
2025,4,Dak Prescott,DAL,319,1119
2025,5,Dak Prescott,DAL,237,1356
2025,6,Dak Prescott,DAL,261,1617
2025,7,Dak Prescott,DAL,264,1881
2025,8,Dak Prescott,DAL,188,2069
2025,9,Dak Prescott,DAL,250,2319
2025,11,Dak Prescott,DAL,268,2587
2025,12,Dak Prescott,DAL,354,2941
2025,13,Dak Prescott,DAL,320,3261
2025,14,Dak Prescott,DAL,376,3637
2025,15,Dak Prescott,DAL,294,3931
2025,16,Dak Prescott,DAL,244,4175
2025,17,Dak Prescott,DAL,307,4482
2025,18,Dak Prescott,DAL,70,4552
2025,1,Daniel Jones,IND,272,272
2025,2,Daniel Jones,IND,316,588
2025,3,Daniel Jones,IND,228,816
2025,4,Daniel Jones,IND,262,1078
2025,5,Daniel Jones,IND,212,1290
2025,6,Daniel Jones,IND,212,1502
2025,7,Daniel Jones,IND,288,1790
2025,8,Daniel Jones,IND,272,2062
2025,9,Daniel Jones,IND,342,2404
2025,10,Daniel Jones,IND,255,2659
2025,12,Daniel Jones,IND,181,2840
2025,13,Daniel Jones,IND,201,3041
2025,14,Daniel Jones,IND,60,3101
2025,5,David Montgomery,DET,3,3
2025,5,Davis Mills,HOU,23,23
2025,9,Davis Mills,HOU,137,160
2025,10,Davis Mills,HOU,292,452
2025,11,Davis Mills,HOU,274,726
2025,12,Davis Mills,HOU,153,879
2025,18,Davis Mills,HOU,36,915
2025,2,Dillon Gabriel,CLE,19,19
2025,5,Dillon Gabriel,CLE,190,209
2025,6,Dillon Gabriel,CLE,221,430
2025,7,Dillon Gabriel,CLE,116,546
2025,8,Dillon Gabriel,CLE,156,702
2025,10,Dillon Gabriel,CLE,167,869
2025,11,Dillon Gabriel,CLE,68,937
2025,1,Drake Maye,NE,287,287
2025,2,Drake Maye,NE,230,517
2025,3,Drake Maye,NE,268,785
2025,4,Drake Maye,NE,203,988
2025,5,Drake Maye,NE,273,1261
2025,6,Drake Maye,NE,261,1522
2025,7,Drake Maye,NE,222,1744
2025,8,Drake Maye,NE,282,2026
2025,9,Drake Maye,NE,259,2285
2025,10,Drake Maye,NE,270,2555
2025,11,Drake Maye,NE,281,2836
2025,12,Drake Maye,NE,294,3130
2025,13,Drake Maye,NE,282,3412
2025,15,Drake Maye,NE,155,3567
2025,16,Drake Maye,NE,380,3947
2025,17,Drake Maye,NE,256,4203
2025,18,Drake Maye,NE,191,4394
2025,3,Drew Lock,SEA,15,15
2025,15,Gardner Minshew,KC,22,22
2025,16,Gardner Minshew,KC,15,37
2025,1,Geno Smith,LV,362,362
2025,2,Geno Smith,LV,180,542
2025,3,Geno Smith,LV,289,831
2025,4,Geno Smith,LV,117,948
2025,5,Geno Smith,LV,228,1176
2025,6,Geno Smith,LV,174,1350
2025,7,Geno Smith,LV,67,1417
2025,9,Geno Smith,LV,284,1701
2025,10,Geno Smith,LV,143,1844
2025,11,Geno Smith,LV,238,2082
2025,12,Geno Smith,LV,285,2367
2025,13,Geno Smith,LV,165,2532
2025,14,Geno Smith,LV,116,2648
2025,16,Geno Smith,LV,201,2849
2025,17,Geno Smith,LV,176,3025
2025,12,Gunner Olszewski,NYG,33,33
2025,1,J.J. McCarthy,MIN,143,143
2025,2,J.J. McCarthy,MIN,158,301
2025,9,J.J. McCarthy,MIN,143,444
2025,10,J.J. McCarthy,MIN,248,692
2025,11,J.J. McCarthy,MIN,150,842
2025,12,J.J. McCarthy,MIN,87,929
2025,14,J.J. McCarthy,MIN,163,1092
2025,15,J.J. McCarthy,MIN,250,1342
2025,16,J.J. McCarthy,MIN,108,1450
2025,18,J.J. McCarthy,MIN,182,1632
2025,6,Jacoby Brissett,ARI,320,320
2025,7,Jacoby Brissett,ARI,279,599
2025,9,Jacoby Brissett,ARI,261,860
2025,10,Jacoby Brissett,ARI,258,1118
2025,11,Jacoby Brissett,ARI,452,1570
2025,12,Jacoby Brissett,ARI,317,1887
2025,13,Jacoby Brissett,ARI,301,2188
2025,14,Jacoby Brissett,ARI,271,2459
2025,15,Jacoby Brissett,ARI,249,2708
2025,16,Jacoby Brissett,ARI,203,2911
2025,17,Jacoby Brissett,ARI,212,3123
2025,18,Jacoby Brissett,ARI,243,3366
2025,2,Jake Browning,CIN,241,241
2025,3,Jake Browning,CIN,140,381
2025,4,Jake Browning,CIN,125,506
2025,5,Jake Browning,CIN,251,757
2025,12,Jake Browning,CIN,14,771
2025,1,Jalen Hurts,PHI,152,152
2025,2,Jalen Hurts,PHI,101,253
2025,3,Jalen Hurts,PHI,226,479
2025,4,Jalen Hurts,PHI,130,609
2025,5,Jalen Hurts,PHI,280,889
2025,6,Jalen Hurts,PHI,283,1172
2025,7,Jalen Hurts,PHI,326,1498
2025,8,Jalen Hurts,PHI,179,1677
2025,10,Jalen Hurts,PHI,183,1860
2025,11,Jalen Hurts,PHI,135,1995
2025,12,Jalen Hurts,PHI,289,2284
2025,13,Jalen Hurts,PHI,230,2514
2025,14,Jalen Hurts,PHI,240,2754
2025,15,Jalen Hurts,PHI,175,2929
2025,16,Jalen Hurts,PHI,185,3114
2025,17,Jalen Hurts,PHI,110,3224
2025,11,Jameis Winston,NYG,201,201
2025,12,Jameis Winston,NYG,366,567
2025,1,Jared Goff,DET,225,225
2025,2,Jared Goff,DET,334,559
2025,3,Jared Goff,DET,202,761
2025,4,Jared Goff,DET,168,929
2025,5,Jared Goff,DET,258,1187
2025,6,Jared Goff,DET,203,1390
2025,7,Jared Goff,DET,241,1631
2025,9,Jared Goff,DET,284,1915
2025,10,Jared Goff,DET,320,2235
2025,11,Jared Goff,DET,255,2490
2025,12,Jared Goff,DET,279,2769
2025,13,Jared Goff,DET,256,3025
2025,14,Jared Goff,DET,309,3334
2025,15,Jared Goff,DET,338,3672
2025,16,Jared Goff,DET,364,4036
2025,17,Jared Goff,DET,197,4233
2025,18,Jared Goff,DET,331,4564
2025,4,Jaxson Dart,NYG,111,111
2025,5,Jaxson Dart,NYG,202,313
2025,6,Jaxson Dart,NYG,195,508
2025,7,Jaxson Dart,NYG,283,791
2025,8,Jaxson Dart,NYG,193,984
2025,9,Jaxson Dart,NYG,191,1175
2025,10,Jaxson Dart,NYG,242,1417
2025,13,Jaxson Dart,NYG,139,1556
2025,15,Jaxson Dart,NYG,246,1802
2025,16,Jaxson Dart,NYG,33,1835
2025,17,Jaxson Dart,NYG,207,2042
2025,18,Jaxson Dart,NYG,230,2272
2025,1,Jayden Daniels,WAS,233,233
2025,2,Jayden Daniels,WAS,200,433
2025,5,Jayden Daniels,WAS,231,664
2025,6,Jayden Daniels,WAS,211,875
2025,7,Jayden Daniels,WAS,156,1031
2025,9,Jayden Daniels,WAS,153,1184
2025,14,Jayden Daniels,WAS,78,1262
2025,6,Jaylen Waddle,MIA,8,8
2025,1,Joe Burrow,CIN,113,113
2025,2,Joe Burrow,CIN,76,189
2025,13,Joe Burrow,CIN,261,450
2025,14,Joe Burrow,CIN,284,734
2025,15,Joe Burrow,CIN,225,959
2025,16,Joe Burrow,CIN,309,1268
2025,17,Joe Burrow,CIN,305,1573
2025,18,Joe Burrow,CIN,236,1809
2025,1,Joe Flacco,CLE,290,290
2025,2,Joe Flacco,CLE,199,489
2025,3,Joe Flacco,CLE,142,631
2025,4,Joe Flacco,CLE,184,815
2025,6,Joe Flacco,CIN,219,1034
2025,7,Joe Flacco,CIN,342,1376
2025,8,Joe Flacco,CIN,223,1599
2025,9,Joe Flacco,CIN,470,2069
2025,11,Joe Flacco,CIN,199,2268
2025,12,Joe Flacco,CIN,183,2451
2025,16,Joe Flacco,CIN,4,2455
2025,17,Joe Flacco,CIN,24,2479
2025,3,Joe Milton III,DAL,41,41
2025,8,Joe Milton III,DAL,58,99
2025,16,Joe Milton III,DAL,11,110
2025,18,Joe Milton III,DAL,73,183
2025,1,Jordan Love,GB,188,188
2025,2,Jordan Love,GB,292,480
2025,3,Jordan Love,GB,183,663
2025,4,Jordan Love,GB,337,1000
2025,6,Jordan Love,GB,259,1259
2025,7,Jordan Love,GB,179,1438
2025,8,Jordan Love,GB,360,1798
2025,9,Jordan Love,GB,273,2071
2025,10,Jordan Love,GB,176,2247
2025,11,Jordan Love,GB,174,2421
2025,12,Jordan Love,GB,139,2560
2025,13,Jordan Love,GB,234,2794
