time,player,team,value
1986,Jeff Kemp,SFO,3949.0
1987,Jeff Kemp,SEA,4345.0
1988,Jeff Kemp,SEA,4477.0
1991,Jeff Kemp,2TM,6230.0
1991,Jeff Kemp,SEA,7437.0
1991,Jeff Kemp,PHI,7983.0
1980,Jeff Knapple,DEN,15.0
1979,Jeff Komlo,DET,2238.0
1980,Jeff Komlo,DET,2264.0
1981,Jeff Komlo,DET,2554.0
1983,Jeff Komlo,TAM,2603.0
1996,Jeff Lewis,DEN,58.0
1997,Jeff Lewis,DEN,79.0
1999,Jeff Lewis,CAR,90.0
2000,Jeff Lewis,CAR,210.0
1979,Jeff Rutledge,RAM,125.0
1980,Jeff Rutledge,RAM,151.0
1981,Jeff Rutledge,RAM,593.0
1983,Jeff Rutledge,NYG,1801.0
1984,Jeff Rutledge,NYG,1810.0
1986,Jeff Rutledge,NYG,1823.0
1987,Jeff Rutledge,NYG,2871.0
1988,Jeff Rutledge,NYG,2984.0
1990,Jeff Rutledge,WAS,3439.0
1991,Jeff Rutledge,WAS,3628.0
2013,Jeff Tuel,BUF,309.0
1987,Jeff Van Raaphorst,ATL,174.0
1977,Jerry Golsteyn,NYG,416.0
1978,Jerry Golsteyn,NYG,526.0
1979,Jerry Golsteyn,DET,542.0
1982,Jerry Golsteyn,TAM,542.0
1983,Jerry Golsteyn,TAM,1077.0
1956,Jerry Reichow,DET,19.0
1965,Jerry Rhome,DAL,157.0
1966,Jerry Rhome,DAL,410.0
1967,Jerry Rhome,DAL,496.0
1969,Jerry Rhome,CLE,531.0
1970,Jerry Rhome,HOU,1562.0
1971,Jerry Rhome,RAM,1628.0
1972,Jerry Tagge,GNB,154.0
1973,Jerry Tagge,GNB,874.0
1974,Jerry Tagge,GNB,1583.0
1974,Jesse Freitas,SDG,719.0
1975,Jesse Freitas,SDG,1244.0
2002,Jesse Palmer,NYG,30.0
2003,Jesse Palmer,NYG,562.0
1983,Jim Bob Taylor,BAL,20.0
1987,Jim Crocicchia,NYG,89.0
1972,Jim Del Gaizo,MIA,165.0
1973,Jim Del Gaizo,GNB,483.0
1974,Jim Del Gaizo,NYG,648.0
1997,Jim Druckenmiller,SFO,239.0
1986,Jim Everett,RAM,1018.0
1987,Jim Everett,RAM,3082.0
1988,Jim Everett,RAM,7046.0
1989,Jim Everett,RAM,11356.0
1990,Jim Everett,RAM,15345.0
1991,Jim Everett,RAM,18783.0
1992,Jim Everett,RAM,22106.0
1993,Jim Everett,RAM,23758.0
1994,Jim Everett,NOR,27613.0
1995,Jim Everett,NOR,31583.0
1996,Jim Everett,NOR,34380.0
1997,Jim Everett,SDG,34837.0
1952,Jim Finks,PIT,2307.0
1953,Jim Finks,PIT,3791.0
1954,Jim Finks,PIT,5794.0
1955,Jim Finks,PIT,8064.0
1956,Jim Haluska,CHI,8.0
1987,Jim Harbaugh,CHI,62.0
1988,Jim Harbaugh,CHI,576.0
1989,Jim Harbaugh,CHI,1780.0
1990,Jim Harbaugh,CHI,3958.0
1991,Jim Harbaugh,CHI,7079.0
1992,Jim Harbaugh,CHI,9565.0
1993,Jim Harbaugh,CHI,11567.0
1994,Jim Harbaugh,IND,13007.0
1995,Jim Harbaugh,IND,15582.0
1996,Jim Harbaugh,IND,18212.0
1997,Jim Harbaugh,IND,20272.0
1998,Jim Harbaugh,BAL,22111.0
1999,Jim Harbaugh,SD,24872.0
2000,Jim Harbaugh,SD,26288.0
1950,Jim Hardy,CRD,1636.0
1951,Jim Hardy,CRD,3272.0
1952,Jim Hardy,DET,3706.0
1966,Jim Hart,STL,29.0
1967,Jim Hart,STL,3037.0
1968,Jim Hart,STL,5096.0
1969,Jim Hart,STL,6182.0
1970,Jim Hart,STL,8757.0
1971,Jim Hart,STL,10383.0
1972,Jim Hart,STL,11240.0
1973,Jim Hart,STL,13463.0
1974,Jim Hart,STL,15874.0
1975,Jim Hart,STL,18381.0
1976,Jim Hart,STL,21327.0
1977,Jim Hart,STL,23869.0
1978,Jim Hart,STL,26990.0
1979,Jim Hart,STL,29208.0
1980,Jim Hart,STL,32154.0
1981,Jim Hart,STL,33848.0
1982,Jim Hart,STL,34047.0
1983,Jim Hart,STL,34639.0
1984,Jim Hart,WAS,34665.0
1986,Jim Kelly,BUF,3593.0
1987,Jim Kelly,BUF,6391.0
1988,Jim Kelly,BUF,9771.0
1989,Jim Kelly,BUF,12901.0
1990,Jim Kelly,BUF,15730.0
1991,Jim Kelly,BUF,19574.0
1992,Jim Kelly,BUF,23031.0
1993,Jim Kelly,BUF,26413.0
1994,Jim Kelly,BUF,29527.0
1995,Jim Kelly,BUF,32657.0
1996,Jim Kelly,BUF,35467.0
1982,Jim McMahon,CHI,1501.0
1983,Jim McMahon,CHI,3685.0
1984,Jim McMahon,CHI,4831.0
1985,Jim McMahon,CHI,7223.0
1986,Jim McMahon,CHI,8218.0
1987,Jim McMahon,CHI,9857.0
1988,Jim McMahon,CHI,11203.0
1989,Jim McMahon,SDG,13335.0
1990,Jim McMahon,PHI,13398.0
1991,Jim McMahon,PHI,15637.0
1992,Jim McMahon,PHI,15916.0
1993,Jim McMahon,MIN,17884.0
1994,Jim McMahon,ARI,18103.0
1995,Jim McMahon,GNB,18109.0
1996,Jim McMahon,GNB,18148.0
1995,Jim Miller,PIT,397.0
1996,Jim Miller,PIT,520.0
1999,Jim Miller,CHI,1762.0
2000,Jim Miller,CHI,2144.0
2001,Jim Miller,CHI,4443.0
2002,Jim Miller,CHI,6387.0
1958,Jim Ninowski,CLE,139.0
1959,Jim Ninowski,CLE,180.0
1960,Jim Ninowski,DET,1779.0
1961,Jim Ninowski,DET,3700.0
1962,Jim Ninowski,CLE,4878.0
1963,Jim Ninowski,CLE,5301.0
1964,Jim Ninowski,CLE,5426.0
1965,Jim Ninowski,CLE,5975.0
1966,Jim Ninowski,CLE,6150.0
1967,Jim Ninowski,WAS,6273.0
1968,Jim Ninowski,WAS,6906.0
1969,Jim Ninowski,NOR,7133.0
1971,Jim Plunkett,NWE,2158.0
1972,Jim Plunkett,NWE,4354.0
1973,Jim Plunkett,NWE,6904.0
1974,Jim Plunkett,NWE,9361.0
1975,Jim Plunkett,NWE,9932.0
1976,Jim Plunkett,SFO,11524.0
1977,Jim Plunkett,SFO,13217.0
1979,Jim Plunkett,OAK,13306.0
1980,Jim Plunkett,OAK,15605.0
1981,Jim Plunkett,OAK,16650.0
1982,Jim Plunkett,RAI,18685.0
1983,Jim Plunkett,RAI,21620.0
1984,Jim Plunkett,RAI,23093.0
1985,Jim Plunkett,RAI,23896.0
1986,Jim Plunkett,RAI,25882.0
1953,Jim Powers,SFO,259.0
1953,Jim Root,CRD,1149.0
1956,Jim Root,CRD,1482.0
2004,Jim Sorgi,IND,175.0
2005,Jim Sorgi,IND,619.0
2007,Jim Sorgi,IND,751.0
2008,Jim Sorgi,IND,929.0
1967,Jim Ward,BAL,115.0
1968,Jim Ward,BAL,161.0
1971,Jim Ward,PHI,165.0
1976,Jim Zorn,SEA,2571.0
1977,Jim Zorn,SEA,4258.0
1978,Jim Zorn,SEA,7541.0
1979,Jim Zorn,SEA,11202.0
1980,Jim Zorn,SEA,14548.0
1981,Jim Zorn,SEA,17336.0
1982,Jim Zorn,SEA,18876.0
1983,Jim Zorn,SEA,20042.0
1984,Jim Zorn,SEA,20122.0
1985,Jim Zorn,GNB,20916.0
1987,Jim Zorn,TAM,21115.0
2010,Jimmy Clausen,CAR,1558.0
2014,Jimmy Clausen,CHI,1781.0
2015,Jimmy Clausen,BAL,2520.0
2014,Jimmy Garoppolo,NE,182.0
2015,Jimmy Garoppolo,NE,188.0
2016,Jimmy Garoppolo,NE,690.0
2017,Jimmy Garoppolo,SF,2250.0
2018,Jimmy Garoppolo,SF,2968.0
2019,Jimmy Garoppolo,SF,6946.0
2020,Jimmy Garoppolo,SF,8042.0
2021,Jimmy Garoppolo,SF,11852.0
2022,Jimmy Garoppolo,SF,14289.0
2023,Jimmy Garoppolo,LV,15494.0
2024,Jimmy Garoppolo,LA,15828.0
1974,Joe Barnes,CHI,29.0
2020,Joe Burrow,CIN,2688.0
2021,Joe Burrow,CIN,7299.0
2022,Joe Burrow,CIN,11774.0
2023,Joe Burrow,CIN,14083.0
2024,Joe Burrow,CIN,19001.0
2017,Joe Callahan,GB,11.0
1984,Joe Dufek,BUF,829.0
1973,Joe Ferguson,BUF,939.0
1974,Joe Ferguson,BUF,2527.0
1975,Joe Ferguson,BUF,4953.0
1976,Joe Ferguson,BUF,6039.0
1977,Joe Ferguson,BUF,8842.0
1978,Joe Ferguson,BUF,10978.0
1979,Joe Ferguson,BUF,14550.0
1980,Joe Ferguson,BUF,17355.0
1981,Joe Ferguson,BUF,21007.0
1982,Joe Ferguson,BUF,22604.0
1983,Joe Ferguson,BUF,25599.0
1984,Joe Ferguson,BUF,27590.0
1985,Joe Ferguson,DET,27954.0
1986,Joe Ferguson,DET,28895.0
1988,Joe Ferguson,TAM,29263.0
1989,Joe Ferguson,TAM,29796.0
1990,Joe Ferguson,IND,29817.0
2008,Joe Flacco,BAL,2971.0
2009,Joe Flacco,BAL,6584.0
2010,Joe Flacco,BAL,10206.0
2011,Joe Flacco,BAL,13816.0
2012,Joe Flacco,BAL,17633.0
2013,Joe Flacco,BAL,21545.0
2014,Joe Flacco,BAL,25531.0
2015,Joe Flacco,BAL,28322.0
2016,Joe Flacco,BAL,32639.0
2017,Joe Flacco,BAL,35780.0
2018,Joe Flacco,BAL,38245.0
2019,Joe Flacco,DEN,40067.0
2020,Joe Flacco,NYJ,40931.0
2021,Joe Flacco,NYJ,41269.0
2022,Joe Flacco,NYJ,42320.0
2023,Joe Flacco,CLE,43936.0
2024,Joe Flacco,IND,45697.0
1958,Joe Francis,GNB,175.0
1959,Joe Francis,GNB,266.0
1999,Joe Germaine,STL,136.0
1972,Joe Gilliam,PIT,48.0
1973,Joe Gilliam,PIT,379.0
1974,Joe Gilliam,PIT,1653.0
1975,Joe Gilliam,PIT,2103.0
2000,Joe Hamilton,TB,0.0
1967,Joe Kapp,MIN,1386.0
1968,Joe Kapp,MIN,3081.0
1969,Joe Kapp,MIN,4807.0
1970,Joe Kapp,BOS,5911.0
2024,Joe Milton III,NE,241.0
1979,Joe Montana,SFO,96.0
1980,Joe Montana,SFO,1891.0
1981,Joe Montana,SFO,5456.0
1982,Joe Montana,SFO,8069.0
1983,Joe Montana,SFO,11979.0
1984,Joe Montana,SFO,15609.0
1985,Joe Montana,SFO,19262.0
1986,Joe Montana,SFO,21498.0
1987,Joe Montana,SFO,24552.0
1988,Joe Montana,SFO,27533.0
1989,Joe Montana,SFO,31054.0
1990,Joe Montana,SFO,34998.0
1992,Joe Montana,SFO,35124.0
1993,Joe Montana,KAN,37268.0
1994,Joe Montana,KAN,40551.0
1970,Joe Namath,NYJ,1259.0
1971,Joe Namath,NYJ,1796.0
1972,Joe Namath,NYJ,4612.0
1973,Joe Namath,NYJ,5578.0
1974,Joe Namath,NYJ,8194.0
1975,Joe Namath,NYJ,10480.0
1976,Joe Namath,NYJ,11570.0
1977,Joe Namath,RAM,12176.0
1977,Joe Pisarcik,NYG,1346.0
1978,Joe Pisarcik,NYG,3442.0
1979,Joe Pisarcik,NYG,3979.0
1980,Joe Pisarcik,PHI,4166.0
1981,Joe Pisarcik,PHI,4320.0
1982,Joe Pisarcik,PHI,4344.0
1983,Joe Pisarcik,PHI,4516.0
1984,Joe Pisarcik,PHI,5552.0
1973,Joe Reed,SFO,589.0
1974,Joe Reed,SFO,905.0
1975,Joe Reed,DET,2086.0
1976,Joe Reed,DET,2511.0
1977,Joe Reed,DET,2661.0
1979,Joe Reed,DET,2825.0
1974,Joe Theismann,WAS,145.0
1975,Joe Theismann,WAS,241.0
1976,Joe Theismann,WAS,1277.0
1977,Joe Theismann,WAS,2374.0
1978,Joe Theismann,WAS,4967.0
1979,Joe Theismann,WAS,7764.0
1980,Joe Theismann,WAS,10726.0
1981,Joe Theismann,WAS,14294.0
1982,Joe Theismann,WAS,16327.0
1983,Joe Theismann,WAS,20041.0
1984,Joe Theismann,WAS,23432.0
1985,Joe Theismann,WAS,25206.0
2010,Joe Webb,MIN,477.0
2011,Joe Webb,MIN,853.0
2012,Joe Webb,MIN,853.0
2013,Joe Webb,MIN,853.0
2014,Joe Webb,CAR,853.0
2015,Joe Webb,CAR,853.0
2016,Joe Webb,CAR,853.0
2017,Joe Webb,BUF,888.0
2018,Joe Webb,HOU,888.0
2020,Joe Webb,NYG,888.0
2002,Joey Harrington,DET,2294.0
2003,Joey Harrington,DET,5174.0
2004,Joey Harrington,DET,8221.0
2005,Joey Harrington,DET,10242.0
2006,Joey Harrington,MIA,12478.0
2007,Joey Harrington,ATL,14693.0
2007,John Beck,MIA,559.0
2011,John Beck,WAS,1417.0
1957,John Borton,CLE,22.0
1957,John Brodie,SFO,160.0
1958,John Brodie,SFO,1384.0
1959,John Brodie,SFO,1738.0
1960,John Brodie,SFO,2849.0
1961,John Brodie,SFO,5437.0
1962,John Brodie,SFO,7709.0
1963,John Brodie,SFO,8076.0
1964,John Brodie,SFO,10574.0
1965,John Brodie,SFO,13686.0
1966,John Brodie,SFO,16496.0
1967,John Brodie,SFO,18509.0
1968,John Brodie,SFO,21529.0
1969,John Brodie,SFO,23934.0
1970,John Brodie,SFO,26875.0
1971,John Brodie,SFO,29517.0
1972,John Brodie,SFO,30422.0
1973,John Brodie,SFO,31548.0
1983,John Elway,DEN,1663.0
1984,John Elway,DEN,4261.0
1985,John Elway,DEN,8152.0
1986,John Elway,DEN,11637.0
1987,John Elway,DEN,14835.0
1988,John Elway,DEN,18144.0
1989,John Elway,DEN,21195.0
1990,John Elway,DEN,24721.0
1991,John Elway,DEN,27974.0
1992,John Elway,DEN,30216.0
1993,John Elway,DEN,34246.0
1994,John Elway,DEN,37736.0
1995,John Elway,DEN,41706.0
1996,John Elway,DEN,45034.0
1997,John Elway,DEN,48669.0
1998,John Elway,DEN,51475.0
1987,John Fourcade,NOR,597.0
1988,John Fourcade,NOR,597.0
1989,John Fourcade,NOR,1527.0
1990,John Fourcade,NOR,2312.0
1990,John Friesz,SDG,98.0
1991,John Friesz,SDG,2994.0
1993,John Friesz,SDG,4396.0
1994,John Friesz,WAS,5662.0
1995,John Friesz,SEA,6457.0
1996,John Friesz,SEA,8086.0
1997,John Friesz,SEA,8224.0
1998,John Friesz,SEA,8633.0
1999,John Friesz,NE,8633.0
2000,John Friesz,NE,8699.0
1970,John Hadl,SDG,2388.0
1971,John Hadl,SDG,5463.0
1972,John Hadl,SDG,7912.0
1973,John Hadl,RAM,9920.0
1974,John Hadl,2TM,11672.0
1974,John Hadl,RAM,12352.0
1974,John Hadl,GNB,13424.0
1975,John Hadl,GNB,15519.0
1976,John Hadl,HOU,16153.0
1977,John Hadl,HOU,16229.0
1968,John Huarte,PHI,110.0
1970,John Huarte,KAN,110.0
1971,John Huarte,KAN,128.0
1972,John Huarte,CHI,142.0
1974,John Hufnagel,DEN,70.0
1975,John Hufnagel,DEN,357.0
1962,John McCormick,MIN,104.0
2004,John Navarre,ARI,168.0
2005,John Navarre,ARI,342.0
1950,John Rauch,NYY,502.0
1951,John Rauch,NYY,1004.0
1972,John Reaves,PHI,1508.0
1973,John Reaves,PHI,1525.0
1974,John Reaves,PHI,1609.0
1975,John Reaves,CIN,1906.0
1976,John Reaves,CIN,1982.0
1977,John Reaves,CIN,2365.0
1978,John Reaves,CIN,3155.0
1981,John Reaves,HOU,3534.0
1987,John Reaves,TAM,3617.0
1959,John Roach,CRD,340.0
1960,John Roach,STL,1763.0
1961,John Roach,GNB,1763.0
1962,John Roach,GNB,1796.0
1963,John Roach,GNB,2416.0
1964,John Roach,DAL,2765.0
2010,John Skelton,ARI,662.0
2011,John Skelton,ARI,2575.0
2012,John Skelton,ARI,3707.0
1970,John Stofa,MIA,240.0
1976,John Walton,PHI,125.0
1978,John Walton,PHI,125.0
1979,John Walton,PHI,338.0
1984,John Witkowski,DET,210.0
1988,John Witkowski,DET,210.0
2020,John Wolford,LA,231.0
2021,John Wolford,LA,236.0
2022,John Wolford,LA,626.0
1950,Johnny Lujack,CHI,1731.0
1951,Johnny Lujack,CHI,3462.0
2014,Johnny Manziel,CLE,175.0
2015,Johnny Manziel,CLE,1675.0
1956,Johnny Unitas,BAL,1498.0
1957,Johnny Unitas,BAL,4048.0
1958,Johnny Unitas,BAL,6055.0
1959,Johnny Unitas,BAL,8954.0
1960,Johnny Unitas,BAL,12053.0
1961,Johnny Unitas,BAL,15043.0
1962,Johnny Unitas,BAL,18010.0
1963,Johnny Unitas,BAL,21491.0
1964,Johnny Unitas,BAL,24315.0
1965,Johnny Unitas,BAL,26845.0
1966,Johnny Unitas,BAL,29593.0
1967,Johnny Unitas,BAL,33021.0
1968,Johnny Unitas,BAL,33160.0
1969,Johnny Unitas,BAL,35502.0
1970,Johnny Unitas,BAL,37715.0
1971,Johnny Unitas,BAL,38657.0
1972,Johnny Unitas,BAL,39768.0
1973,Johnny Unitas,SDG,40239.0
1997,Jon Kitna,SEA,371.0
1998,Jon Kitna,SEA,1548.0
1999,Jon Kitna,SEA,4894.0
2000,Jon Kitna,SEA,7552.0
2001,Jon Kitna,CIN,10768.0
2002,Jon Kitna,CIN,13946.0
2003,Jon Kitna,CIN,17551.0
2004,Jon Kitna,CIN,18174.0
2005,Jon Kitna,CIN,18273.0
2006,Jon Kitna,DET,22481.0
2007,Jon Kitna,DET,26547.0
2008,Jon Kitna,DET,27305.0
2010,Jon Kitna,DAL,29670.0
2011,Jon Kitna,DAL,29757.0
1998,Jonathan Quinn,JAX,387.0
2000,Jonathan Quinn,JAX,387.0
2001,Jonathan Quinn,JAC,748.0
2002,Jonathan Quinn,KC,748.0
2004,Jonathan Quinn,CHI,1161.0
2021,Jordan Love,GB,411.0
2022,Jordan Love,GB,606.0
2023,Jordan Love,GB,4765.0
2024,Jordan Love,GB,8154.0
2008,Jordan Palmer,CIN,41.0
2010,Jordan Palmer,CIN,59.0
2014,Jordan Palmer,TEN,66.0
2018,Josh Allen,BUF,2044.0
2019,Josh Allen,BUF,5133.0
2020,Josh Allen,BUF,9677.0
2021,Josh Allen,BUF,14084.0
2022,Josh Allen,BUF,18367.0
2023,Josh Allen,BUF,22673.0
2024,Josh Allen,BUF,26404.0
2009,Josh Freeman,TB,1857.0
2010,Josh Freeman,TB,5308.0
2011,Josh Freeman,TB,8900.0
2012,Josh Freeman,TB,12965.0
2013,Josh Freeman,MIN,13726.0
2015,Josh Freeman,IND,13875.0
2009,Josh Johnson,TB,685.0
2010,Josh Johnson,TB,796.0
2011,Josh Johnson,TB,1042.0
2012,Josh Johnson,CLE,1042.0
2013,Josh Johnson,CIN,1042.0
2018,Josh Johnson,WAS,1632.0
2021,Josh Johnson,BAL,2270.0
2022,Josh Johnson,SF,2280.0
2024,Josh Johnson,BAL,2297.0
2002,Josh McCown,ARI,66.0
2003,Josh McCown,ARI,1084.0
2004,Josh McCown,ARI,3595.0
2005,Josh McCown,ARI,5427.0
2006,Josh McCown,DET,5427.0
2007,Josh McCown,LV,6578.0
2008,Josh McCown,CAR,6578.0
2009,Josh McCown,CAR,6580.0
2011,Josh McCown,CHI,6994.0
2013,Josh McCown,CHI,8823.0
2014,Josh McCown,TB,11029.0
2015,Josh McCown,CLE,13138.0
2016,Josh McCown,CLE,14238.0
2017,Josh McCown,NYJ,17164.0
2018,Josh McCown,NYJ,17703.0
2019,Josh McCown,PHI,17727.0
2018,Josh Rosen,ARI,2278.0
2019,Josh Rosen,MIA,2845.0
2021,Josh Rosen,ATL,2864.0
2018,Joshua Dobbs,PIT,43.0
2020,Joshua Dobbs,PIT,45.0
2022,Joshua Dobbs,TEN,456.0
2023,Joshua Dobbs,MIN,2920.0
2024,Joshua Dobbs,SF,3281.0
1977,June Jones,ATL,-1.0
1978,June Jones,ATL,393.0
1979,June Jones,ATL,898.0
1981,June Jones,ATL,923.0
2021,Justin Fields,CHI,1870.0
2022,Justin Fields,CHI,4112.0
2023,Justin Fields,CHI,6674.0
2024,Justin Fields,PIT,7780.0
2020,Justin Herbert,LAC,4336.0
2021,Justin Herbert,LAC,9350.0
2022,Justin Herbert,LAC,14089.0
2023,Justin Herbert,LAC,17223.0
2024,Justin Herbert,LAC,21093.0
1966,Karl Sweetan,DET,1809.0
1967,Karl Sweetan,DET,2710.0
1968,Karl Sweetan,NOR,3028.0
1969,Karl Sweetan,RAM,3129.0
1970,Karl Sweetan,RAM,3210.0
2009,Keith Null,LA,558.0
2006,Kellen Clemens,NYJ,0.0
2007,Kellen Clemens,NYJ,1529.0
2008,Kellen Clemens,NYJ,1555.0
2009,Kellen Clemens,NYJ,1680.0
2010,Kellen Clemens,NYJ,1686.0
2011,Kellen Clemens,LA,2232.0
2012,Kellen Clemens,LA,2271.0
2013,Kellen Clemens,LA,3944.0
2014,Kellen Clemens,LAC,3954.0
2015,Kellen Clemens,LAC,4017.0
2016,Kellen Clemens,LAC,4017.0
2017,Kellen Clemens,LAC,4053.0
2021,Kellen Mond,MIN,5.0
2015,Kellen Moore,DAL,779.0
1997,Kelly Holcomb,IND,454.0
2001,Kelly Holcomb,CLE,568.0
2002,Kelly Holcomb,CLE,1358.0
2003,Kelly Holcomb,CLE,3155.0
2004,Kelly Holcomb,CLE,3892.0
2005,Kelly Holcomb,BUF,5401.0
2007,Kelly Holcomb,MIN,5912.0
1988,Kelly Stouffer,SEA,1106.0
1989,Kelly Stouffer,SEA,1376.0
1991,Kelly Stouffer,SEA,1433.0
1992,Kelly Stouffer,SEA,2333.0
1971,Ken Anderson,CIN,777.0
1972,Ken Anderson,CIN,2695.0
1973,Ken Anderson,CIN,5123.0
1974,Ken Anderson,CIN,7790.0
1975,Ken Anderson,CIN,10959.0
1976,Ken Anderson,CIN,13326.0
1977,Ken Anderson,CIN,15471.0
1978,Ken Anderson,CIN,17690.0
1979,Ken Anderson,CIN,20030.0
1980,Ken Anderson,CIN,21808.0
1981,Ken Anderson,CIN,25562.0
1982,Ken Anderson,CIN,28057.0
1983,Ken Anderson,CIN,30390.0
1984,Ken Anderson,CIN,32497.0
1985,Ken Anderson,CIN,32667.0
1986,Ken Anderson,CIN,32838.0
2004,Ken Dorsey,SF,1231.0
2005,Ken Dorsey,SF,1712.0
2006,Ken Dorsey,CLE,1712.0
2008,Ken Dorsey,CLE,2086.0
1987,Ken Karcher,DEN,628.0
1988,Ken Karcher,DEN,756.0
1984,Ken O'Brien,NYJ,1402.0
1985,Ken O'Brien,NYJ,5290.0
1986,Ken O'Brien,NYJ,8980.0
1987,Ken O'Brien,NYJ,11676.0
1988,Ken O'Brien,NYJ,14243.0
1989,Ken O'Brien,NYJ,17589.0
1990,Ken O'Brien,NYJ,20444.0
1991,Ken O'Brien,NYJ,23744.0
1992,Ken O'Brien,NYJ,24386.0
1993,Ken O'Brien,PHI,25094.0
1970,Ken Stabler,OAK,52.0
1971,Ken Stabler,OAK,320.0
1972,Ken Stabler,OAK,844.0
1973,Ken Stabler,OAK,2841.0
1974,Ken Stabler,OAK,5310.0
1975,Ken Stabler,OAK,7606.0
1976,Ken Stabler,OAK,10343.0
1977,Ken Stabler,OAK,12519.0
1978,Ken Stabler,OAK,15463.0
1979,Ken Stabler,OAK,19078.0
1980,Ken Stabler,HOU,22280.0
1981,Ken Stabler,HOU,24268.0
1982,Ken Stabler,NOR,25611.0
1983,Ken Stabler,NOR,27599.0
1984,Ken Stabler,NOR,27938.0
2022,Kenny Pickett,PIT,2404.0
2023,Kenny Pickett,PIT,4474.0
2024,Kenny Pickett,PHI,4765.0
1992,Kent Graham,NYG,470.0
1993,Kent Graham,NYG,549.0
1994,Kent Graham,NYG,844.0
1996,Kent Graham,ARI,2468.0
1997,Kent Graham,ARI,3876.0
1998,Kent Graham,NYG,5095.0
1999,Kent Graham,NYG,6792.0
2000,Kent Graham,PIT,7670.0
2001,Kent Graham,WAS,7801.0
1967,Kent Nix,PIT,1587.0
1968,Kent Nix,PIT,2307.0
1969,Kent Nix,PIT,2597.0
1970,Kent Nix,CHI,2597.0
1971,Kent Nix,CHI,3357.0
1972,Kent Nix,HOU,3644.0
1995,Kerry Collins,CAR,2717.0
1996,Kerry Collins,CAR,5171.0
1997,Kerry Collins,CAR,7295.0
1998,Kerry Collins,2TM,9508.0
1998,Kerry Collins,CAR,10519.0
1998,Kerry Collins,NOR,11721.0
1999,Kerry Collins,NYG,14039.0
2000,Kerry Collins,NYG,17649.0
2001,Kerry Collins,NYG,21413.0
2002,Kerry Collins,NYG,25486.0
2003,Kerry Collins,NYG,28596.0
2004,Kerry Collins,LV,32091.0
2005,Kerry Collins,LV,35850.0
2006,Kerry Collins,TEN,36399.0
2007,Kerry Collins,TEN,36930.0
2008,Kerry Collins,TEN,39611.0
2009,Kerry Collins,TEN,40836.0
2010,Kerry Collins,TEN,42659.0
2011,Kerry Collins,IND,43140.0
1996,Kerwin Bell,IND,75.0
2016,Kevin Hogan,CLE,104.0
2017,Kevin Hogan,CLE,621.0
1987,Kevin Ingram,NOR,5.0
2007,Kevin Kolb,PHI,0.0
2008,Kevin Kolb,PHI,144.0
2009,Kevin Kolb,PHI,885.0
2010,Kevin Kolb,PHI,2082.0
2011,Kevin Kolb,ARI,4037.0
2012,Kevin Kolb,ARI,5206.0
2008,Kevin O'Connell,NE,23.0
1987,Kevin Sweeney,DAL,291.0
1988,Kevin Sweeney,DAL,605.0
2000,Kevin Thompson,CLE,8.0
1974,Kim McQuilken,ATL,373.0
1975,Kim McQuilken,ATL,626.0
1976,Kim McQuilken,ATL,1076.0
1977,Kim McQuilken,ATL,1123.0
1979,Kim McQuilken,WAS,1135.0
1958,King Hill,CRD,18.0
1959,King Hill,CRD,1033.0
1960,King Hill,STL,1238.0
1961,King Hill,PHI,1339.0
1962,King Hill,PHI,1700.0
1963,King Hill,PHI,2913.0
1964,King Hill,PHI,3554.0
1965,King Hill,PHI,4411.0
1966,King Hill,PHI,4982.0
1967,King Hill,PHI,5015.0
1968,King Hill,PHI,5546.0
1969,King Hill,STL,5553.0
2012,Kirk Cousins,WAS,466.0
2013,Kirk Cousins,WAS,1320.0
2014,Kirk Cousins,WAS,3030.0
2015,Kirk Cousins,WAS,7196.0
2016,Kirk Cousins,WAS,12113.0
2017,Kirk Cousins,WAS,16206.0
2018,Kirk Cousins,MIN,20504.0
2019,Kirk Cousins,MIN,24107.0
2020,Kirk Cousins,MIN,28372.0
2021,Kirk Cousins,MIN,32593.0
2022,Kirk Cousins,MIN,37140.0
2023,Kirk Cousins,MIN,39471.0
2024,Kirk Cousins,ATL,42979.0
2005,Kliff Kingsbury,NYJ,17.0
1995,Kordell Stewart,PIT,60.0
1996,Kordell Stewart,PIT,160.0
1997,Kordell Stewart,PIT,3180.0
1998,Kordell Stewart,PIT,5740.0
1999,Kordell Stewart,PIT,7204.0
2000,Kordell Stewart,PIT,9064.0
2001,Kordell Stewart,PIT,12173.0
2002,Kordell Stewart,PIT,13328.0
2003,Kordell Stewart,CHI,14746.0
2004,Kordell Stewart,BAL,14746.0
2005,Kordell Stewart,BAL,14746.0
1998,Koy Detmer,PHI,1011.0
1999,Koy Detmer,PHI,1192.0
2000,Koy Detmer,PHI,1192.0
2001,Koy Detmer,PHI,1243.0
2002,Koy Detmer,PHI,1467.0
2003,Koy Detmer,PHI,1499.0
2004,Koy Detmer,PHI,1706.0
2005,Koy Detmer,PHI,1944.0
2021,Kurt Benkert,GB,0.0
2003,Kurt Kittner,ATL,391.0
1998,Kurt Warner,STL,39.0
1999,Kurt Warner,STL,4083.0
2000,Kurt Warner,STL,7512.0
2001,Kurt Warner,STL,12342.0
2002,Kurt Warner,STL,13773.0
2003,Kurt Warner,LA,14138.0
2004,Kurt Warner,NYG,16192.0
