Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
15,Bart Starr,24,GNB,QB,12,7,0-6-1,78,157,49.7,875,3,1.9,12,7.6,55,5.6,2.52,11.2,72.9,41.2,147,0,0,,StarBa00
16,Zeke Bratkowski,27,CHI,QB,12,2,1-1-0,41,90,45.6,571,7,7.8,6,6.7,67,6.3,4.90,13.9,47.6,64.6,42,0,0,,BratZe00
17,George Shaw,25,BAL,QB,12,3,1-2-0,41,89,46.1,531,7,7.9,4,4.5,57,6.0,5.52,13.0,44.3,72.8,5,0,0,,ShawGe00
18,Earl Morrall,24,2TM,QB,11,2,0-2-0,25,78,32.1,463,5,6.4,9,11.5,66,5.9,2.03,18.5,42.1,35.3,48,0,0,,MorrEa00
18,Earl Morrall,24,PIT,QB,2,2,0-2-0,16,46,34.8,275,1,2.2,7,15.2,66,6.0,-0.43,17.2,137.5,23.6,17,0,0,,MorrEa00
18,Earl Morrall,24,DET,QB,9,0,,9,32,28.1,188,4,12.5,2,6.3,66,5.9,5.56,20.9,20.9,65.1,31,0,0,,MorrEa00
19,Ralph Guglielmi,25,WAS,QB,8,2,0-1-1,34,81,42.0,458,2,2.5,6,7.4,64,5.7,2.81,13.5,57.3,38.0,130,0,0,,GuglRa00
20,Don Heinrich,28,NYG,QB,7,6,5-1-0,26,68,38.2,369,4,5.9,2,2.9,41,5.4,5.28,14.2,52.7,63.9,36,0,0,,HeinDo00
21,Tom Tracy,24,PIT,RH,12,8,,6,16,37.5,270,2,12.5,2,12.5,72,16.9,13.75,45.0,22.5,85.4,13,0,0,PB,TracTo00
22,Sonny Jurgensen,24,PHI,QB,12,0,,12,22,54.5,259,0,0.0,1,4.5,61,11.8,9.73,21.6,21.6,77.7,29,0,0,,JurgSo00
23,Joe Francis,22,GNB,QB,12,1,0-1-0,15,31,48.4,175,2,6.5,2,6.5,50,5.6,4.03,11.7,14.6,60.6,62,0,0,,FranJo20
24,Rudy Bukich,28,2TM,QB,4,0,,8,23,34.8,166,1,4.3,1,4.3,37,7.2,6.13,20.8,41.5,57.5,39,0,0,,BukiRu00
24,Rudy Bukich,28,WAS,QB,3,0,,8,22,36.4,166,1,4.5,1,4.5,37,7.5,6.41,20.8,55.3,60.0,31,0,0,,BukiRu00
24,Rudy Bukich,28,CHI,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,8,0,0,,BukiRu00
25,Jim Ninowski,22,CLE,QB,4,1,0-1-0,8,17,47.1,139,1,5.9,3,17.6,34,8.2,1.41,17.4,34.8,55.4,32,0,0,,NinoJi00
26,Gene Gedman,26,DET,FB,11,8,,2,3,66.7,111,1,33.3,0,0.0,81,37.0,43.67,55.5,10.1,149.3,,0,0,,GedmGe20
27,Frank Gifford,28,NYG,LH,10,10,,3,10,30.0,109,1,10.0,1,10.0,63,10.9,8.40,36.3,10.9,66.2,,0,0,PBAP-2,GiffFr00
28,Billy Ray Barnes,23,PHI,LH,12,12,,4,6,66.7,104,3,50.0,0,0.0,71,17.3,27.33,26.0,8.7,149.3,,0,0,PB,BarnBi00
29,Frank Ryan,22,RAM,QB,5,0,,5,14,35.7,34,1,7.1,3,21.4,14,2.4,-5.79,6.8,6.8,28.6,24,0,0,,RyanFr00
30,Don Chandler,24,NYG,P,12,0,,1,1,100.0,27,0,0.0,0,0.0,27,27.0,27.00,27.0,2.3,118.7,,0,0,,ChanDo20
31,George Blanda,31,CHI,QB,12,0,,2,7,28.6,19,0,0.0,0,0.0,12,2.7,2.71,9.5,1.6,39.6,10,0,0,,BlanGe00
32,King Hill,22,CRD,QB,7,0,,1,9,11.1,18,0,0.0,2,22.2,18,2.0,-8.00,18.0,2.6,0.0,,0,0,,HillKi00
33,Tom Dublinski,28,NYG,QB,1,0,,1,3,33.3,14,0,0.0,0,0.0,14,4.7,4.67,14.0,14.0,49.3,,0,0,,DublTo00
34,Rick Casares,27,CHI,FB,12,12,,1,4,25.0,13,1,25.0,0,0.0,13,3.3,8.25,13.0,1.1,80.2,,0,0,PB,CasaRi00
35,Len Dawson,23,PIT,QB,4,0,,1,6,16.7,11,0,0.0,2,33.3,11,1.8,-13.17,11.0,2.8,0.0,11,0,0,,DawsLe00
36,Ollie Matson,28,CRD,LH/FB,12,12,,1,2,50.0,4,0,0.0,0,0.0,4,2.0,2.00,4.0,0.3,56.2,,0,0,PB,MatsOl00
37,Jon Arnett,23,RAM,LH,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,16,0,0,PBAP-1,ArneJo00
38,Joe Childress,25,CRD,FB/RH,10,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,ChilJo00
39,John David Crow,23,CRD,RH,7,6,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,CrowJo00
40,Howie Ferguson,28,GNB,FB,7,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,FergHo00
41,Willie Galimore,23,CHI,LH,12,1,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,PBAP-2,GaliWi00
42,Paul Hornung,23,GNB,FB,12,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,HornPa00
43,Bill Jessup,29,SFO,HB,12,0,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,JessBi00
44,Yale Lary,28,DET,SS,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-1,LaryYa00
45,Hugh McElhenny,29,SFO,LH,12,12,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,McElHu00
46,Max McGee,26,GNB,LE,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,McGeMa00
47,Jimmy Sears,27,CRD,HB,12,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,SearJi20
48,Del Shofner,24,RAM,FL,12,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-1,ShofDe00
49,Ed Sutton,23,WAS,LH,10,8,,0,3,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,SuttEd00
50,Tommy Wilson,26,RAM,FB,12,5,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,WilsTo00
51,Ray Brown,22,BAL,FS,12,12,,1,2,50.0,-1,0,0.0,0,0.0,-1,-0.5,-0.50,-1.0,-0.1,56.2,,0,0,,BrowRa21
,League Average,,,,,,,,,49.4,,,5.3,,6.2,,7.2,5.46,14.5,53.2,65.3,,,,,-9999
