Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Billy Wade,28,RAM,QB,12,12,8-4-0,181,341,53.1,2875,18,5.3,22,6.5,93,8.4,6.58,15.9,239.6,72.2,197,1,2,PB,WadeBi00
2,Bobby Layne,32,2TM,QB,12,11,7-3-1,145,294,49.3,2510,14,4.8,12,4.1,78,8.5,7.65,17.3,209.2,77.6,118,1,2,PBAP-2AP MVP-3,LaynBo00
2,Bobby Layne,32,DET,QB,2,1,0-1-0,12,26,46.2,171,1,3.8,2,7.7,,6.6,3.88,14.3,85.5,48.7,22,0,0,,LaynBo00
2,Bobby Layne,32,PIT,QB,10,10,7-2-1,133,268,49.6,2339,13,4.9,10,3.7,78,8.7,8.02,17.6,233.9,80.4,96,1,2,,LaynBo00
3,Norm Van Brocklin,32,PHI,QB,12,12,2-9-1,198,374,52.9,2409,15,4.0,20,5.3,91,6.4,4.84,12.2,200.8,64.1,46,2,1,PB,VanBNo00
4,Johnny Unitas,25,BAL,QB,10,9,8-1-0,136,263,51.7,2007,19,7.2,7,2.7,77,7.6,7.88,14.8,200.7,90.0,120,3,2,PBAP-1AP MVP-2,UnitJo00
5,Tobin Rote,30,DET,QB,12,11,4-6-1,118,257,45.9,1678,14,5.4,10,3.9,65,6.5,5.87,14.2,139.8,69.5,231,0,0,,RoteTo00
6,Milt Plum,23,CLE,QB,12,11,9-2-0,102,189,54.0,1619,11,5.8,11,5.8,74,8.6,7.11,15.9,134.9,77.9,145,2,3,,PlumMi00
7,Y.A. Tittle,32,SFO,QB,11,6,3-3-0,120,208,57.7,1467,9,4.3,15,7.2,64,7.1,4.67,12.2,133.4,63.9,149,1,2,,TittY.00
8,M.C. Reynolds,23,CRD,QB,11,6,1-5-0,105,195,53.8,1422,11,5.6,11,5.6,91,7.3,5.88,13.5,129.3,72.6,70,0,0,,ReynM.00
9,Ed Brown,30,CHI,QB,12,10,7-3-0,102,218,46.8,1418,10,4.6,17,7.8,79,6.5,3.91,13.9,118.2,51.0,150,1,1,,BrowEd01
10,Eddie LeBaron,28,WAS,QB,12,10,4-6-0,79,145,54.5,1365,11,7.6,10,6.9,71,9.4,7.83,17.3,113.8,83.3,132,1,1,PB,LeBaEd00
11,Lamar McHan,26,CRD,QB,12,6,1-4-1,91,198,46.0,1291,12,6.1,13,6.6,71,6.5,4.78,14.2,107.6,60.4,109,0,1,,McHaLa00
12,John Brodie,23,SFO,QB,12,6,3-3-0,103,172,59.9,1224,6,3.5,13,7.6,61,7.1,4.41,11.9,102.0,61.8,59,1,1,,BrodJo00
13,Charlie Conerly,37,NYG,QB,10,6,4-2-0,88,184,47.8,1199,10,5.4,9,4.9,44,6.5,5.40,13.6,119.9,66.8,105,3,5,,ConeCh00
14,Babe Parilli,28,GNB,QB,12,4,1-3-0,68,157,43.3,1068,10,6.4,13,8.3,80,6.8,4.35,15.7,89.0,53.3,89,0,0,,PariBa00
