Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Charley Johnson,26,STL,QB,14,14,9-3-2,223,420,53.1,3045,21,5.0,24,5.7,78,7.3,5.68,13.7,217.5,69.4,37,298,8.10,6.01,4.57,2,2,,JohnCh02
2,Sonny Jurgensen,30,WAS,QB,14,14,6-8-0,207,385,53.8,2934,24,6.2,13,3.4,80,7.6,7.35,14.2,209.6,85.4,38,302,8.98,6.22,5.97,0,1,PBAP CPoY-3,JurgSo00
3,Johnny Unitas,31,BAL,QB,14,14,12-2-0,158,305,51.8,2824,19,6.2,6,2.0,74,9.3,9.62,17.9,201.7,96.4,37,254,10.82,7.51,7.84,2,2,PBAP-1AP MVP-1,UnitJo00
4,Fran Tarkenton,24,MIN,QB,14,14,8-5-1,171,306,55.9,2506,22,7.2,11,3.6,64,8.2,8.01,14.7,179.0,91.8,46,446,13.07,5.85,5.70,3,3,PB,TarkFr00
5,John Brodie,29,SFO,QB,14,12,3-9-0,193,392,49.2,2498,14,3.6,16,4.1,83,6.4,5.25,12.9,178.4,64.6,17,178,4.16,5.67,4.60,0,0,,BrodJo00
6,Frank Ryan,28,CLE,QB,14,14,10-3-1,174,334,52.1,2404,25,7.5,19,5.7,62,7.2,6.13,13.8,171.7,76.7,27,207,7.48,6.09,5.10,1,0,PB,RyanFr00
7,Milt Plum,29,DET,QB,12,11,4-5-2,154,287,53.7,2241,18,6.3,15,5.2,92,7.8,6.71,14.6,186.8,78.5,27,235,8.60,6.39,5.39,1,0,,PlumMi00
8,Bart Starr,30,GNB,QB,14,14,8-5-1,163,272,59.9,2144,15,5.5,4,1.5,73,7.9,8.32,13.2,153.1,97.1,42,323,13.38,5.80,6.18,2,1,AP-2,StarBa00
9,Don Meredith,26,DAL,QB,12,10,5-4-1,158,323,48.9,2143,9,2.8,16,5.0,49,6.6,4.96,13.6,178.6,59.1,58,416,15.22,4.53,3.12,0,0,,MereDo00
10,Ed Brown,36,PIT,QB,14,13,5-8-0,121,272,44.5,1990,12,4.4,19,7.0,54,7.3,5.06,16.4,142.1,55.2,45,394,14.20,5.03,3.09,1,2,,BrowEd01
11,Billy Wade,34,CHI,QB,11,10,2-8-0,182,327,55.7,1944,13,4.0,14,4.3,68,5.9,4.81,10.7,176.7,68.6,23,157,6.57,5.11,4.05,0,0,,WadeBi00
12,Norm Snead,25,PHI,QB,12,10,4-6-0,138,283,48.8,1906,14,4.9,12,4.2,87,6.7,5.82,13.8,158.8,69.6,20,160,6.60,5.76,4.90,0,0,,SneaNo00
13,Y.A. Tittle,38,NYG,QB,14,11,1-8-2,147,281,52.3,1798,10,3.6,22,7.8,54,6.4,3.59,12.2,128.4,51.6,30,243,9.65,5.00,2.46,2,1,,TittY.00
14,Bill Munson,23,RAM,QB,11,8,2-4-2,108,223,48.4,1533,9,4.0,15,6.7,95,6.9,4.65,14.2,139.4,56.5,42,307,15.85,4.63,2.76,0,0,,MunsBi00
15,Roman Gabriel,24,RAM,QB,7,6,3-3-0,65,143,45.5,1236,9,6.3,5,3.5,70,8.6,8.33,19.0,176.6,82.4,23,183,13.86,6.34,6.07,0,0,,GabrRo00
16,Rudy Bukich,34,CHI,QB,9,4,3-1-0,99,160,61.9,1099,12,7.5,7,4.4,63,6.9,6.40,11.1,122.1,89.0,7,58,4.19,6.23,5.78,1,2,,BukiRu00
17,Gary Wood,22,NYG,QB,12,3,1-2-0,66,143,46.2,952,6,4.2,3,2.1,70,6.7,6.55,14.4,79.3,73.5,14,125,8.92,5.27,5.17,1,1,,WoodGa00
18,King Hill,28,PHI,QB,8,3,1-2-0,49,88,55.7,641,3,3.4,4,4.5,38,7.3,5.92,13.1,80.1,71.3,8,61,8.33,6.04,4.79,1,1,,HillKi00
19,Earl Morrall,30,DET,QB,6,3,3-0-0,50,91,54.9,588,4,4.4,3,3.3,48,6.5,5.86,11.8,98.0,75.7,10,97,9.90,4.86,4.32,1,1,,MorrEa00
20,John Roach,31,DAL,QB,9,4,0-4-0,32,68,47.1,349,1,1.5,6,8.8,37,5.1,1.46,10.9,38.8,30.8,10,87,12.82,3.36,0.15,0,0,,RoacJo00
21,George Mira,22,SFO,QB,7,2,1-1-0,23,53,43.4,331,2,3.8,5,9.4,79,6.2,2.75,14.4,47.3,37.5,8,47,13.11,4.66,1.62,0,0,,MiraGe00
22,Zeke Bratkowski,33,GNB,QB,5,0,,19,36,52.8,277,1,2.8,1,2.8,33,7.7,7.00,14.6,55.4,75.8,5,46,12.20,5.63,5.02,0,0,,BratZe00
23,Bill Nelsen,23,PIT,QB,5,1,0-1-0,16,42,38.1,276,2,4.8,3,7.1,44,6.6,4.31,17.3,55.2,47.3,5,47,10.64,4.87,2.85,0,0,,NelsBi00
24,Jack Concannon,21,PHI,QB,4,1,1-0-0,12,23,52.2,199,2,8.7,1,4.3,38,8.7,8.43,16.6,49.8,92.5,7,47,23.33,5.07,4.90,1,1,,ConcJa00
25,Gary Cuozzo,23,BAL,QB,9,0,,15,36,41.7,163,2,5.6,3,8.3,22,4.5,1.89,10.9,18.1,39.5,2,19,5.26,3.79,1.29,0,0,,CuozGa00
26,Jim Ninowski,28,CLE,QB,3,0,,6,9,66.7,125,2,22.2,0,0.0,41,13.9,18.33,20.8,41.7,149.3,1,12,10.00,11.30,15.30,0,0,,NinoJi00
27,Billy Kilmer,25,SFO,HB,10,2,,8,14,57.1,92,1,7.1,1,7.1,24,6.6,4.79,11.5,9.2,71.1,2,24,12.50,4.25,2.69,0,0,,KilmBi00
28,George Izo,27,WAS,QB,3,0,,5,18,27.8,83,1,5.6,2,11.1,29,4.6,0.72,16.6,27.7,25.2,4,33,18.18,2.27,-0.91,0,0,,IzoxGe00
29,Ron Vander Kelen,25,MIN,QB,5,0,,7,19,36.8,78,0,0.0,1,5.3,18,4.1,1.74,11.1,15.6,28.0,2,45,9.52,1.57,-0.57,0,0,,VandRo00
30,Mike Lind,24,SFO,FB,13,9,,1,1,100.0,69,1,100.0,0,0.0,69,69.0,89.00,69.0,5.3,158.3,0,0,0.00,69.00,89.00,0,0,,LindMi00
31,Steve Thurlow,22,NYG,RB,11,3,,3,5,60.0,65,0,0.0,0,0.0,33,13.0,13.00,21.7,5.9,104.2,1,5,16.67,10.00,10.00,0,0,,ThurSt00
32,Tom Matte,25,BAL,HB,14,2,,3,4,75.0,58,1,25.0,0,0.0,22,14.5,19.50,19.3,4.1,156.2,0,0,0.00,14.50,19.50,0,0,,MattTo00
33,Tom Watkins,27,DET,HB,14,7,,1,1,100.0,58,1,100.0,0,0.0,58,58.0,78.00,58.0,4.1,158.3,0,0,0.00,58.00,78.00,0,0,,WatkTo00
34,Charley Taylor,23,WAS,HB,14,14,,2,10,20.0,54,0,0.0,1,10.0,41,5.4,0.90,27.0,3.9,10.0,0,0,0.00,5.40,0.90,0,0,PBAP-2,TaylCh00
35,Terry Nofsinger,26,PIT,QB,1,0,,3,4,75.0,35,0,0.0,1,25.0,22,8.8,-2.50,11.7,35.0,61.5,1,9,20.00,5.20,-3.80,0,0,,NofsTe00
36,Frank Gifford,34,NYG,FL,13,12,,1,1,100.0,33,0,0.0,0,0.0,33,33.0,33.00,33.0,2.5,118.7,0,0,0.00,33.00,33.00,0,0,,GiffFr00
