Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,John Hadl,31,SDG,QB,14,14,6-8-0,233,431,54.1,3075,21,4.9,25,5.8,77,7.1,5.50,13.2,219.6,68.9,16,145,3.58,6.55,4.98,2,3,AP MVP-9,HadlJo00
2,John Brodie,36,SFO,QB,14,14,9-5-0,208,387,53.7,2642,18,4.7,24,6.2,71,6.8,4.97,12.7,188.7,65.0,11,111,2.76,6.36,4.55,1,2,AP MVP-9,BrodJo00
3,Fran Tarkenton,31,NYG,QB,13,13,4-9-0,226,386,58.5,2567,11,2.8,21,5.4,81,6.7,4.77,11.4,197.5,65.4,27,232,6.54,5.65,3.90,1,1,,TarkFr00
4,Len Dawson,36,KAN,QB,14,13,9-3-1,167,301,55.5,2504,15,5.0,13,4.3,82,8.3,7.37,15.0,178.9,81.6,30,303,9.06,6.65,5.79,3,3,PBAP MVP-6,DawsLe00
5,Bill Nelsen,30,CLE,QB,14,13,9-4-0,174,325,53.5,2319,13,4.0,23,7.1,53,7.1,4.75,13.3,165.6,60.3,22,222,6.34,6.04,3.81,2,3,,NelsBi00
6,Terry Bradshaw,23,PIT,QB,14,13,5-8-0,203,373,54.4,2259,13,3.5,22,5.9,49,6.1,4.10,11.1,161.4,59.7,33,287,8.13,4.86,3.06,3,3,,BradTe00
7,Roman Gabriel,31,RAM,QB,14,14,8-5-1,180,352,51.1,2238,17,4.8,10,2.8,68,6.4,6.05,12.4,159.9,75.4,25,200,6.63,5.41,5.11,2,1,,GabrRo00
8,Greg Landry,25,DET,QB,14,14,7-6-1,136,261,52.1,2237,16,6.1,13,5.0,76,8.6,7.56,16.4,159.8,80.9,29,232,10.00,6.91,6.00,1,1,PBAP MVP-9,LandGr00
9,Billy Kilmer,32,WAS,QB,14,13,8-4-1,166,306,54.2,2221,13,4.2,13,4.2,71,7.3,6.20,13.4,158.6,74.0,16,110,4.97,6.56,5.55,1,0,AP MVP-5,KilmBi00
10,Jim Plunkett,24,NWE,QB,14,14,6-8-0,158,328,48.2,2158,19,5.8,16,4.9,88,6.6,5.54,13.7,154.1,68.6,36,319,9.89,5.05,4.12,1,1,AP ORoY-2,PlunJi00
11,Bob Griese,26,MIA,QB,14,13,9-3-1,145,263,55.1,2089,19,7.2,9,3.4,86,7.9,7.85,14.4,149.2,90.9,23,248,8.04,6.44,6.35,2,2,PBAP-1AP MVP-4,GrieBo00
12,Bob Berry,29,ATL,QB,11,10,4-5-1,136,226,60.2,2005,11,4.9,16,7.1,84,8.9,6.66,14.7,182.3,75.9,21,150,8.50,7.51,5.49,1,1,,BerrBo00
13,Pete Liske,29,PHI,QB,14,10,5-5-0,143,269,53.2,1957,11,4.1,15,5.6,69,7.3,5.58,13.7,139.8,67.1,13,134,4.61,6.46,4.85,1,1,,LiskPe00
14,Roger Staubach,29,DAL,QB,13,10,10-0-0,126,211,59.7,1882,15,7.1,4,1.9,85,8.9,9.49,14.9,144.8,104.8,23,175,9.83,7.29,7.81,1,2,PBAP MVP-2,StauRo00
15,Dennis Shaw,24,BUF,QB,13,12,1-11-0,149,291,51.2,1813,11,3.8,26,8.9,75,6.2,2.97,12.2,139.5,46.1,33,276,10.19,4.74,1.81,0,0,,ShawDe00
16,Daryle Lamonica,30,OAK,QB,14,13,7-4-2,118,242,48.8,1717,16,6.6,16,6.6,67,7.1,5.44,14.6,122.6,66.8,18,172,6.92,5.94,4.40,1,2,,LamoDa00
17,Dan Pastorini,22,HOU,QB,14,8,4-4-0,127,270,47.0,1702,7,2.6,21,7.8,62,6.3,3.32,13.4,121.6,43.8,20,152,6.90,5.34,2.57,1,1,,PastDa00
18,Jim Hart,27,STL,QB,11,9,2-6-1,110,243,45.3,1626,8,3.3,14,5.8,57,6.7,4.76,14.8,147.8,54.7,13,139,5.08,5.81,3.97,1,0,,HartJi00
19,Virgil Carter,26,CIN,QB,10,10,4-6-0,138,222,62.2,1624,10,4.5,7,3.2,90,7.3,6.80,11.8,162.4,86.2,13,122,5.53,6.39,5.90,0,0,,CartVi00
20,Scott Hunter,24,GNB,QB,13,10,4-5-1,75,163,46.0,1210,7,4.3,17,10.4,77,7.4,3.59,16.1,93.1,46.1,11,81,6.32,6.49,2.90,1,2,,HuntSc00
21,Earl Morrall,37,BAL,QB,14,9,7-2-0,84,167,50.3,1210,7,4.2,12,7.2,64,7.2,4.85,14.4,86.4,58.2,11,89,6.18,6.30,4.05,1,0,,MorrEa00
22,Edd Hargett,24,NOR,QB,14,4,1-3-0,96,210,45.7,1191,6,2.9,5,2.4,49,5.7,5.17,12.4,85.1,63.4,10,68,4.55,5.10,4.63,2,1,,HargEd00
23,Bobby Douglass,24,CHI,QB,12,7,3-4-0,91,225,40.4,1164,5,2.2,15,6.7,64,5.2,2.62,12.8,97.0,37.0,30,235,11.76,3.64,1.39,2,2,,DougBo00
24,Archie Manning,22,NOR,QB,12,10,3-5-2,86,177,48.6,1164,6,3.4,9,5.1,63,6.6,4.97,13.5,97.0,60.1,40,332,18.43,3.83,2.52,2,1,,MannAr00
25,Craig Morton,28,DAL,QB,10,4,1-3-0,78,143,54.5,1131,7,4.9,8,5.6,76,7.9,6.37,14.5,113.1,73.5,9,76,5.92,6.94,5.49,0,0,,MortCr00
26,Steve Ramsey,23,DEN,QB,9,5,2-3-0,84,178,47.2,1120,5,2.8,13,7.3,47,6.3,3.57,13.3,124.4,46.6,13,105,6.81,5.31,2.77,0,2,,RamsSt00
27,Don Horn,26,DEN,QB,9,9,2-6-1,89,173,51.4,1056,3,1.7,14,8.1,74,6.1,2.81,11.9,117.3,42.4,8,67,4.42,5.46,2.31,0,0,,HornDo00
28,Pete Beathard,29,STL,QB,9,5,2-3-0,60,141,42.6,1030,6,4.3,12,8.5,80,7.3,4.33,17.2,114.4,46.7,6,46,4.08,6.69,3.84,0,0,,BeatPe00
29,Johnny Unitas,38,BAL,QB,13,5,3-2-0,92,176,52.3,942,3,1.7,9,5.1,35,5.4,3.39,10.2,72.5,52.3,15,129,7.85,4.26,2.45,0,0,,UnitJo00
30,Gary Cuozzo,30,MIN,QB,8,8,6-2-0,75,168,44.6,842,6,3.6,8,4.8,52,5.0,3.58,11.2,105.3,52.2,13,97,7.18,4.12,2.79,1,2,,CuozGa00
31,Ken Anderson,22,CIN,QB,11,4,0-4-0,72,131,55.0,777,5,3.8,4,3.1,44,5.9,5.32,10.8,70.6,72.6,23,159,14.94,4.01,3.49,0,0,,AndeKe00
32,Kent Nix,27,CHI,QB,8,4,1-3-0,51,137,37.2,760,6,4.4,10,7.3,45,5.5,3.14,14.9,95.0,40.4,10,91,6.80,4.55,2.31,2,2,,NixxKe00
33,Bob Davis,26,NYJ,QB,13,7,3-4-0,49,121,40.5,624,10,8.3,8,6.6,44,5.2,3.83,12.7,48.0,57.3,14,92,10.37,3.94,2.76,0,1,,DaviBo00
34,Bob Lee,25,MIN,QB,14,4,3-1-0,45,90,50.0,598,2,2.2,4,4.4,51,6.6,5.09,13.3,42.7,60.3,8,91,8.16,5.17,3.74,0,0,,LeexBo00
35,Charley Johnson,33,HOU,QB,14,4,0-4-0,46,94,48.9,592,3,3.2,7,7.4,70,6.3,3.59,12.9,42.3,48.7,8,61,7.84,5.21,2.71,1,0,,JohnCh02
36,Rick Arrington,24,PHI,QB,10,4,1-2-1,55,118,46.6,576,2,1.7,5,4.2,65,4.9,3.31,10.5,57.6,49.3,13,95,9.92,3.67,2.26,0,0,,ArriRi00
37,Joe Namath,28,NYJ,QB,4,3,2-1-0,28,59,47.5,537,5,8.5,6,10.2,74,9.1,6.22,19.2,134.3,68.2,0,0,0.00,9.10,6.22,0,0,,NamaJo00
38,James Harris,24,BUF,QB,7,2,0-2-0,51,103,49.5,512,1,1.0,6,5.8,62,5.0,2.54,10.0,73.1,43.0,16,145,13.45,3.08,0.98,0,0,,HarrJa01
39,Randy Johnson,27,NYG,QB,5,1,0-1-0,41,74,55.4,477,3,4.1,3,4.1,45,6.4,5.43,11.6,95.4,71.7,13,116,14.94,4.15,3.29,0,0,,JohnRa00
40,Norm Snead,32,MIN,QB,7,2,2-0-0,37,75,49.3,470,1,1.3,6,8.0,55,6.3,2.93,12.7,67.1,40.4,7,67,8.54,4.91,1.87,0,1,,SneaNo00
41,Dick Shiner,29,ATL,QB,10,4,3-1-0,30,57,52.6,463,5,8.8,5,8.8,47,8.1,5.93,15.4,46.3,72.5,10,89,14.93,5.58,3.72,1,1,,ShinDi00
42,Al Woodall,26,NYJ,QB,5,4,1-3-0,42,97,43.3,395,0,0.0,2,2.1,26,4.1,3.14,9.4,79.0,46.5,9,85,8.49,2.92,2.08,1,1,,WoodAl00
43,George Blanda,44,OAK,QB,14,0,,32,58,55.2,378,4,6.9,6,10.3,37,6.5,3.24,11.8,27.0,58.6,2,26,3.33,5.87,2.70,2,1,,BlanGe00
44,Jack Concannon,28,CHI,QB,3,3,2-1-0,42,77,54.5,334,0,0.0,3,3.9,28,4.3,2.58,8.0,111.3,49.4,8,61,9.41,3.21,1.62,0,0,,ConcJa00
45,Lynn Dickey,22,HOU,QB,7,2,0-1-1,19,57,33.3,315,0,0.0,9,15.8,42,5.5,-1.58,16.6,45.0,13.3,3,21,5.00,4.90,-1.85,0,0,,DickLy00
46,Zeke Bratkowski,40,GNB,QB,6,1,0-1-0,19,37,51.4,298,4,10.8,3,8.1,50,8.1,6.57,15.7,49.7,80.7,1,12,2.63,7.53,6.08,0,0,,BratZe00
47,Bart Starr,37,GNB,QB,4,3,0-2-1,24,45,53.3,286,0,0.0,3,6.7,31,6.4,3.36,11.9,71.5,45.2,6,64,11.76,4.35,1.71,0,0,,StarBa00
48,Ken Stabler,26,OAK,QB,14,1,1-0-0,24,48,50.0,268,1,2.1,4,8.3,23,5.6,2.25,11.2,19.1,39.2,4,37,7.69,4.44,1.37,0,0,,StabKe00
49,Bill Munson,30,DET,QB,4,0,,21,38,55.3,216,1,2.6,1,2.6,34,5.7,5.03,10.3,54.0,69.6,1,5,2.56,5.41,4.77,0,0,,MunsBi00
50,Mike Phipps,24,CLE,QB,14,1,0-1-0,13,47,27.7,179,1,2.1,4,8.5,39,3.8,0.40,13.8,12.8,14.6,0,0,0.00,3.81,0.40,0,0,,PhipMi00
51,Sonny Jurgensen,37,WAS,QB,5,1,1-0-0,16,28,57.1,170,0,0.0,2,7.1,30,6.1,2.86,10.6,34.0,45.2,1,8,3.45,5.59,2.48,0,0,,JurgSo00
52,Terry Hanratty,23,PIT,QB,6,1,1-0-0,7,29,24.1,159,2,6.9,3,10.3,40,5.5,2.21,22.7,26.5,33.3,3,32,9.38,3.97,1.00,0,0,,HanrTe00
53,George Mira,29,MIA,QB,6,1,1-0-0,11,30,36.7,159,1,3.3,1,3.3,43,5.3,4.47,14.5,26.5,51.9,2,17,6.25,4.44,3.66,0,0,,MiraGe00
54,Mike Livingston,26,KAN,QB,3,1,1-0-0,12,28,42.9,130,0,0.0,0,0.0,36,4.6,4.64,10.8,43.3,57.1,4,39,12.50,2.84,2.84,0,0,,LiviMi00
55,Marty Domres,24,SDG,QB,4,0,,7,12,58.3,97,1,8.3,3,25.0,25,8.1,-1.50,13.9,24.3,72.6,3,26,20.00,4.73,-2.93,0,0,,DomrMa00
56,Mike Montgomery,22,SDG,RB,11,3,,3,6,50.0,80,1,16.7,0,0.0,33,13.3,16.67,26.7,7.3,135.4,0,0,0.00,13.33,16.67,0,0,,MontMi00
57,Jerry Rhome,29,RAM,QB,14,0,,5,18,27.8,66,1,5.6,1,5.6,43,3.7,2.28,13.2,4.7,37.7,1,10,5.26,2.95,1.63,1,1,,RhomJe00
58,Mike Garrett,27,SDG,RB,13,11,,1,1,100.0,53,0,0.0,0,0.0,53,53.0,53.00,53.0,4.1,118.7,0,0,0.00,53.00,53.00,0,0,,GarrMi00
59,Jim Braxton,22,BUF,RB,13,0,,1,3,33.3,49,0,0.0,0,0.0,49,16.3,16.33,49.0,3.8,81.9,0,0,0.00,16.33,16.33,0,0,,BraxJi00
60,Bobby Anderson,24,DEN,FB,13,13,,1,3,33.3,48,0,0.0,0,0.0,48,16.0,16.00,48.0,3.7,81.9,1,6,25.00,10.50,10.50,0,0,,AndeBo00
61,Bob Gladieux,24,NWE,RB,14,0,,1,2,50.0,48,0,0.0,0,0.0,48,24.0,24.00,48.0,3.4,95.8,0,0,0.00,24.00,24.00,0,0,,GladBo00
62,Steve Spurrier,26,SFO,QB,6,0,,1,4,25.0,46,0,0.0,0,0.0,46,11.5,11.50,46.0,7.7,75.0,0,0,0.00,11.50,11.50,0,0,,SpurSt00
63,Ed Podolak,24,KAN,RB,13,11,,2,2,100.0,42,0,0.0,0,0.0,23,21.0,21.00,21.0,3.2,118.7,0,0,0.00,21.00,21.00,0,0,,PodoEd00
64,Frank Patrick,24,GNB,QB,1,0,,1,5,20.0,39,0,0.0,1,20.0,39,7.8,-1.20,39.0,39.0,20.0,0,0,0.00,7.80,-1.20,0,0,,PatrFr00
65,Marlin Briscoe,26,BUF,WR,14,14,,1,2,50.0,36,0,0.0,0,0.0,36,18.0,18.00,36.0,2.6,95.8,0,0,0.00,18.00,18.00,0,0,,BrisMa00
66,Woody Campbell,27,HOU,RB,12,11,,2,2,100.0,34,2,100.0,0,0.0,20,17.0,37.00,17.0,2.8,158.3,0,0,0.00,17.00,37.00,0,0,,CampWo00
67,Billy Lothridge,29,ATL,P,9,0,,1,1,100.0,27,0,0.0,0,0.0,27,27.0,27.00,27.0,3.0,118.7,0,0,0.00,27.00,27.00,0,0,,LothBi20
68,Dan Reeves,27,DAL,RB,14,0,,2,5,40.0,24,0,0.0,1,20.0,14,4.8,-4.20,12.0,1.7,15.8,0,0,0.00,4.80,-4.20,0,0,,ReevDa00
69,Leroy Kelly,29,CLE,RB,14,14,,1,4,25.0,23,0,0.0,0,0.0,23,5.8,5.75,23.0,1.6,51.0,0,0,0.00,5.75,5.75,0,0,PB,KellLe00
70,Don Shy,26,CHI,RB,11,9,,1,1,100.0,23,1,100.0,0,0.0,23,23.0,43.00,23.0,2.1,158.3,1,5,50.00,9.00,19.00,0,0,,ShyxDo00
71,Jack Gehrke,25,DEN,WR,14,11,,1,2,50.0,19,0,0.0,0,0.0,19,9.5,9.50,19.0,1.4,83.3,0,0,0.00,9.50,9.50,0,0,,GehrJa00
72,Tom Blanchard,23,NYG,P,14,0,,1,1,100.0,18,0,0.0,0,0.0,18,18.0,18.00,18.0,1.3,118.7,0,0,0.00,18.00,18.00,0,0,,BlanTo20
73,John Huarte,28,KAN,QB,1,0,,2,6,33.3,18,0,0.0,0,0.0,26,3.0,3.00,9.0,18.0,42.4,1,5,14.29,1.86,1.86,0,0,,HuarJo00
74,Bob Leahy,24,PIT,QB,1,0,,3,11,27.3,18,0,0.0,1,9.1,9,1.6,-2.45,6.0,18.0,1.7,1,3,8.33,1.25,-2.50,0,0,,LeahBo00
75,Dave Lewis,26,CIN,P,14,0,,3,10,30.0,18,0,0.0,0,0.0,13,1.8,1.80,6.0,1.3,39.6,4,22,28.57,-0.29,-0.29,0,0,,LewiDa22
76,Ronnie Bull,31,PHI,FB,13,9,,1,1,100.0,15,0,0.0,0,0.0,15,15.0,15.00,15.0,1.2,118.7,0,0,0.00,15.00,15.00,0,0,,BullRo00
77,Bobby Joe Green,35,CHI,P,14,0,,1,2,50.0,13,0,0.0,0,0.0,13,6.5,6.50,13.0,0.9,70.8,0,0,0.00,6.50,6.50,0,0,,GreeBo20
78,Bobby Walden,33,PIT,P,14,0,,1,1,100.0,10,0,0.0,0,0.0,10,10.0,10.00,10.0,0.7,108.3,0,0,0.00,10.00,10.00,0,0,,WaldBo20
79,Donny Anderson,28,GNB,RB,14,13,,2,4,50.0,9,1,25.0,0,0.0,5,2.3,7.25,4.5,0.6,95.8,0,0,0.00,2.25,7.25,0,0,,AndeDo00
80,Fred Willis,24,CIN,RB,14,6,,1,2,50.0,8,0,0.0,0,0.0,8,4.0,4.00,8.0,0.6,60.4,0,0,0.00,4.00,4.00,0,0,,WillFr00
81,Jim Ward,27,PHI,QB,2,0,,1,1,100.0,4,0,0.0,0,0.0,4,4.0,4.00,4.0,2.0,83.3,0,0,0.00,4.00,4.00,0,0,,WardJi00
82,Sonny Davis,23,PHI,FB,14,6,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,DaviSo00
83,Bobby Duhon,25,NYG,RB,13,11,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,DuhoBo00
84,Bob Grim,26,MIN,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,GrimBo00
85,Leo Hart,22,ATL,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,HartLe00
