Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Otto Graham,31,CLE,QB,12,12,8-4-0,181,364,49.7,2816,20,5.5,24,6.6,68,7.7,5.87,15.6,234.7,66.6,242,1,1,PBAP-2,GrahOt00
2,Jim Finks,25,PIT,QB,12,12,5-7-0,158,336,47.0,2307,20,6.0,19,5.7,60,6.9,5.51,14.6,192.3,66.2,252,0,0,PB,FinkJi00
3,Bobby Layne,26,DET,QB,12,11,9-2-0,139,287,48.4,1999,19,6.6,20,7.0,77,7.0,5.15,14.4,166.6,64.5,212,0,0,PBAP-1,LaynBo00
4,Norm Van Brocklin,26,RAM,QB,12,6,6-0-0,113,205,55.1,1736,14,6.8,17,8.3,84,8.5,6.10,15.4,144.7,71.5,97,1,1,PB,VanBNo00
5,Eddie LeBaron,22,WAS,QB,12,7,1-6-0,96,194,49.5,1420,14,7.2,15,7.7,70,7.3,5.28,14.8,118.3,65.7,249,2,2,,LeBaEd00
6,Babe Parilli,22,GNB,QB,12,4,2-2-0,77,177,43.5,1416,13,7.3,17,9.6,90,8.0,5.15,18.4,118.0,56.6,127,0,0,,PariBa00
7,Y.A. Tittle,26,SFO,QB,12,5,3-2-0,106,208,51.0,1407,11,5.3,12,5.8,77,6.8,5.23,13.3,117.3,66.3,206,1,1,,TittY.00
8,Bobby Thomason,24,PHI,QB,12,9,5-4-0,95,212,44.8,1334,8,3.8,9,4.2,44,6.3,5.14,14.0,111.2,60.5,172,1,1,,ThomBo02
9,Tobin Rote,24,GNB,QB,12,8,4-4-0,82,157,52.2,1268,13,8.3,8,5.1,81,8.1,7.44,15.5,105.7,85.6,187,0,0,,RoteTo00
10,Charlie Conerly,31,NYG,QB,11,11,7-4-0,82,169,48.5,1090,13,7.7,10,5.9,70,6.4,5.33,13.3,99.1,70.4,146,1,1,,ConeCh00
11,Frankie Albert,32,SFO,QB,12,7,4-3-0,71,129,55.0,964,8,6.2,10,7.8,60,7.5,5.22,13.6,80.3,67.5,177,0,0,,AlbeFr00
12,Charley Trippi,31,CRD,QB,11,10,4-6-0,84,181,46.4,890,5,2.8,13,7.2,56,4.9,2.24,10.6,80.9,40.5,216,1,1,PB,TripCh00
13,Frank Tripucka,25,2TM,QB,12,7,1-6-0,91,186,48.9,809,3,1.6,17,9.1,42,4.3,0.56,8.9,67.4,28.3,148,1,1,,TripFr00
13,Frank Tripucka,25,CRD,QB,6,1,0-1-0,5,12,41.7,40,0,0.0,0,0.0,13,3.3,3.33,8.0,6.7,50.7,16,0,0,,TripFr00
13,Frank Tripucka,25,DTX,QB,6,6,1-5-0,86,174,49.4,769,3,1.7,17,9.8,42,4.4,0.37,8.9,128.2,27.8,132,1,1,,TripFr00
14,Steve Romanik,28,CHI,QB,10,3,1-2-0,49,126,38.9,772,4,3.2,11,8.7,49,6.1,2.83,15.8,77.2,34.2,114,1,1,,RomaSt00
15,George Blanda,25,CHI,QB,12,2,1-1-0,47,131,35.9,664,8,6.1,11,8.4,59,5.1,2.51,14.1,55.3,38.5,74,1,1,,BlanGe00
16,Bob Waterfield,32,RAM,QB,12,6,3-3-0,51,109,46.8,655,3,2.8,11,10.1,63,6.0,2.02,12.8,54.6,35.7,31,1,1,,WateBo01
