Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
17,Don Panciera,25,CRD,QB,10,1,0-1-0,35,96,36.5,582,5,5.2,9,9.4,47,6.1,2.89,16.6,58.2,36.0,107,0,0,,PancDo20
18,Bob Williams,22,CHI,QB,11,7,3-4-0,45,87,51.7,579,6,6.9,5,5.7,56,6.7,5.45,12.9,52.6,72.0,95,0,0,,WillBo20
19,Adrian Burk,25,PHI,QB,12,3,2-1-0,37,82,45.1,561,4,4.9,5,6.1,84,6.8,5.07,15.2,46.8,59.0,108,0,0,,BurkAd00
20,Harry Gilmer,26,WAS,LH,12,8,,31,58,53.4,555,4,6.9,4,6.9,61,9.6,7.84,17.9,46.3,80.7,124,0,0,PB,GilmHa00
21,Bob Celeri,25,DTX,QB,8,4,0-3-0,31,75,41.3,490,3,4.0,3,4.0,78,6.5,5.53,15.8,61.3,60.4,188,0,0,,CeleBo00
22,Jim Hardy,29,DET,QB,9,1,0-1-0,28,59,47.5,434,3,5.1,5,8.5,49,7.4,4.56,15.5,48.2,53.9,55,0,0,,HardJi00
23,Fred Enke,28,PHI,QB,9,0,,22,67,32.8,377,1,1.5,5,7.5,65,5.6,2.57,17.1,41.9,26.8,27,1,1,,EnkeFr20
24,Fred Benners,22,NYG,QB,6,0,,25,58,43.1,320,0,0.0,5,8.6,35,5.5,1.64,12.8,53.3,25.1,109,1,1,,BennFr00
25,George Taliaferro,25,DTX,LH,12,12,,16,63,25.4,298,2,3.2,6,9.5,48,4.7,1.08,18.6,24.8,17.8,27,0,0,PBAP-2,TaliGe00
26,Hank Lauricella,22,DTX,HB,11,6,,11,22,50.0,177,4,18.2,2,9.1,34,8.0,7.59,16.1,16.1,79.0,40,0,0,,LaurHa20
27,Tom Landry,28,NYG,SS,12,11,0-1-0,11,47,23.4,172,1,2.1,7,14.9,70,3.7,-2.62,15.6,14.3,9.8,42,0,0,,LandTo00
28,Sammy Baugh,38,WAS,QB,7,5,3-2-0,20,33,60.6,152,2,6.1,1,3.0,20,4.6,4.45,7.6,21.7,79.4,14,0,0,,BaugSa00
29,Kyle Rote,24,NYG,LH,12,3,,2,4,50.0,113,1,25.0,0,0.0,72,28.3,33.25,56.5,9.4,135.4,,0,0,,RoteKy00
30,Ray Mathews,23,PIT,LH,12,11,,3,13,23.1,104,0,0.0,1,7.7,69,8.0,4.54,34.7,8.7,28.4,9,0,0,PB,MathRa00
31,Gary Kerkorian,22,PIT,QB,12,0,,5,11,45.5,79,1,9.1,3,27.3,27,7.2,-3.27,15.8,6.6,60.6,52,0,0,,KerkGa20
32,Chuck Ortmann,23,DTX,B,3,3,0-2-0,5,15,33.3,73,0,0.0,1,6.7,54,4.9,1.87,14.6,24.3,22.4,26,0,0,,OrtmCh20
33,Don Klosterman,22,RAM,QB,2,0,,3,10,30.0,47,0,0.0,3,30.0,30,4.7,-8.80,15.7,23.5,7.1,18,0,0,,KlosDo20
34,Tom Dublinski,22,DET,QB,6,0,,1,6,16.7,39,0,0.0,1,16.7,39,6.5,-1.00,39.0,6.5,14.6,20,0,0,,DublTo00
35,George Ratterman,26,CLE,QB,6,0,,2,6,33.3,20,1,16.7,2,33.3,11,3.3,-8.33,10.0,3.3,43.7,18,0,0,,RattGe00
36,Frank Gifford,22,NYG,LH,10,10,,1,2,50.0,18,1,50.0,0,0.0,18,9.0,19.00,18.0,1.8,120.8,14,0,0,,GiffFr00
37,Pat Brady,26,PIT,P,12,0,,1,3,33.3,14,0,0.0,0,0.0,14,4.7,4.67,14.0,1.2,49.3,,0,0,,BradPa21
38,Bob Hoernschemeyer,27,DET,RH,10,10,,2,4,50.0,14,2,50.0,1,25.0,10,3.5,2.25,7.0,1.4,58.3,,0,0,PBAP-2,HoerBo00
39,Doak Walker,25,DET,LH,7,4,,1,2,50.0,9,0,0.0,1,50.0,9,4.5,-18.00,9.0,1.3,22.9,,0,0,,WalkDo00
40,Bob Forte,30,GNB,LLB,12,12,,2,2,100.0,4,0,0.0,0,0.0,5,2.0,2.00,2.0,0.3,79.2,,0,0,,FortBo20
41,Dub Jones,28,CLE,RH,12,12,,1,2,50.0,3,1,50.0,0,0.0,3,1.5,11.50,3.0,0.3,95.8,13,0,0,PB,JoneDu00
42,Joe Arenas,27,SFO,LH,12,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,ArenJo00
43,Tony Canadeo,33,GNB,LH,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,CanaTo00
44,Sam Cathcart,28,SFO,DB,12,2,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,CathSa20
45,Lynn Chandnois,27,PIT,RH,12,9,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,ChanLy00
46,Jug Girard,25,DET,LH,11,8,,0,4,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,GiraJu20
47,Charlie Justice,28,WAS,HB,11,3,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,JustCh00
48,Jimmy Lesane,22,CHI,DB,10,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,8,0,0,,LesaJi20
49,Marion Motley,32,CLE,FB,12,10,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,MotlMa00
50,Joe Perry,25,SFO,FB,12,12,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,PerrJo00
51,Jim Powers,24,SFO,LLB,12,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,13,0,0,,PoweJi20
52,Skeet Quinlan,24,RAM,LH,12,5,,0,4,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,QuinSk00
53,Vitamin Smith,29,RAM,RH,12,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,SmitVi21
54,Wilford White,24,CHI,HB,11,1,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,WhitWi21
55,Buddy Young,26,DTX,RH,12,10,,0,3,0.0,0,0,0.0,1,33.3,,0.0,-15.00,,0.0,0.0,10,0,0,,YounBu00
,League Average,,,,,,,,,46.3,,,5.4,,7.4,,6.7,4.42,14.4,45.7,55.7,,,,,-9999
