Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Johnny Unitas,30,BAL,QB,14,14,8-6-0,237,410,57.8,3481,20,4.9,12,2.9,64,8.5,8.15,14.7,248.6,89.7,42,298,9.29,7.04,6.73,3,3,PBAP-2,UnitJo00
2,Charley Johnson,25,STL,QB,14,14,9-5-0,222,423,52.5,3280,28,6.6,21,5.0,78,7.8,6.84,14.8,234.3,79.5,40,372,8.64,6.28,5.45,2,3,PB,JohnCh02
3,Y.A. Tittle,37,NYG,QB,13,13,11-2-0,221,367,60.2,3145,36,9.8,14,3.8,70,8.6,8.81,14.2,241.9,104.8,24,205,6.14,7.52,7.75,1,1,PBAP-1AP MVP-1,TittY.00
4,Norm Snead,24,WAS,QB,14,14,3-11-0,175,363,48.2,3043,13,3.6,27,7.4,77,8.4,5.75,17.4,217.4,58.1,37,337,9.25,6.77,4.38,1,1,PB,SneaNo00
5,Ed Brown,35,PIT,QB,14,14,7-4-3,168,362,46.4,2982,21,5.8,20,5.5,85,8.2,6.91,17.8,213.0,71.4,29,240,7.42,7.01,5.79,6,4,,BrowEd01
6,Earl Morrall,29,DET,QB,14,10,4-5-1,174,328,53.0,2621,24,7.3,14,4.3,75,8.0,7.53,15.1,187.2,86.2,29,243,8.12,6.66,6.24,1,0,,MorrEa00
7,Don Meredith,25,DAL,QB,14,12,4-8-0,167,310,53.9,2381,17,5.5,18,5.8,55,7.7,6.16,14.3,170.1,73.1,34,258,9.88,6.17,4.81,1,1,,MereDo00
8,Fran Tarkenton,23,MIN,QB,14,13,4-8-1,170,297,57.2,2311,15,5.1,15,5.1,67,7.8,6.52,13.6,165.1,78.0,42,448,12.39,5.50,4.39,2,2,,TarkFr00
9,Billy Wade,33,CHI,QB,14,14,11-1-2,192,356,53.9,2301,15,4.2,12,3.4,63,6.5,5.79,12.0,164.4,74.0,19,164,5.07,5.70,5.06,2,0,PB,WadeBi00
10,Frank Ryan,27,CLE,QB,13,13,10-3-0,135,256,52.7,2026,25,9.8,13,5.1,83,7.9,7.58,15.0,155.8,90.4,20,179,7.25,6.69,6.38,1,1,,RyanFr00
11,Roman Gabriel,23,RAM,QB,12,9,5-4-0,130,281,46.3,1947,8,2.8,11,3.9,77,6.9,5.74,15.0,162.3,62.7,44,337,13.54,4.95,3.92,3,3,,GabrRo00
12,Bart Starr,29,GNB,QB,13,10,8-1-1,132,244,54.1,1855,15,6.1,10,4.1,53,7.6,6.99,14.1,142.7,82.3,11,109,4.31,6.85,6.26,1,1,,StarBa00
13,Sonny Jurgensen,29,PHI,QB,9,8,1-6-1,99,184,53.8,1413,11,6.0,13,7.1,75,7.7,5.70,14.3,157.0,69.4,13,111,6.60,6.61,4.76,1,0,,JurgSo00
14,Lamar McHan,31,2TM,QB,12,9,2-7-0,83,196,42.3,1243,8,4.1,11,5.6,68,6.3,4.63,15.0,103.6,54.0,16,123,7.55,5.28,3.70,0,0,,McHaLa00
14,Lamar McHan,31,BAL,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,McHaLa00
14,Lamar McHan,31,SFO,QB,11,9,2-7-0,83,195,42.6,1243,8,4.1,11,5.6,68,6.4,4.66,15.0,113.0,54.3,16,123,7.58,5.31,3.72,0,0,,McHaLa00
15,King Hill,27,PHI,QB,14,6,1-4-1,91,186,48.9,1213,10,5.4,17,9.1,,6.5,3.48,13.3,86.6,49.9,9,104,4.62,5.69,2.79,0,0,,HillKi00
16,John Roach,30,GNB,QB,8,4,3-1-0,38,84,45.2,620,4,4.8,8,9.5,45,7.4,4.05,16.3,77.5,46.8,7,53,7.69,6.23,3.15,0,1,,RoacJo00
17,Zeke Bratkowski,32,2TM,QB,6,4,0-4-0,49,93,52.7,567,4,4.3,9,9.7,64,6.1,2.60,11.6,94.5,46.1,11,96,10.58,4.53,1.40,0,0,,BratZe00
17,Zeke Bratkowski,32,RAM,QB,4,4,0-4-0,45,82,54.9,471,3,3.7,6,7.3,42,5.7,3.18,10.5,117.8,53.5,11,96,11.83,4.03,1.77,0,0,,BratZe00
17,Zeke Bratkowski,32,GNB,QB,2,0,,4,11,36.4,96,1,9.1,3,27.3,64,8.7,-1.73,24.0,48.0,59.5,0,0,0.00,8.73,-1.73,0,0,,BratZe00
18,Bob Waters,25,SFO,QB,7,2,0-2-0,42,88,47.7,435,1,1.1,6,6.8,42,4.9,2.10,10.4,62.1,37.8,18,135,16.98,2.83,0.47,0,0,,WateBo00
19,Jim Ninowski,27,CLE,QB,4,1,0-1-0,29,61,47.5,423,2,3.3,6,9.8,70,6.9,3.16,14.6,105.8,41.9,4,45,6.15,5.82,2.28,0,0,,NinoJi00
20,Eddie LeBaron,33,DAL,QB,13,2,0-2-0,33,65,50.8,418,3,4.6,3,4.6,75,6.4,5.28,12.7,32.2,67.3,9,73,12.16,4.66,3.65,0,0,,LeBaEd00
21,George Izo,26,WAS,QB,5,0,,25,58,43.1,378,3,5.2,6,10.3,99,6.5,2.90,15.1,75.6,42.8,6,54,9.38,5.06,1.78,0,0,,IzoxGe00
22,Ron Vander Kelen,24,MIN,QB,6,1,1-0-0,27,58,46.6,376,1,1.7,2,3.4,53,6.5,5.28,13.9,62.7,59.3,9,70,13.43,4.57,3.52,0,0,,VandRo00
23,Rudy Bukich,33,CHI,QB,6,0,,29,43,67.4,369,3,7.0,2,4.7,44,8.6,7.88,12.7,61.5,97.9,1,13,2.27,8.09,7.41,1,1,,BukiRu00
24,John Brodie,28,SFO,QB,3,3,0-3-0,30,61,49.2,367,3,4.9,4,6.6,44,6.0,4.05,12.2,122.3,57.2,1,5,1.61,5.84,3.90,0,0,,BrodJo00
25,Milt Plum,28,DET,QB,10,4,1-3-0,27,77,35.1,339,2,2.6,12,15.6,39,4.4,-2.09,12.6,33.9,18.7,4,31,4.94,3.80,-2.37,0,0,,PlumMi00
26,Glynn Griffing,23,NYG,QB,13,0,,16,40,40.0,306,3,7.5,4,10.0,64,7.7,4.65,19.1,23.5,52.7,4,39,9.09,6.07,3.34,0,0,,GrifGl00
27,Terry Baker,22,RAM,QB,4,1,0-1-0,11,19,57.9,140,0,0.0,4,21.1,49,7.4,-2.11,12.7,35.0,41.4,6,60,24.00,3.20,-4.00,0,0,,BakeTe00
28,Ralph Guglielmi,30,2TM,QB,6,1,0-1-0,7,24,29.2,118,0,0.0,3,12.5,32,4.9,-0.71,16.9,19.7,8.0,11,94,31.43,0.69,-3.17,0,0,,GuglRa00
28,Ralph Guglielmi,30,NYG,QB,2,1,0-1-0,5,17,29.4,89,0,0.0,3,17.6,32,5.2,-2.71,17.8,44.5,9.3,7,67,29.17,0.92,-4.71,0,0,,GuglRa00
28,Ralph Guglielmi,30,PHI,QB,4,0,,2,7,28.6,29,0,0.0,0,0.0,19,4.1,4.14,14.5,7.3,44.3,4,27,36.36,0.18,0.18,0,0,,GuglRa00
29,Gary Cuozzo,22,BAL,QB,5,0,,10,17,58.8,104,0,0.0,0,0.0,23,6.1,6.12,10.4,20.8,76.6,2,11,10.53,4.89,4.89,0,0,,CuozGa00
30,Tom Moore,25,GNB,HB,12,12,,3,4,75.0,99,1,25.0,0,0.0,49,24.8,29.75,33.0,8.3,156.2,1,6,20.00,18.60,22.60,0,0,AP-2,MoorTo00
31,Buddy Humphrey,28,STL,QB,4,0,,4,11,36.4,96,1,9.1,0,0.0,33,8.7,10.55,24.0,24.0,99.1,0,0,0.00,8.73,10.55,0,0,,HumpBu00
32,Billy Ray Barnes,28,WAS,LHB,12,5,,3,4,75.0,81,1,25.0,0,0.0,32,20.3,25.25,27.0,6.8,156.2,0,0,0.00,20.25,25.25,0,0,,BarnBi00
33,Terry Nofsinger,25,PIT,QB,2,0,,2,3,66.7,46,0,0.0,0,0.0,27,15.3,15.33,23.0,23.0,109.7,0,0,0.00,15.33,15.33,0,0,,NofsTe00
34,Don Lisbon,22,SFO,HB,14,8,,1,2,50.0,45,1,50.0,0,0.0,45,22.5,32.50,45.0,3.2,135.4,0,0,0.00,22.50,32.50,0,0,,LisbDo00
35,Elijah Pitts,25,GNB,HB,14,2,,2,2,100.0,41,1,50.0,0,0.0,21,20.5,30.50,20.5,2.9,158.3,0,0,0.00,20.50,30.50,0,0,,PittEl00
36,Nick Pietrosante,26,DET,FB,11,11,,1,1,100.0,37,0,0.0,0,0.0,37,37.0,37.00,37.0,3.4,118.7,0,0,0.00,37.00,37.00,0,0,,PietNi00
37,John David Crow,28,STL,HB,3,0,,2,3,66.7,27,1,33.3,0,0.0,17,9.0,15.67,13.5,9.0,134.7,0,0,0.00,9.00,15.67,0,0,,CrowJo00
38,Tom Tracy,29,2TM,HB,8,0,,1,4,25.0,23,0,0.0,0,0.0,23,5.8,5.75,23.0,2.9,51.0,0,0,0.00,5.75,5.75,0,0,,TracTo00
38,Tom Tracy,29,PIT,HB,6,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,TracTo00
38,Tom Tracy,29,WAS,HB,2,0,,1,3,33.3,23,0,0.0,0,0.0,23,7.7,7.67,23.0,11.5,61.8,0,0,0.00,7.67,7.67,0,0,,TracTo00
39,Tom Matte,24,BAL,HB,14,13,,1,5,20.0,20,0,0.0,0,0.0,20,4.0,4.00,20.0,1.4,43.7,0,0,0.00,4.00,4.00,0,0,,MattTo00
40,Joe Morrison,26,NYG,FB,14,7,,1,2,50.0,18,0,0.0,0,0.0,18,9.0,9.00,18.0,1.3,81.2,0,0,0.00,9.00,9.00,0,0,,MorrJo01
41,Timmy Brown,26,PHI,HB,14,14,,1,3,33.3,11,1,33.3,1,33.3,11,3.7,-4.67,11.0,0.8,45.1,0,0,0.00,3.67,-4.67,0,0,PB,BrowTi01
42,Bill Anderson,27,WAS,LE,13,6,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,AndeBi00
43,Jon Arnett,28,RAM,HB,9,8,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,ArneJo00
44,Dick Bass,26,RAM,FB,12,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,BassDi00
45,Jim Brown,27,CLE,FB,14,14,,0,4,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,8,20.00,-1.60,-1.60,0,0,PBAP-1AP MVP-2,BrowJi00
46,Ronnie Bull,23,CHI,HB,13,9,,0,3,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,BullRo00
47,Tommy Davis,29,SFO,K,14,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,DaviTo20
48,Paul Dudley,24,PHI,HB,10,0,,0,0,,0,0,,0,,,,,,0.0,,1,10,100.00,-10.00,-10.00,0,0,,DudlPa00
49,Prentice Gautt,25,STL,FB,1,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GautPr00
