Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Dan Marino,25,MIA,QB,16,16,8-8-0,378,623,60.7,4746,44,7.1,23,3.7,245,50.6,85,7.6,7.37,12.6,296.6,92.5,17,119,2.66,7.23,6.99,1,2,PBAP-1AP MVP-3AP OPoY-2,MariDa00
2,Jay Schroeder,25,WAS,QB,16,16,12-4-0,276,541,51.0,4109,22,4.1,22,4.1,178,41.5,71,7.6,6.58,14.9,256.8,72.9,28,240,4.92,6.80,5.83,4,5,PB,SchrJa00
3,Boomer Esiason,25,CIN,QB,16,16,10-6-0,273,469,58.2,3959,24,5.1,17,3.6,177,47.9,57,8.4,7.83,14.5,247.4,87.7,26,194,5.25,7.61,7.03,3,4,PB,EsiaBo00
4,Bernie Kosar,23,CLE,QB,16,16,12-4-0,310,531,58.4,3854,17,3.2,10,1.9,172,43.2,72,7.3,7.05,12.4,240.9,83.8,39,274,6.84,6.28,6.09,4,6,,KosaBe00
5,Ken O'Brien,26,NYJ,QB,15,14,8-6-0,300,482,62.2,3690,25,5.2,20,4.1,167,48.3,83,7.7,6.83,12.3,246.0,85.8,40,353,7.66,6.39,5.63,3,3,AP OPoY-5,OBriKe00
6,Jim Kelly,26,BUF,QB,16,16,4-12-0,285,480,59.4,3593,22,4.6,17,3.5,152,43.8,84,7.5,6.81,12.6,224.6,83.3,43,330,8.22,6.24,5.62,0,0,,KellJi00
7,Warren Moon,30,HOU,QB,15,15,5-10-0,256,488,52.5,3489,13,2.7,26,5.3,159,39.9,81,7.1,5.28,13.6,232.6,62.3,41,332,7.75,5.97,4.25,0,0,,MoonWa00
8,Phil Simms,31,NYG,QB,16,16,14-2-0,259,468,55.3,3487,21,4.5,22,4.7,169,42.9,49,7.5,6.23,13.5,217.9,74.6,45,359,8.77,6.10,4.99,2,4,,SimmPh00
9,John Elway,26,DEN,QB,16,16,11-5-0,280,504,55.6,3485,19,3.8,13,2.6,168,40.9,53,6.9,6.51,12.4,217.8,79.0,32,233,5.97,6.07,5.68,1,1,PBAP MVP-5AP OPoY-5,ElwaJo00
10,Tony Eason,27,NWE,QB,15,14,10-4-0,276,448,61.6,3328,19,4.2,10,2.2,162,47.9,49,7.4,7.27,12.1,221.9,89.2,43,336,8.76,6.09,5.95,2,2,AP MVP-6,EasoTo00
