Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Drew Bledsoe,22,NWE,QB,16,16,10-6-0,400,691,57.9,4555,25,3.6,27,3.9,242,48.2,62,6.6,5.56,11.4,284.7,73.6,22,139,3.09,6.19,5.19,3,3,PB,BledDr00
2,Dan Marino,33,MIA,QB,16,16,10-6-0,385,615,62.6,4453,30,4.9,17,2.8,214,49.0,64,7.2,6.97,11.6,278.3,89.2,18,113,2.84,6.86,6.60,4,4,PBAP-2,MariDa00
3,Warren Moon,38,MIN,QB,15,15,9-6-0,371,601,61.7,4264,18,3.0,19,3.2,201,48.1,65,7.1,6.27,11.5,284.3,79.9,29,235,4.60,6.40,5.61,4,5,PB,MoonWa00
4,Steve Young,33,SFO,QB,16,16,13-3-0,324,461,70.3,3969,35,7.6,10,2.2,188,55.9,69,8.6,9.15,12.3,248.1,112.8,31,163,6.30,7.74,8.24,1,1,PBAP-1AP MVP-1AP OPoY-2,YounSt00
5,Brett Favre,25,GNB,QB,16,16,9-7-0,363,582,62.4,3882,33,5.7,14,2.4,200,46.2,49,6.7,6.72,10.7,242.6,90.7,31,188,5.06,6.03,6.08,1,2,,FavrBr00
6,Jim Everett,31,NOR,QB,16,16,7-9-0,346,540,64.1,3855,22,4.1,18,3.3,193,49.6,78,7.1,6.45,11.1,240.9,84.9,21,164,3.74,6.58,5.92,2,2,,EverJi00
7,Jeff George,27,ATL,QB,16,16,7-9-0,322,524,61.5,3734,23,4.4,18,3.4,184,48.4,85,7.1,6.46,11.6,233.4,83.3,32,206,5.76,6.35,5.72,0,0,,GeorJe00
8,John Elway,34,DEN,QB,14,14,7-7-0,307,494,62.1,3490,16,3.2,10,2.0,162,45.2,63,7.1,6.80,11.4,249.3,85.7,46,303,8.52,5.90,5.66,2,3,PB,ElwaJo00
9,Jeff Hostetler,33,RAI,QB,16,16,9-7-0,263,455,57.8,3334,20,4.4,16,3.5,149,42.5,77,7.3,6.62,12.7,208.4,80.8,41,232,8.27,6.25,5.61,2,3,PB,HostJe00
10,Joe Montana,38,KAN,QB,14,14,9-5-0,299,493,60.6,3283,16,3.2,9,1.8,172,46.7,57,6.7,6.49,11.0,234.5,83.6,19,132,3.71,6.15,5.99,2,2,,MontJo01
11,Randall Cunningham,31,PHI,QB,14,14,7-7-0,265,490,54.1,3229,16,3.3,13,2.7,146,39.8,93,6.6,6.05,12.2,230.6,74.4,43,333,8.07,5.43,4.94,2,2,,CunnRa00
