Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Johnny Unitas,26,BAL,QB,12,12,9-3-0,193,367,52.6,2899,32,8.7,14,3.8,71,7.9,7.93,15.0,241.6,92.0,185,2,3,PBAP-1AP MVP-1,UnitJo00
2,Norm Van Brocklin,33,PHI,QB,12,12,7-5-0,191,340,56.2,2617,16,4.7,14,4.1,71,7.7,6.79,13.7,218.1,79.5,72,1,3,PB,VanBNo00
3,Billy Wade,29,RAM,QB,12,9,2-7-0,153,261,58.6,2001,12,4.6,17,6.5,72,7.7,5.66,13.1,166.8,71.1,124,0,1,,WadeBi00
4,Milt Plum,24,CLE,QB,12,12,7-5-0,156,266,58.6,1992,14,5.3,8,3.0,76,7.5,7.19,12.8,166.0,87.2,157,1,1,,PlumMi00
5,Bobby Layne,33,PIT,QB,12,12,6-5-1,142,297,47.8,1986,20,6.7,21,7.1,48,6.7,4.85,14.0,165.5,62.8,219,3,2,PBAP-2,LaynBo00
6,Ed Brown,31,CHI,QB,12,8,5-3-0,125,247,50.6,1881,13,5.3,10,4.0,88,7.6,6.85,15.0,156.8,76.7,162,0,0,,BrowEd01
7,Charlie Conerly,38,NYG,QB,10,9,8-1-0,113,194,58.2,1706,14,7.2,4,2.1,77,8.8,9.31,15.1,170.6,102.7,65,1,1,AP-2AP MVP-2,ConeCh00
8,Y.A. Tittle,33,SFO,QB,11,10,6-4-0,102,199,51.3,1331,10,5.0,15,7.5,75,6.7,4.30,13.0,121.0,58.0,136,1,1,PB,TittY.00
9,Earl Morrall,25,DET,QB,12,5,2-3-0,65,137,47.4,1102,5,3.6,6,4.4,79,8.0,6.80,17.0,91.8,69.1,228,0,0,,MorrEa00
10,Eddie LeBaron,29,WAS,QB,12,7,2-5-0,77,173,44.5,1077,8,4.6,11,6.4,49,6.2,4.29,14.0,89.8,54.0,136,0,1,,LeBaEd00
11,King Hill,23,CRD,QB,11,10,2-8-0,82,181,45.3,1015,7,3.9,13,7.2,31,5.6,3.15,12.4,92.3,46.2,137,0,0,,HillKi00
12,Bart Starr,25,GNB,QB,12,5,4-1-0,70,134,52.2,972,6,4.5,7,5.2,44,7.3,5.80,13.9,81.0,69.0,30,0,0,,StarBa00
13,Tobin Rote,31,DET,QB,10,7,1-5-1,62,162,38.3,861,5,3.1,19,11.7,59,5.3,0.65,13.9,86.1,26.8,232,0,0,,RoteTo00
14,Lamar McHan,27,GNB,QB,12,7,3-4-0,48,108,44.4,805,8,7.4,9,8.3,81,7.5,5.19,16.8,67.1,60.1,94,2,2,,McHaLa00
15,Frank Ryan,23,RAM,QB,10,3,0-3-0,42,89,47.2,709,2,2.2,4,4.5,67,8.0,6.39,16.9,70.9,63.4,125,0,0,,RyanFr00
16,Ralph Guglielmi,26,WAS,QB,9,5,1-4-0,36,89,40.4,617,4,4.5,11,12.4,,6.9,2.27,17.1,68.6,40.1,130,0,0,,GuglRa00
17,George Shaw,26,NYG,QB,5,1,1-0-0,24,36,66.7,433,1,2.8,1,2.8,46,12.0,11.33,18.0,86.6,105.4,21,0,0,,ShawGe00
18,Zeke Bratkowski,28,CHI,QB,12,4,3-1-0,31,62,50.0,403,2,3.2,5,8.1,36,6.5,3.52,13.0,33.6,48.0,25,0,0,,BratZe00
19,John Brodie,24,SFO,QB,12,2,1-1-0,30,64,46.9,354,2,3.1,7,10.9,34,5.5,1.23,11.8,29.5,35.0,,0,0,,BrodJo00
20,John Roach,26,CRD,QB,12,5,0-2-0,22,57,38.6,340,2,3.5,4,7.0,62,6.0,3.51,15.5,28.3,41.6,9,0,0,,RoacJo00
21,Don Heinrich,29,NYG,QB,8,2,1-1-0,22,58,37.9,329,1,1.7,6,10.3,49,5.7,1.36,15.0,41.1,23.5,20,0,0,,HeinDo00
22,M.C. Reynolds,24,CRD,QB,8,0,,19,39,48.7,329,4,10.3,1,2.6,85,8.4,9.33,17.3,41.1,101.3,54,0,0,,ReynM.00
23,Jerry Reichow,25,DET,E,9,0,,9,27,33.3,168,0,0.0,2,7.4,41,6.2,2.89,18.7,18.7,24.9,7,0,0,,ReicJe00
24,Tom Tracy,25,PIT,LH/FB,12,12,,3,12,25.0,159,0,0.0,2,16.7,68,13.3,5.75,53.0,13.3,39.6,7,0,0,,TracTo00
25,Frank Gifford,29,NYG,LH,11,11,,5,11,45.5,151,2,18.2,2,18.2,43,13.7,9.18,30.2,13.7,92.0,,0,0,PBAP-1,GiffFr00
26,Paul Hornung,24,GNB,LH,12,12,,5,8,62.5,95,2,25.0,0,0.0,30,11.9,16.88,19.0,7.9,143.2,,0,0,PBAP-2,HornPa00
27,Joe Francis,23,GNB,QB,12,0,,5,18,27.8,91,0,0.0,1,5.6,24,5.1,2.56,18.2,7.6,25.0,7,0,0,,FranJo20
28,Bobby Joe Conrad,24,CRD,RH,12,12,,2,3,66.7,82,1,33.3,1,33.3,52,27.3,19.00,41.0,6.8,109.7,7,0,0,,ConrBo00
29,Eagle Day,27,WAS,QB,4,1,,6,13,46.2,79,0,0.0,1,7.7,20,6.1,2.62,13.2,19.8,33.8,29,0,0,,DayxEa00
30,Len Dawson,24,PIT,QB,12,0,,3,7,42.9,60,1,14.3,0,0.0,32,8.6,11.43,20.0,5.0,113.1,20,0,0,,DawsLe00
31,Bobby Luna,26,PIT,SS,12,11,,1,1,100.0,55,0,0.0,0,0.0,55,55.0,55.00,55.0,4.6,118.7,,0,0,,LunaBo20
32,Ed Sutton,24,WAS,LH,11,11,,2,7,28.6,51,1,14.3,0,0.0,29,7.3,10.14,25.5,4.6,97.0,,0,0,,SuttEd00
33,Jim Ninowski,23,CLE,QB,2,0,,3,10,30.0,41,0,0.0,1,10.0,20,4.1,-0.40,13.7,20.5,4.6,10,0,0,,NinoJi00
34,Ray Mathews,30,PIT,FL,12,7,,1,1,100.0,38,0,0.0,0,0.0,38,38.0,38.00,38.0,3.2,118.7,,0,0,,MathRa00
35,Sonny Jurgensen,25,PHI,QB,12,0,,3,5,60.0,27,1,20.0,0,0.0,19,5.4,9.40,9.0,2.3,114.2,,0,0,,JurgSo00
36,Lenny Moore,26,BAL,RH,12,12,,2,3,66.7,25,1,33.3,0,0.0,13,8.3,15.00,12.5,2.1,131.9,,0,0,PBAP-1,MoorLe00
37,Ray Brown,23,BAL,FS,12,10,,1,4,25.0,14,0,0.0,0,0.0,14,3.5,3.50,14.0,1.2,41.7,,0,0,,BrowRa21
38,Joe Morrison,22,NYG,HB,12,3,,1,2,50.0,14,0,0.0,0,0.0,14,7.0,7.00,14.0,1.2,72.9,,0,0,,MorrJo01
39,Jon Arnett,24,RAM,LH,12,11,,1,5,20.0,13,0,0.0,0,0.0,13,2.6,2.60,13.0,1.1,39.6,,0,0,PB,ArneJo00
40,Billy Ray Barnes,24,PHI,LH,12,12,,0,7,0.0,0,0,0.0,2,28.6,,0.0,-12.86,,0.0,0.0,,0,0,PB,BarnBi00
41,Terry Barr,24,DET,RDH,11,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,BarrTe00
42,Don Bosseler,23,WAS,FB,12,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,12,0,0,PB,BossDo00
43,Rick Casares,28,CHI,FB,12,12,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,13,0,0,PB,CasaRi00
44,L.G. Dupre,27,BAL,LH,4,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,DuprL.00
45,Yale Lary,29,DET,RDH,10,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-2,LaryYa00
46,Ollie Matson,29,RAM,FB,12,9,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,MatsOl00
47,Dicky Moegle,25,SFO,DB,8,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,MoegDi00
48,Jimmy Orr,24,PIT,LE,12,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-2,OrrxJi00
49,Jim Podoley,26,WAS,HB,11,5,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,PodoJi00
50,Alex Webster,28,NYG,RH,10,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,WebsAl00
,League Average,,,,,,,,,50.0,,,5.3,,6.0,,7.2,5.63,14.5,50.5,66.9,,,,,-9999
