Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Bert Jones,25,BAL,QB,14,14,11-3-0,207,343,60.3,3104,24,7.0,9,2.6,79,9.0,9.27,15.0,221.7,102.5,29,284,7.80,7.58,7.78,1,1,PBAP-1AP MVP-1AP OPoY-1,JoneBe00
2,Fran Tarkenton,36,MIN,QB,13,13,10-2-1,255,412,61.9,2961,17,4.1,8,1.9,56,7.2,7.14,11.6,227.8,89.3,25,221,5.72,6.27,6.22,1,3,PB,TarkFr00
3,Jim Hart,32,STL,QB,14,14,10-4-0,218,388,56.2,2946,18,4.6,13,3.4,77,7.6,7.01,13.5,210.4,82.0,17,132,4.20,6.95,6.39,3,4,PB,HartJi00
4,Ken Stabler,31,OAK,QB,12,12,11-1-0,194,291,66.7,2737,27,9.3,17,5.8,88,9.4,8.63,14.1,228.1,103.4,19,203,6.13,8.17,7.45,3,4,PBAP-2AP MVP-3AP OPoY-2,StabKe00
5,Roger Staubach,34,DAL,QB,14,14,11-3-0,208,369,56.4,2715,14,3.8,11,3.0,53,7.4,6.78,13.1,193.9,79.9,29,215,7.29,6.28,5.74,1,2,PB,StauRo00
6,Mike Livingston,31,KAN,QB,14,14,5-9-0,189,338,55.9,2682,12,3.6,13,3.8,57,7.9,6.91,14.2,191.6,77.6,31,284,8.40,6.50,5.56,3,3,,LiviMi00
7,Jim Zorn,23,SEA,QB,14,14,2-12-0,208,439,47.4,2571,12,2.7,27,6.2,80,5.9,3.64,12.4,183.6,49.5,25,196,5.39,5.12,3.02,0,0,,ZornJi00
8,Dan Fouts,25,SDG,QB,14,13,5-8-0,208,359,57.9,2535,14,3.9,15,4.2,81,7.1,5.96,12.2,181.1,75.4,39,220,9.80,5.82,4.82,1,2,,FoutDa00
9,Ken Anderson,27,CIN,QB,14,14,10-4-0,179,338,53.0,2367,19,5.6,14,4.1,85,7.0,6.26,13.2,169.1,76.9,34,235,9.14,5.73,5.06,3,3,PB,AndeKe00
10,Greg Landry,30,DET,QB,14,12,5-7-0,168,291,57.7,2191,17,5.8,8,2.7,74,7.5,7.46,13.0,156.5,89.6,55,397,15.90,5.18,5.13,1,1,,LandGr00
