Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Dan Marino,27,MIA,QB,16,16,6-10-0,354,606,58.4,4434,28,4.6,23,3.8,212,50.0,80,7.3,6.53,12.5,277.1,80.8,6,31,0.98,7.19,6.42,1,2,AP OPoY-4,MariDa00
2,Jim Everett,25,RAM,QB,16,16,10-6-0,308,517,59.6,3964,31,6.0,18,3.5,200,50.3,69,7.7,7.30,12.9,247.8,89.2,28,197,5.14,6.91,6.56,0,0,,EverJi00
3,Randall Cunningham,25,PHI,QB,16,16,10-6-0,301,560,53.8,3808,24,4.3,16,2.9,174,39.5,80,6.8,6.37,12.7,238.0,77.6,57,442,9.24,5.46,5.07,3,3,PBAP-2AP MVP-2AP OPoY-3,CunnRa00
4,Boomer Esiason,27,CIN,QB,16,16,12-4-0,223,388,57.5,3572,28,7.2,14,3.6,164,47.4,86,9.2,9.03,16.0,223.3,97.4,30,245,7.18,7.96,7.79,3,4,PBAP-1AP MVP-1AP OPoY-2,EsiaBo00
5,Neil Lomax,29,PHO,QB,14,14,7-7-0,255,443,57.6,3395,20,4.5,11,2.5,154,46.0,93,7.7,7.45,13.3,242.5,86.7,46,315,9.41,6.30,6.10,2,2,,LomaNe00
6,Jim Kelly,28,BUF,QB,16,16,12-4-0,269,452,59.5,3380,15,3.3,17,3.8,160,47.3,66,7.5,6.45,12.6,211.3,78.2,30,229,6.22,6.54,5.57,3,5,PB,KellJi00
7,Phil Simms,33,NYG,QB,15,15,9-6-0,263,479,54.9,3359,21,4.4,11,2.3,157,42.1,62,7.0,6.86,12.8,223.9,82.1,53,405,9.96,5.55,5.41,1,1,,SimmPh00
8,John Elway,28,DEN,QB,15,15,8-7-0,274,496,55.2,3309,17,3.4,19,3.8,171,44.5,86,6.7,5.63,12.1,220.6,71.4,30,237,5.70,5.84,4.86,1,1,,ElwaJo00
9,Vinny Testaverde,25,TAM,QB,15,15,5-10-0,222,466,47.6,3240,13,2.8,35,7.5,156,39.1,59,7.0,4.13,14.6,216.0,48.8,33,292,6.61,5.91,3.27,2,3,,TestVi00
10,Bobby Hebert,28,NOR,QB,16,16,10-6-0,280,478,58.6,3156,20,4.2,15,3.1,173,46.8,40,6.6,6.03,11.3,197.3,79.3,24,171,4.78,5.95,5.40,1,2,,HebeBo00
11,Steve Pelluer,26,DAL,QB,16,14,3-11-0,245,435,56.3,3139,17,3.9,19,4.4,147,42.5,61,7.2,6.03,12.8,196.2,73.9,21,112,4.61,6.64,5.51,1,2,,PellSt00
12,Joe Montana,32,SFO,QB,14,13,8-5-0,238,397,59.9,2981,18,4.5,10,2.5,131,45.2,96,7.5,7.28,12.5,212.9,87.9,34,223,7.89,6.40,6.19,2,2,,MontJo01
13,Steve DeBerg,34,KAN,QB,13,11,4-6-1,224,414,54.1,2935,16,3.9,16,3.9,132,41.0,80,7.1,6.12,13.1,225.8,73.5,30,246,6.76,6.06,5.16,3,3,,DebeSt00
14,Wade Wilson,29,MIN,QB,14,10,7-3-0,204,332,61.4,2746,15,4.5,9,2.7,124,46.3,68,8.3,7.95,13.5,196.1,91.5,33,227,9.04,6.90,6.61,0,0,PB,WilsWa00
15,Bubby Brister,26,PIT,QB,13,13,4-9-0,175,370,47.3,2634,11,3.0,14,3.8,117,35.0,89,7.1,6.01,15.1,202.6,65.3,36,292,8.87,5.77,4.76,1,1,,BrisBu00
16,Doug Williams,33,WAS,QB,11,10,4-6-0,213,380,56.1,2609,15,3.9,12,3.2,119,46.4,58,6.9,6.23,12.2,237.2,77.4,10,88,2.56,6.46,5.85,3,4,,WillDo01
17,Ken O'Brien,28,NYJ,QB,14,12,6-5-1,236,424,55.7,2567,15,3.5,7,1.7,140,43.0,50,6.1,6.02,10.9,183.4,78.6,37,267,8.03,4.99,4.96,2,3,,OBriKe00
18,Warren Moon,32,HOU,QB,11,11,7-4-0,160,294,54.4,2327,17,5.8,8,2.7,110,46.4,57,7.9,7.85,14.5,211.5,88.4,12,120,3.92,7.21,7.15,1,1,PBAP MVP-5,MoonWa00
