Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Brett Favre,26,GNB,QB,16,16,11-5-0,359,570,63.0,4413,38,6.7,13,2.3,226,50.4,99,7.7,8.05,12.3,275.8,99.5,33,217,5.47,6.96,7.25,0,1,PBAP-1AP MVP-1AP OPoY-1,FavrBr00
2,Scott Mitchell,27,DET,QB,16,16,10-6-0,346,583,59.3,4338,32,5.5,12,2.1,221,49.0,91,7.4,7.61,12.5,271.1,92.3,31,145,5.05,6.83,6.99,1,2,,MitcSc00
3,Warren Moon,39,MIN,QB,16,16,8-8-0,377,606,62.2,4228,33,5.4,14,2.3,213,48.1,85,7.0,7.03,11.2,264.3,91.5,38,277,5.90,6.14,6.18,0,3,PB,MoonWa00
4,Jeff George,28,ATL,QB,16,16,9-7-0,336,557,60.3,4143,24,4.3,11,2.0,201,48.0,62,7.4,7.41,12.3,258.9,89.5,43,270,7.17,6.46,6.43,1,4,,GeorJe00
5,John Elway,35,DEN,QB,16,16,8-8-0,316,542,58.3,3970,26,4.8,14,2.6,190,46.1,62,7.3,7.12,12.6,248.1,86.4,22,180,3.90,6.72,6.52,1,3,,ElwaJo00
6,Jim Everett,32,NOR,QB,16,16,7-9-0,345,567,60.8,3970,26,4.6,14,2.5,201,47.5,70,7.0,6.81,11.5,248.1,87.0,27,210,4.55,6.33,6.14,0,2,,EverJi00
7,Erik Kramer,31,CHI,QB,16,16,9-7-0,315,522,60.3,3838,29,5.6,10,1.9,201,49.7,76,7.4,7.60,12.2,239.9,93.5,15,95,2.79,6.97,7.21,1,2,,KramEr00
8,Jeff Blake,25,CIN,QB,16,16,7-9-0,326,567,57.5,3822,28,4.9,17,3.0,178,45.2,88,6.7,6.38,11.7,238.9,82.1,24,152,4.06,6.21,5.86,2,3,PB,BlakJe00
9,Dan Marino,34,MIA,QB,14,14,9-5-0,309,482,64.1,3668,24,5.0,15,3.1,189,49.8,67,7.6,7.21,11.9,262.0,90.8,22,153,4.37,6.97,6.59,2,3,PBAP-2,MariDa00
10,Dave Krieg,37,ARI,QB,16,16,4-12-0,304,521,58.3,3554,16,3.1,21,4.0,168,39.7,48,6.8,5.62,11.7,222.1,72.6,53,380,9.23,5.53,4.44,3,2,,KrieDa00
11,Drew Bledsoe,23,NWE,QB,15,15,6-9-0,323,636,50.8,3507,13,2.0,16,2.5,192,38.1,47,5.5,4.79,10.9,233.8,63.7,23,170,3.49,5.06,4.37,2,2,,BledDr00
12,Stan Humphries,30,SDG,QB,15,15,9-6-0,282,478,59.0,3381,17,3.6,14,2.9,170,47.1,51,7.1,6.47,12.0,225.4,80.4,23,197,4.59,6.36,5.78,1,2,,HumpSt00
13,Troy Aikman,29,DAL,QB,16,16,12-4-0,280,432,64.8,3304,16,3.7,7,1.6,173,50.9,50,7.6,7.66,11.8,206.5,93.6,14,89,3.14,7.21,7.22,2,2,PB,AikmTr00
14,Steve Young,34,SFO,QB,11,11,8-3-0,299,447,66.9,3200,20,4.5,11,2.5,159,50.8,57,7.2,6.95,10.7,290.9,92.3,25,115,5.30,6.54,6.33,0,0,PBAP-2,YounSt00
15,Jim Kelly,35,BUF,QB,15,15,10-5-0,255,458,55.7,3130,22,4.8,13,2.8,129,40.9,77,6.8,6.52,12.3,208.7,81.1,26,181,5.37,6.09,5.79,1,2,,KellJi00
16,Steve Bono,33,KAN,QB,16,16,13-3-0,293,520,56.3,3121,21,4.0,10,1.9,161,41.6,60,6.0,5.94,10.7,195.1,79.5,21,158,3.88,5.48,5.42,3,1,PB,BonoSt00
17,Neil O'Donnell,29,PIT,QB,12,12,9-3-0,246,416,59.1,2970,17,4.1,7,1.7,137,44.3,71,7.1,7.20,12.1,247.5,87.7,15,126,3.48,6.60,6.66,2,4,,ODonNe00
18,Vinny Testaverde,32,CLE,QB,13,12,4-8-0,241,392,61.5,2883,17,4.3,10,2.6,146,48.4,70,7.4,7.07,12.0,221.8,87.8,17,87,4.16,6.84,6.57,0,1,,TestVi00
19,Dave Brown,25,NYG,QB,16,16,5-11-0,254,456,55.7,2814,11,2.4,10,2.2,147,40.4,57,6.2,5.67,11.1,175.9,73.1,44,206,8.80,5.22,4.76,1,1,,BrowDa00
20,Trent Dilfer,23,TAM,QB,16,16,7-9-0,224,415,54.0,2774,4,1.0,18,4.3,133,39.4,64,6.7,4.93,12.4,173.4,60.1,47,331,10.17,5.29,3.71,1,3,,DilfTr00
21,Gus Frerotte,24,WAS,QB,16,11,3-8-0,199,396,50.3,2751,13,3.3,13,3.3,129,39.4,73,6.9,6.13,13.8,171.9,70.2,23,192,5.49,6.11,5.33,1,0,,FrerGu00
22,Kerry Collins,23,CAR,QB,15,13,7-6-0,214,433,49.4,2717,14,3.2,19,4.4,130,38.9,89,6.3,4.95,12.7,181.1,61.9,24,150,5.25,5.62,4.36,1,3,,CollKe00
23,Chris Miller,30,STL,QB,13,13,7-6-0,232,405,57.3,2623,18,4.4,15,3.7,129,39.7,72,6.5,5.70,11.3,201.8,76.2,31,244,7.11,5.46,4.73,0,0,,MillCh00
24,Jim Harbaugh,32,IND,QB,15,12,7-5-0,200,314,63.7,2575,17,5.4,5,1.6,115,47.4,52,8.2,8.57,12.9,171.7,100.7,36,219,10.29,6.73,7.06,3,4,PBAP MVP-4,HarbJi00
25,Rick Mirer,25,SEA,QB,15,13,7-6-0,209,391,53.5,2564,13,3.3,20,5.1,127,38.6,59,6.6,4.92,12.3,170.9,63.7,42,255,9.70,5.33,3.85,1,1,,MireRi00
26,Chris Chandler,30,HOU,QB,13,13,5-8-0,225,356,63.2,2460,17,4.8,10,2.8,111,46.9,76,6.9,6.60,10.9,189.2,87.8,21,173,5.57,6.07,5.77,0,0,,ChanCh00
27,Rodney Peete,29,PHI,QB,15,12,9-3-0,215,375,57.3,2326,8,2.1,14,3.7,111,41.9,37,6.2,4.95,10.8,155.1,67.3,33,166,8.09,5.29,4.14,3,4,,PeetRo00
28,Boomer Esiason,34,NYJ,QB,12,12,2-10-0,221,389,56.8,2275,16,4.1,15,3.9,118,39.7,43,5.8,4.94,10.3,189.6,71.4,27,198,6.49,4.99,4.14,0,0,,EsiaBo00
