Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Sonny Jurgensen,28,PHI,QB,14,13,3-9-1,196,366,53.6,3261,22,6.0,26,7.1,84,8.9,6.92,16.6,232.9,74.3,21,212,5.43,7.88,5.99,0,0,,JurgSo00
2,Y.A. Tittle,36,NYG,QB,14,14,12-2-0,200,375,53.3,3224,33,8.8,20,5.3,69,8.6,7.96,16.1,230.3,89.5,10,92,2.60,8.14,7.51,1,1,PBAP-1AP MVP-2,TittY.00
3,Billy Wade,32,CHI,QB,14,14,9-5-0,225,412,54.6,3172,18,4.4,24,5.8,73,7.7,5.95,14.1,226.6,70.0,27,226,6.15,6.71,5.07,3,4,,WadeBi00
4,Johnny Unitas,29,BAL,QB,14,14,7-7-0,222,389,57.1,2967,23,5.9,23,5.9,80,7.6,6.15,13.4,211.9,76.5,31,255,7.38,6.46,5.09,3,3,PB,UnitJo00
5,Norm Snead,23,WAS,QB,14,14,5-7-2,184,354,52.0,2926,22,6.2,22,6.2,85,8.3,6.71,15.9,209.0,74.7,31,240,8.05,6.98,5.55,3,1,PB,SneaNo00
6,Fran Tarkenton,22,MIN,QB,14,14,2-11-1,163,329,49.5,2595,22,6.7,25,7.6,89,7.9,5.81,15.9,185.4,66.9,45,450,12.03,5.74,3.90,0,0,,TarkFr00
7,Charley Johnson,24,STL,QB,11,10,3-6-1,150,308,48.7,2440,16,5.2,20,6.5,86,7.9,6.04,16.3,221.8,65.9,17,184,5.23,6.94,5.16,1,0,,JohnCh02
8,Bart Starr,28,GNB,QB,14,14,13-1-0,178,285,62.5,2438,12,4.2,9,3.2,83,8.6,7.98,13.7,174.1,90.7,30,286,9.52,6.83,6.31,3,3,PBAP-2,StarBa00
9,Milt Plum,27,DET,QB,14,14,11-3-0,179,325,55.1,2378,15,4.6,20,6.2,80,7.3,5.47,13.3,169.9,68.2,19,211,5.52,6.30,4.56,0,0,,PlumMi00
10,John Brodie,27,SFO,QB,14,13,6-7-0,175,304,57.6,2272,18,5.9,16,5.3,80,7.5,6.29,13.0,162.3,79.0,33,349,9.79,5.71,4.64,0,1,,BrodJo00
11,Bobby Layne,36,PIT,QB,13,11,7-4-0,116,233,49.8,1686,9,3.9,17,7.3,62,7.2,4.73,14.5,129.7,56.2,23,193,8.98,5.83,3.55,2,2,,LaynBo00
12,Don Meredith,24,DAL,QB,13,8,2-5-1,105,212,49.5,1679,15,7.1,8,3.8,69,7.9,7.64,16.0,129.2,84.2,17,151,7.42,6.67,6.41,0,0,,MereDo00
