Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Joe Namath,29,NYJ,QB,13,13,7-6-0,162,324,50.0,2816,19,5.9,21,6.5,83,8.7,6.95,17.4,216.6,72.5,11,101,3.28,8.10,6.42,2,2,PBAP-2AP MVP-3AP OPoY-7,NamaJo00
2,Archie Manning,23,NOR,QB,14,14,2-11-1,230,448,51.3,2781,18,4.0,21,4.7,66,6.2,4.90,12.1,198.6,64.6,43,347,8.76,4.96,3.77,1,1,,MannAr00
3,Fran Tarkenton,32,MIN,QB,14,14,7-7-0,215,378,56.9,2651,18,4.8,13,3.4,76,7.0,6.42,12.3,189.4,80.2,26,203,6.44,6.06,5.50,4,3,,TarkFr00
4,John Hadl,32,SDG,QB,14,14,4-9-1,190,370,51.4,2449,15,4.1,26,7.0,61,6.6,4.27,12.9,174.9,56.7,19,187,4.88,5.81,3.58,2,1,PB,HadlJo00
5,Craig Morton,29,DAL,QB,14,14,10-4-0,185,339,54.6,2396,15,4.4,21,6.2,46,7.1,5.17,13.0,171.1,65.9,23,179,6.35,6.12,4.34,0,0,,MortCr00
6,Norm Snead,33,NYG,QB,14,13,8-5-0,196,325,60.3,2307,17,5.2,12,3.7,94,7.1,6.48,11.8,164.8,84.0,8,66,2.40,6.73,6.13,2,3,PB,SneaNo00
7,Jim Plunkett,25,NWE,QB,14,14,3-11-0,169,355,47.6,2196,8,2.3,25,7.0,62,6.2,3.47,13.0,156.9,45.7,39,385,9.90,4.60,2.15,2,2,,PlunJi00
8,Bob Berry,30,ATL,QB,14,14,7-7-0,154,277,55.6,2158,13,4.7,12,4.3,57,7.8,6.78,14.0,154.1,78.5,39,255,12.34,6.02,5.14,0,1,,BerrBo00
9,Greg Landry,26,DET,QB,14,14,8-5-1,134,268,50.0,2066,18,6.7,17,6.3,82,7.7,6.20,15.4,147.6,71.8,25,149,8.53,6.54,5.16,2,2,,LandGr00
10,Roman Gabriel,32,RAM,QB,14,12,6-6-0,165,323,51.1,2027,12,3.7,15,4.6,57,6.3,4.93,12.3,144.8,63.8,12,102,3.58,5.75,4.45,0,1,,GabrRo00
11,Daryle Lamonica,31,OAK,QB,14,13,10-2-1,149,281,53.0,1998,18,6.4,12,4.3,70,7.1,6.47,13.4,142.7,79.5,14,136,4.75,6.31,5.70,3,2,PB,LamoDa00
12,Mike Phipps,25,CLE,QB,14,13,10-3-0,144,305,47.2,1994,13,4.3,16,5.2,80,6.5,5.03,13.8,142.4,61.0,23,183,7.01,5.52,4.12,4,5,,PhipMi00
13,Steve Spurrier,27,SFO,QB,13,9,6-2-1,147,269,54.6,1983,18,6.7,16,5.9,81,7.4,6.03,13.5,152.5,75.9,14,114,4.95,6.60,5.33,1,0,,SpurSt00
14,Ken Anderson,23,CIN,QB,13,13,7-6-0,171,301,56.8,1918,7,2.3,7,2.3,65,6.4,5.79,11.2,147.5,74.0,18,155,5.64,5.53,4.98,2,2,,AndeKe00
15,Terry Bradshaw,24,PIT,QB,14,14,11-3-0,147,308,47.7,1887,12,3.9,12,3.9,78,6.1,5.15,12.8,134.8,64.1,29,237,8.61,4.90,4.01,2,3,,BradTe00
16,Len Dawson,37,KAN,QB,14,12,7-5-0,175,305,57.4,1835,13,4.3,12,3.9,44,6.0,5.10,10.5,131.1,72.8,28,255,8.41,4.74,3.90,2,2,,DawsLe00
17,Charley Johnson,34,DEN,QB,12,9,4-5-0,132,238,55.5,1783,14,5.9,14,5.9,60,7.5,6.02,13.5,148.6,74.6,12,82,4.80,6.80,5.40,1,1,,JohnCh02
18,Dan Pastorini,23,HOU,QB,14,12,1-11-0,144,299,48.2,1711,7,2.3,12,4.0,82,5.7,4.38,11.9,122.2,57.1,37,310,11.01,4.17,2.98,0,0,,PastDa00
19,Dennis Shaw,25,BUF,QB,14,13,4-8-1,136,258,52.7,1666,14,5.4,17,6.6,58,6.5,4.58,12.3,119.0,63.5,38,320,12.84,4.55,2.91,3,3,,ShawDe00
20,Billy Kilmer,33,WAS,QB,12,10,7-3-0,120,225,53.3,1648,19,8.4,11,4.9,89,7.3,6.81,13.7,137.3,84.8,9,67,3.85,6.76,6.26,1,2,PBAP MVP-6,KilmBi00
21,John Reaves,22,PHI,QB,11,7,0-7-0,108,224,48.2,1508,7,3.1,12,5.4,77,6.7,4.95,14.0,137.1,58.4,38,322,14.50,4.53,3.00,0,0,,ReavJo00
22,Marty Domres,25,BAL,QB,12,9,4-5-0,115,222,51.8,1392,11,5.0,6,2.7,62,6.3,6.05,12.1,116.0,76.6,11,96,4.72,5.56,5.35,1,1,,DomrMa00
23,Earl Morrall,38,MIA,QB,14,9,9-0-0,83,150,55.3,1360,11,7.3,7,4.7,49,9.1,8.43,16.4,97.1,91.0,14,114,8.54,7.60,7.02,1,1,AP-1AP MVP-2AP OPoY-2,MorrEa00
24,Scott Hunter,25,GNB,QB,14,14,10-4-0,86,199,43.2,1252,6,3.0,9,4.5,49,6.3,4.86,14.6,89.4,55.5,13,86,6.13,5.50,4.16,1,3,,HuntSc00
25,Bobby Douglass,25,CHI,QB,14,14,4-9-1,75,198,37.9,1246,9,4.5,12,6.1,85,6.3,4.47,16.6,89.0,49.8,32,175,13.91,4.66,3.09,1,1,,DougBo00
26,Johnny Unitas,39,BAL,QB,8,5,1-4-0,88,157,56.1,1111,4,2.5,6,3.8,63,7.1,5.87,12.6,138.9,70.8,14,114,8.19,5.83,4.72,0,0,,UnitJo00
27,Steve Ramsey,24,DEN,QB,9,5,1-4-0,65,137,47.4,1050,3,2.2,9,6.6,55,7.7,5.15,16.2,116.7,53.5,26,184,15.95,5.31,3.20,0,0,,RamsSt00
28,Pete Liske,30,PHI,QB,14,7,2-4-1,71,138,51.4,973,3,2.2,7,5.1,67,7.1,5.20,13.7,69.5,60.4,11,107,7.38,5.81,4.10,1,0,,LiskPe00
29,John Brodie,37,SFO,QB,6,5,2-3-0,70,110,63.6,905,9,8.2,8,7.3,53,8.2,6.59,12.9,150.8,86.4,8,39,6.78,7.34,5.81,1,1,,BrodJo00
30,Gary Cuozzo,31,STL,QB,8,6,1-5-0,69,158,43.7,897,5,3.2,11,7.0,68,5.7,3.18,13.0,112.1,43.7,13,89,7.60,4.73,2.42,1,1,,CuozGa00
31,Jim Hart,28,STL,QB,6,3,2-1-0,60,119,50.4,857,5,4.2,5,4.2,98,7.2,6.15,14.3,142.8,70.6,7,56,5.56,6.36,5.37,0,0,,HartJi00
32,Bob Griese,27,MIA,QB,6,5,5-0-0,53,97,54.6,638,4,4.1,4,4.1,39,6.6,5.55,12.0,106.3,71.6,7,45,6.73,5.70,4.74,1,1,,GrieBo00
33,Sonny Jurgensen,38,WAS,QB,7,4,4-0-0,39,59,66.1,633,2,3.4,4,6.8,36,10.7,8.36,16.2,90.4,84.9,2,21,3.28,10.03,7.74,1,1,,JurgSo00
34,Virgil Carter,27,CIN,QB,10,1,1-0-0,47,82,57.3,579,3,3.7,4,4.9,36,7.1,5.60,12.3,57.9,71.1,6,37,6.82,6.16,4.80,0,0,,CartVi00
35,Ken Stabler,27,OAK,QB,14,1,0-1-0,44,74,59.5,524,4,5.4,3,4.1,22,7.1,6.34,11.9,37.4,82.3,8,75,9.76,5.48,4.80,0,1,,StabKe00
36,Mike Livingston,27,KAN,QB,5,2,1-1-0,41,78,52.6,480,7,9.0,8,10.3,36,6.2,3.33,11.7,96.0,61.9,6,42,7.14,5.21,2.60,0,0,,LiviMi00
37,Tim Van Galder,28,STL,QB,5,5,1-3-1,40,79,50.6,434,1,1.3,7,8.9,71,5.5,1.76,10.9,86.8,34.5,10,76,11.24,4.02,0.71,0,0,,VanGTi00
38,Brian Dowling,25,NWE,QB,14,0,,29,54,53.7,383,2,3.7,1,1.9,42,7.1,7.00,13.2,27.4,81.0,4,63,6.90,5.52,5.43,0,0,,DowlBr00
39,Kent Nix,28,HOU,QB,12,2,0-2-0,33,63,52.4,287,3,4.8,6,9.5,19,4.6,1.22,8.7,23.9,41.0,6,45,8.70,3.51,0.46,0,0,,NixxKe00
40,Pete Beathard,30,RAM,QB,14,2,0-1-1,19,48,39.6,255,1,2.1,7,14.6,33,5.3,-0.83,13.4,18.2,24.6,4,34,7.69,4.25,-1.42,0,0,,BeatPe00
41,Randy Johnson,28,NYG,QB,4,1,0-1-0,10,17,58.8,230,3,17.6,3,17.6,63,13.5,9.12,23.0,57.5,103.2,2,10,10.53,11.58,7.63,0,0,,JohnRa00
42,Bill Munson,31,DET,QB,2,0,,20,35,57.1,194,1,2.9,1,2.9,29,5.5,4.83,9.7,97.0,70.4,1,0,2.78,5.39,4.69,0,0,,MunsBi00
43,Mike Taliaferro,31,BUF,QB,5,0,,16,33,48.5,176,1,3.0,4,12.1,24,5.3,0.48,11.0,35.2,35.2,6,48,15.38,3.28,-0.82,0,0,,TaliMi00
44,Jim Del Gaizo,25,MIA,QB,4,0,,5,9,55.6,165,2,22.2,1,11.1,51,18.3,17.78,33.0,41.3,100.5,0,0,0.00,18.33,17.78,0,0,,DelGJi00
45,Jerry Tagge,22,GNB,QB,4,0,,10,29,34.5,154,0,0.0,0,0.0,31,5.3,5.31,15.4,38.5,52.9,3,27,9.38,3.97,3.97,0,0,,TaggJe00
46,Bill Nelsen,31,CLE,QB,4,1,0-1-0,14,31,45.2,141,0,0.0,3,9.7,26,4.5,0.19,10.1,35.3,19.1,3,29,8.82,3.29,-0.68,0,0,,NelsBi00
47,Bob Davis,27,NYJ,QB,14,1,0-1-0,10,22,45.5,114,2,9.1,1,4.5,35,5.2,4.95,11.4,8.1,72.9,6,52,21.43,2.21,2.04,0,0,,DaviBo00
48,O.J. Simpson,25,BUF,RB,14,14,,5,8,62.5,113,1,12.5,0,0.0,34,14.1,16.63,22.6,8.1,145.8,1,11,11.11,11.33,13.56,0,0,PBAP-1AP MVP-3AP OPoY-2,SimpO.00
49,Ron Widby,27,GNB,P,14,0,,2,2,100.0,102,1,50.0,0,0.0,68,51.0,61.00,51.0,7.3,158.3,0,0,0.00,51.00,61.00,0,0,,WidbRo20
50,Roger Staubach,30,DAL,QB,4,0,,9,20,45.0,98,0,0.0,2,10.0,21,4.9,0.40,10.9,24.5,20.4,8,59,28.57,1.39,-1.82,0,0,,StauRo00
51,George Blanda,45,OAK,QB,14,0,,5,15,33.3,77,1,6.7,0,0.0,26,5.1,6.47,15.4,5.5,73.5,2,19,11.76,3.41,4.59,0,0,,BlanGe00
52,Bob Lee,26,MIN,QB,2,0,,3,6,50.0,75,1,16.7,0,0.0,63,12.5,15.83,25.0,37.5,135.4,0,0,0.00,12.50,15.83,0,0,,LeexBo00
53,Marlin Briscoe,27,MIA,WR,10,3,,3,3,100.0,72,0,0.0,0,0.0,26,24.0,24.00,24.0,7.2,118.7,0,0,0.00,24.00,24.00,0,0,,BrisMa00
54,Donny Anderson,29,STL,RB,14,13,,2,3,66.7,71,0,0.0,0,0.0,38,23.7,23.67,35.5,5.1,109.7,0,0,0.00,23.67,23.67,0,0,,AndeDo00
55,Wayne Clark,25,SDG,QB,13,0,,2,6,33.3,67,0,0.0,2,33.3,62,11.2,-3.83,33.5,5.2,36.8,2,9,25.00,7.25,-4.00,0,0,,ClarWa00
56,Calvin Hill,25,DAL,RB,14,14,,1,3,33.3,55,1,33.3,0,0.0,55,18.3,25.00,55.0,3.9,121.5,0,0,0.00,18.33,25.00,0,0,PB,HillCa00
57,Leo Hart,23,BUF,QB,2,1,0-1-0,6,15,40.0,53,0,0.0,3,20.0,13,3.5,-5.47,8.8,26.5,10.6,4,32,21.05,1.11,-6.00,0,0,,HartLe00
58,Joe Gilliam,22,PIT,QB,2,0,,7,11,63.6,48,0,0.0,0,0.0,9,4.4,4.36,6.9,24.0,73.3,2,8,15.38,3.08,3.08,0,0,,GillJo00
59,Ed Baker,24,HOU,QB,1,0,,4,10,40.0,47,0,0.0,4,40.0,18,4.7,-13.30,11.8,47.0,15.4,2,17,16.67,2.50,-12.50,0,0,,BakeEd00
60,Rick Arrington,25,PHI,QB,1,0,,5,13,38.5,46,0,0.0,1,7.7,16,3.5,0.08,9.2,46.0,16.8,4,28,23.53,1.06,-1.59,0,0,,ArriRi00
61,Pat Sullivan,22,ATL,QB,14,0,,3,19,15.8,44,0,0.0,3,15.8,18,2.3,-4.79,14.7,3.1,0.0,2,28,9.52,0.76,-5.67,0,0,,SullPa00
62,Floyd Little,30,DEN,RB,14,14,,2,2,100.0,43,1,50.0,0,0.0,35,21.5,31.50,21.5,3.1,158.3,0,0,0.00,21.50,31.50,0,0,,LittFl00
63,Mike Montgomery,23,DAL,RB,12,0,,1,3,33.3,31,0,0.0,0,0.0,31,10.3,10.33,31.0,2.6,72.9,0,0,0.00,10.33,10.33,0,0,,MontMi00
64,Bobby Joe Green,36,CHI,P,14,0,,1,2,50.0,23,0,0.0,1,50.0,23,11.5,-11.00,23.0,1.6,52.1,0,0,0.00,11.50,-11.00,0,0,,GreeBo20
65,Terry Hanratty,24,PIT,QB,7,0,,2,4,50.0,23,0,0.0,0,0.0,14,5.8,5.75,11.5,3.3,67.7,1,2,20.00,4.20,4.20,0,0,,HanrTe00
