Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Dan Marino,24,MIA,QB,16,16,12-4-0,336,567,59.3,4137,30,5.3,21,3.7,214,50.9,73,7.3,6.69,12.3,258.6,84.1,18,157,3.08,6.80,6.21,3,5,PBAP-1,MariDa00
2,John Elway,25,DEN,QB,16,16,11-5-0,327,605,54.0,3891,22,3.6,23,3.8,190,41.2,65,6.4,5.45,11.9,243.2,70.2,38,307,5.91,5.57,4.65,6,6,,ElwaJo00
3,Ken O'Brien,25,NYJ,QB,16,16,11-5-0,297,488,60.9,3888,25,5.1,8,1.6,199,47.5,96,8.0,8.25,13.1,243.0,96.2,62,399,11.27,6.34,6.60,1,1,PB,OBriKe00
4,Phil Simms,30,NYG,QB,16,16,10-6-0,275,495,55.6,3829,22,4.4,20,4.0,193,45.9,70,7.7,6.81,13.9,239.3,78.6,52,396,9.51,6.28,5.44,0,0,PB,SimmPh00
5,Joe Montana,29,SFO,QB,15,15,9-6-0,303,494,61.3,3653,27,5.5,13,2.6,164,45.2,73,7.4,7.30,12.1,243.5,91.3,35,246,6.62,6.44,6.36,1,1,PB,MontJo01
6,Dan Fouts,34,SDG,QB,14,12,7-5-0,254,430,59.1,3638,27,6.3,20,4.7,177,51.1,75,8.5,7.62,14.3,259.9,88.1,18,135,4.02,7.82,7.02,3,3,PBAP-2,FoutDa00
7,Dave Krieg,27,SEA,QB,16,16,8-8-0,285,532,53.6,3602,27,5.1,20,3.8,167,39.4,54,6.8,6.09,12.6,225.1,76.2,52,448,8.90,5.40,4.78,2,2,,KrieDa00
8,Tommy Kramer,30,MIN,QB,15,15,6-9-0,277,506,54.7,3522,19,3.8,26,5.1,169,42.6,57,7.0,5.40,12.7,234.8,67.8,39,255,7.16,5.99,4.54,2,4,,KramTo00
9,Ron Jaworski,34,PHI,QB,16,12,6-6-0,255,484,52.7,3450,17,3.5,20,4.1,164,42.5,99,7.1,5.97,13.5,215.6,70.2,34,289,6.56,6.10,5.02,3,4,,JawoRo00
10,Boomer Esiason,24,CIN,QB,15,14,7-7-0,251,431,58.2,3443,27,6.3,12,2.8,160,46.2,68,8.0,7.99,13.7,229.5,93.2,32,289,6.91,6.81,6.81,1,1,,EsiaBo00
11,Neil Lomax,26,STL,QB,16,16,5-11-0,265,471,56.3,3214,18,3.8,12,2.5,156,41.7,47,6.8,6.44,12.1,200.9,79.5,61,442,11.47,5.21,4.87,1,1,,LomaNe00
12,Danny White,33,DAL,QB,14,14,10-4-0,267,450,59.3,3157,21,4.7,17,3.8,154,45.8,56,7.0,6.25,11.8,225.5,80.6,30,257,6.25,6.04,5.32,1,2,,WhitDa01
13,Eric Hipple,28,DET,QB,16,15,7-8-0,223,406,54.9,2952,17,4.2,18,4.4,137,40.7,56,7.3,6.11,13.2,184.5,73.6,49,343,10.77,5.73,4.70,0,0,,HippEr00
14,Warren Moon,29,HOU,QB,14,14,4-10-0,200,377,53.1,2709,15,4.0,19,5.0,113,38.8,80,7.2,5.71,13.5,193.5,68.5,46,366,10.87,5.54,4.23,2,3,,MoonWa00
15,Dieter Brock,34,RAM,QB,15,15,11-4-0,218,365,59.7,2658,16,4.4,13,3.6,120,41.8,64,7.3,6.56,12.2,177.2,82.0,51,351,12.26,5.55,4.91,2,1,,BrocDi00
16,Marc Wilson,28,RAI,QB,16,13,11-2-0,193,388,49.7,2608,16,4.1,21,5.4,126,39.8,59,6.7,5.11,13.5,163.0,62.7,27,202,6.51,5.80,4.29,1,4,,WilsMa00
17,Bill Kenney,30,KAN,QB,16,10,3-7-0,181,338,53.6,2536,17,5.0,9,2.7,111,42.3,84,7.5,7.31,14.0,158.5,83.6,28,223,7.65,6.32,6.14,0,0,,KennBi00
18,Steve DeBerg,31,TAM,QB,11,11,1-10-0,197,370,53.2,2488,19,5.1,18,4.9,118,42.9,57,6.7,5.56,12.6,226.2,71.3,19,143,4.88,6.03,4.92,0,0,,DebeSt00
19,Mike Pagel,25,IND,QB,16,14,5-9-0,199,393,50.6,2414,14,3.6,15,3.8,110,39.7,80,6.1,5.14,12.1,150.9,65.8,25,180,5.98,5.34,4.40,1,1,,PageMi00
20,Jim McMahon,26,CHI,QB,13,11,11-0-0,178,313,56.9,2392,15,4.8,11,3.5,103,44.5,70,7.6,7.02,13.4,184.0,82.6,26,125,7.67,6.69,6.11,1,1,PB,McMaJi00
21,Lynn Dickey,36,GNB,QB,12,10,5-5-0,172,314,54.8,2206,15,4.8,17,5.4,113,41.3,63,7.0,5.54,12.8,183.8,70.4,30,226,8.72,5.76,4.40,2,3,,DickLy00
