Rk,Player,Age,Team,Pos,G,GS,QBrec▼,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
57,Eric Hipple,32,DET,QB,1,1,0-1-0,7,18,38.9,90,0,0.0,3,16.7,3,21.7,30,5.0,-2.50,12.9,90.0,15.7,5,26,21.74,2.78,-3.09,0,0,,HippEr00
58,Erik Wilhelm,24,CIN,QB,6,0,,30,56,53.6,425,4,7.1,2,3.6,16,39.0,46,7.6,7.41,14.2,70.8,87.3,3,17,5.08,6.92,6.75,0,0,,WilhEr00
59,Scott Secules,25,MIA,QB,15,0,,22,50,44.0,286,1,2.0,3,6.0,13,36.0,44,5.7,3.42,13.0,19.1,44.2,0,0,0.00,5.72,3.42,0,0,,SecuSc00
60,Cody Carlson,26,HOU,QB,6,0,,15,31,48.4,155,0,0.0,1,3.2,9,33.3,23,5.0,3.55,10.3,25.8,49.8,2,20,6.06,4.09,2.73,0,0,,CarlCo00
61,Stan Humphries,24,WAS,QB,2,0,,5,10,50.0,91,1,10.0,1,10.0,4,38.5,39,9.1,6.60,18.2,45.5,75.4,3,9,23.08,6.31,4.38,0,0,,HumpSt00
62,David Archer,27,SDG,QB,16,0,,5,12,41.7,62,0,0.0,1,8.3,4,35.7,17,5.2,1.42,12.4,3.9,23.6,2,12,14.29,3.57,0.36,0,0,,ArchDa00
63,Steve Bono,27,SFO,QB,1,0,,4,5,80.0,62,1,20.0,0,0.0,1,60.0,45,12.4,16.40,15.5,62.0,157.9,0,0,0.00,12.40,16.40,0,0,,BonoSt00
64,Mike Pagel,29,CLE,QB,16,0,,5,14,35.7,60,1,7.1,1,7.1,3,35.7,18,4.3,2.50,12.0,3.8,43.7,0,0,0.00,4.29,2.50,0,1,,PageMi00
65,Mark Herrmann,30,RAM,QB,3,0,,4,5,80.0,59,0,0.0,1,20.0,3,37.5,23,11.8,2.80,14.8,19.7,76.2,3,22,37.50,4.63,-1.00,0,0,,HerrMa00
66,Vince Evans,34,RAI,QB,1,0,,2,2,100.0,50,0,0.0,0,0.0,1,25.0,40,25.0,25.00,25.0,50.0,118.7,2,19,50.00,7.75,7.75,0,0,,EvanVi00
67,Chuck Long,26,DET,QB,1,0,,2,5,40.0,42,0,0.0,0,0.0,2,40.0,37,8.4,8.40,21.0,42.0,70.4,0,0,0.00,8.40,8.40,0,0,,LongCh00
68,Dalton Hilliard,25,NOR,RB,16,16,,1,1,100.0,35,1,100.0,0,0.0,1,100.0,35,35.0,55.00,35.0,2.2,158.3,0,0,0.00,35.00,55.00,0,0,PBAP-2,HillDa00
69,Matt Cavanaugh,33,PHI,QB,9,0,,3,5,60.0,33,1,20.0,1,20.0,3,60.0,13,6.6,1.60,11.0,3.7,79.6,0,0,0.00,6.60,1.60,0,0,,CavaMa00
70,Eric Metcalf,21,CLE,RB,16,11,,1,2,50.0,32,1,50.0,0,0.0,1,50.0,32,16.0,26.00,32.0,2.0,135.4,0,0,0.00,16.00,26.00,0,0,,MetcEr00
71,Ricky Sanders,29,WAS,WR,16,12,,1,1,100.0,32,0,0.0,0,0.0,1,100.0,32,32.0,32.00,32.0,2.0,118.7,0,0,0.00,32.00,32.00,0,0,,SandRi00
72,Roger Ruzek,29,PHI,K,5,0,,1,1,100.0,22,1,100.0,0,0.0,1,100.0,22,22.0,42.00,22.0,4.4,158.3,0,0,0.00,22.00,42.00,0,0,,ruzekrog01
73,D.J. Dozier,24,MIN,RB,14,6,,1,1,100.0,19,1,100.0,0,0.0,1,100.0,19,19.0,39.00,19.0,1.4,158.3,0,0,0.00,19.00,39.00,0,0,,DoziDJ00
74,Jim Jensen,31,MIA,WR,16,1,,1,1,100.0,19,1,100.0,0,0.0,1,100.0,19,19.0,39.00,19.0,1.2,158.3,0,0,0.00,19.00,39.00,0,0,,JensJi00
75,Bobby Humphrey,23,DEN,RB,16,12,,1,2,50.0,17,1,50.0,0,0.0,1,50.0,17,8.5,18.50,17.0,1.1,118.7,0,0,0.00,8.50,18.50,0,0,,HumpBo00
76,Rodney Carter,25,PIT,RB,15,0,,1,1,100.0,15,0,0.0,0,0.0,1,33.3,15,15.0,15.00,15.0,1.0,118.7,2,7,66.67,2.67,2.67,0,0,,CartRo00
77,Mosi Tatupu,34,NWE,RB,14,0,,1,1,100.0,15,0,0.0,0,0.0,1,100.0,15,15.0,15.00,15.0,1.1,118.7,0,0,0.00,15.00,15.00,0,0,,TatuMo00
78,Mark Malone,31,NYJ,QB,1,0,,2,2,100.0,13,0,0.0,0,0.0,1,50.0,11,6.5,6.50,6.5,13.0,93.7,0,0,0.00,6.50,6.50,0,0,,MaloMa00
79,Scott Fulhage,28,ATL,P,16,0,,1,1,100.0,12,0,0.0,0,0.0,1,100.0,12,12.0,12.00,12.0,0.8,116.7,0,0,0.00,12.00,12.00,0,0,,FulhSc20
80,Anthony Dilweg,24,GNB,QB,1,0,,1,1,100.0,7,0,0.0,0,0.0,1,100.0,7,7.0,7.00,7.0,7.0,95.8,0,0,0.00,7.00,7.00,0,0,,DilwAn00
81,Mike Elkins,23,KAN,QB,1,0,,1,2,50.0,5,0,0.0,1,50.0,1,50.0,5,2.5,-20.00,5.0,5.0,16.7,0,0,0.00,2.50,-20.00,0,0,,ElkiMi00
82,Ruben Rodriguez,24,SEA,P,16,0,,1,1,100.0,4,0,0.0,0,0.0,0,,4,4.0,4.00,4.0,0.3,83.3,0,0,0.00,4.00,4.00,0,0,,RodrRu20
83,Mike Saxon,27,DAL,P,16,0,,1,1,100.0,4,0,0.0,0,0.0,0,,4,4.0,4.00,4.0,0.3,83.3,0,0,0.00,4.00,4.00,0,0,,SaxoMi20
84,Robert Awalt,25,PHO,TE,16,15,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,AwalRo00
85,Albert Bentley,29,IND,FB,16,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,BentAl00
86,Earnest Byner,27,WAS,RB/FB,16,13,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ByneEa00
87,Rich Camarillo,30,PHO,P,15,0,,1,1,100.0,0,0,0.0,0,0.0,0,,,0.0,0.00,0.0,0.0,79.2,0,0,0.00,0.00,0.00,0,0,PBAP-2,camarric01
88,Eric Dickerson,29,IND,RB,15,14,,0,0,,0,0,,0,,0,,,,,,0.0,,1,6,100.00,-6.00,-6.00,0,0,PB,DickEr00
89,Jeff Feagles,23,NWE,P,16,0,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,FeagJe20
90,Herman Fontenot,26,GNB,RB,16,0,,0,0,,0,0,,0,,0,,,,,,0.0,,1,9,100.00,-9.00,-9.00,0,0,,FontHe00
91,Jeff Gossett,32,RAI,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GossJe20
92,Lonzell Hill,24,NOR,WR,16,12,,0,0,,0,0,,0,,0,,,,,,0.0,,1,4,100.00,-4.00,-4.00,0,0,,HillLo00
93,Flip Johnson,26,BUF,WR,16,5,,0,0,,0,0,,0,,0,,,,,,0.0,,1,2,100.00,-2.00,-2.00,0,0,,JohnFl00
94,Vance Johnson,26,DEN,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JohnVa00
95,Keith Jones,23,ATL,RB,14,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JoneKe01
96,Allen Rice,27,MIN,RB,4,0,,0,0,,0,0,,0,,0,,,,,,0.0,,1,10,100.00,-10.00,-10.00,0,0,,RiceAl00
97,James Saxon,23,KAN,FB,16,2,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,SaxoJa00
98,Vai Sikahema,27,PHO,RB,16,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,SikaVa00
99,Rick Strom,24,PIT,QB,3,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,StroRi00
100,Tony Zendejas,29,HOU,K,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,zendeton01
,League Average,,,,,,,,,55.8,,,4.1,,3.9,,43.3,,7.1,6.20,12.8,93.1,75.6,,,7.16,6.12,5.24,,,,-9999
