Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Sonny Jurgensen,33,WAS,QB,14,14,5-6-3,288,508,56.7,3747,31,6.1,16,3.1,86,7.4,7.18,13.0,267.6,87.3,19,157,3.61,6.81,6.62,4,2,PBAP-2,JurgSo00
2,Johnny Unitas,34,BAL,QB,14,14,11-1-2,255,436,58.5,3428,20,4.6,16,3.7,88,7.9,7.13,13.4,244.9,83.6,25,198,5.42,7.01,6.31,4,3,PBAP-1AP MVP-1,UnitJo00
3,Norm Snead,28,PHI,QB,14,14,6-7-1,240,434,55.3,3399,29,6.7,24,5.5,87,7.8,6.68,14.2,242.8,80.0,48,351,9.96,6.32,5.29,0,1,,SneaNo00
4,Fran Tarkenton,27,NYG,QB,14,14,7-7-0,204,377,54.1,3088,29,7.7,19,5.0,70,8.2,7.46,15.1,220.6,85.9,29,283,7.14,6.91,6.23,2,2,PB,TarkFr00
5,Jim Hart,23,STL,QB,14,14,6-7-1,192,397,48.4,3008,19,4.8,30,7.6,76,7.6,5.13,15.7,214.9,58.4,22,219,5.25,6.66,4.34,2,2,AP ORoY-4,HartJi00
6,Roman Gabriel,27,RAM,QB,14,14,11-1-2,196,371,52.8,2779,25,6.7,13,3.5,80,7.5,7.26,14.2,198.5,85.2,24,201,6.08,6.53,6.31,3,1,PB,GabrRo00
7,Frank Ryan,31,CLE,QB,13,13,9-4-0,136,280,48.6,2026,20,7.1,16,5.7,49,7.2,6.09,14.9,155.8,72.7,38,318,11.95,5.37,4.36,1,1,,RyanFr00
8,John Brodie,32,SFO,QB,14,10,5-5-0,168,349,48.1,2013,11,3.2,16,4.6,63,5.8,4.34,12.0,143.8,57.6,18,129,4.90,5.13,3.77,2,2,,BrodJo00
9,Don Meredith,29,DAL,QB,11,11,7-4-0,128,255,50.2,1834,16,6.3,16,6.3,60,7.2,5.62,14.3,166.7,68.7,21,143,7.61,6.13,4.68,1,1,PB,MereDo00
10,Bart Starr,33,GNB,QB,14,12,8-3-1,115,210,54.8,1823,9,4.3,17,8.1,84,8.7,5.90,15.9,130.2,64.4,34,322,13.93,6.15,3.75,1,2,,StarBa00
11,Randy Johnson,23,ATL,QB,14,12,1-10-1,142,288,49.3,1620,10,3.5,21,7.3,82,5.6,3.04,11.4,115.7,47.8,34,311,10.56,4.07,1.75,0,0,,JohnRa00
12,Kent Nix,23,PIT,QB,12,9,3-6-0,136,268,50.7,1587,8,3.0,19,7.1,66,5.9,3.33,11.7,132.3,49.5,8,84,2.90,5.45,2.93,0,0,,NixxKe00
13,Gary Cuozzo,26,NOR,QB,13,10,3-7-0,134,260,51.5,1562,7,2.7,12,4.6,49,6.0,4.47,11.7,120.2,59.8,33,236,11.26,4.53,3.16,0,0,,CuozGa00
14,Joe Kapp,29,MIN,QB,13,11,3-5-3,102,214,47.7,1386,8,3.7,17,7.9,85,6.5,3.65,13.6,106.6,48.2,23,200,9.70,5.00,2.45,3,2,,KappJo00
15,Billy Kilmer,28,NOR,QB,10,4,0-4-0,97,204,47.5,1341,6,2.9,11,5.4,96,6.6,4.74,13.8,134.1,56.4,18,147,8.11,5.38,3.69,1,1,,KilmBi00
16,Jack Concannon,24,CHI,QB,13,12,7-4-1,92,186,49.5,1260,6,3.2,14,7.5,93,6.8,4.03,13.7,96.9,50.9,19,168,9.27,5.33,2.84,0,0,,ConcJa00
17,Bill Nelsen,26,PIT,QB,8,5,1-3-1,74,165,44.8,1125,10,6.1,9,5.5,58,6.8,5.58,15.2,140.6,65.3,22,186,11.76,5.02,3.93,2,1,,NelsBi00
