Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,John Brodie,33,SFO,QB,14,14,7-6-1,234,404,57.9,3020,22,5.4,21,5.2,65,7.5,6.23,12.9,215.7,78.0,25,159,5.83,6.67,5.49,1,2,,BrodJo00
2,Earl Morrall,34,BAL,QB,14,14,13-1-0,182,317,57.4,2909,26,8.2,17,5.4,84,9.2,8.40,16.0,207.8,93.2,24,180,7.04,8.00,7.28,0,0,PBAP-1AP MVP-1,MorrEa00
3,Fran Tarkenton,28,NYG,QB,14,14,7-7-0,182,337,54.0,2555,21,6.2,12,3.6,84,7.6,7.23,14.0,182.5,84.6,27,255,7.42,6.32,5.99,1,2,PB,TarkFr00
4,Don Meredith,30,DAL,QB,13,13,11-2-0,171,309,55.3,2500,21,6.8,12,3.9,65,8.1,7.70,14.6,192.3,88.4,30,230,8.85,6.70,6.34,1,1,PB,MereDo00
5,Bill Nelsen,27,CLE,QB,14,11,9-2-0,152,293,51.9,2366,19,6.5,10,3.4,87,8.1,7.84,15.6,169.0,86.4,11,102,3.62,7.45,7.22,0,1,AP-2AP MVP-3,NelsBi00
6,Roman Gabriel,28,RAM,QB,14,14,10-3-1,184,366,50.3,2364,19,5.2,16,4.4,60,6.5,5.53,12.8,168.9,70.0,27,226,6.87,5.44,4.58,2,3,PB,GabrRo00
7,Bill Munson,27,DET,QB,12,12,4-6-2,181,329,55.0,2311,15,4.6,8,2.4,86,7.0,6.84,12.8,192.6,82.3,39,279,10.60,5.52,5.36,1,1,,MunsBi00
8,Billy Kilmer,29,NOR,QB,12,11,4-7-0,167,315,53.0,2060,15,4.8,17,5.4,51,6.5,5.06,12.3,171.7,66.9,26,170,7.62,5.54,4.18,1,1,,KilmBi00
9,Jim Hart,24,STL,QB,13,12,8-3-1,140,316,44.3,2059,15,4.7,18,5.7,80,6.5,4.90,14.7,158.4,58.2,15,129,4.53,5.83,4.29,2,2,,HartJi00
10,Sonny Jurgensen,34,WAS,QB,12,12,4-8-0,167,292,57.2,1980,17,5.8,11,3.8,99,6.8,6.25,11.9,165.0,81.7,21,183,6.71,5.74,5.25,0,0,,JurgSo00
11,Dick Shiner,26,PIT,QB,13,11,2-8-1,148,304,48.7,1856,18,5.9,17,5.6,61,6.1,4.77,12.5,142.8,64.5,33,240,9.79,4.80,3.59,0,0,,ShinDi00
12,Joe Kapp,30,MIN,QB,14,14,8-6-0,129,248,52.0,1695,10,4.0,17,6.9,61,6.8,4.56,13.1,121.1,58.8,31,278,11.11,5.08,3.05,0,1,,KappJo00
13,Norm Snead,29,PHI,QB,11,11,2-9-0,152,291,52.2,1655,11,3.8,21,7.2,55,5.7,3.20,10.9,150.5,51.8,20,154,6.43,4.83,2.50,1,1,,SneaNo00
14,Bart Starr,34,GNB,QB,12,9,4-5-0,109,171,63.7,1617,15,8.8,8,4.7,63,9.5,9.11,14.8,134.8,104.3,29,261,14.50,6.78,6.48,1,0,,StarBa00
15,Bob Berry,26,ATL,QB,10,7,1-6-0,81,153,52.9,1433,7,4.6,13,8.5,66,9.4,6.46,17.7,143.3,65.1,49,364,24.26,5.29,3.09,1,1,,BerrBo00
16,Randy Johnson,24,ATL,QB,8,7,1-6-0,73,156,46.8,892,2,1.3,10,6.4,71,5.7,3.09,12.2,111.5,42.5,20,153,11.36,4.20,1.87,0,0,,JohnRa00
17,Zeke Bratkowski,37,GNB,QB,10,5,2-2-1,68,126,54.0,835,3,2.4,7,5.6,72,6.6,4.60,12.3,83.5,59.5,11,107,8.03,5.31,3.45,0,0,,BratZe00
18,Virgil Carter,23,CHI,QB,7,5,4-1-0,55,122,45.1,769,4,3.3,5,4.1,50,6.3,5.11,14.0,109.9,59.8,6,45,4.69,5.66,4.52,1,3,AP ORoY-8,CartVi00
19,Craig Morton,25,DAL,QB,13,1,1-0-0,44,85,51.8,752,4,4.7,6,7.1,53,8.8,6.61,17.1,57.8,68.4,4,39,4.49,8.01,5.88,0,0,,MortCr00
20,Kent Nix,24,PIT,QB,8,3,0-3-0,56,130,43.1,720,4,3.1,8,6.2,61,5.5,3.38,12.9,90.0,45.7,8,45,5.80,4.89,2.86,1,1,,NixxKe00
21,Jack Concannon,25,CHI,QB,7,7,3-4-0,71,143,49.7,715,5,3.5,9,6.3,51,5.0,2.87,10.1,102.1,49.7,9,72,5.92,4.23,2.22,0,0,,ConcJa00
22,Frank Ryan,32,CLE,QB,7,3,1-2-0,31,66,47.0,639,7,10.6,6,9.1,57,9.7,7.71,20.6,91.3,79.0,10,79,13.16,7.37,5.66,0,1,,RyanFr00
23,Jim Ninowski,32,WAS,QB,7,2,1-1-0,49,95,51.6,633,4,4.2,6,6.3,56,6.7,4.66,12.9,90.4,60.5,12,128,11.21,4.72,2.94,0,0,,NinoJi00
24,King Hill,32,PHI,QB,3,2,0-2-0,33,71,46.5,531,3,4.2,6,8.5,92,7.5,4.52,16.1,177.0,50.9,4,36,5.33,6.60,3.80,0,0,,HillKi00
25,Larry Rakestraw,26,CHI,QB,7,2,0-2-0,30,67,44.8,361,1,1.5,7,10.4,80,5.4,0.99,12.0,51.6,27.2,6,49,8.22,4.27,0.23,0,0,,RakeLa00
26,Greg Landry,22,DET,QB,4,2,0-2-0,23,48,47.9,338,2,4.2,7,14.6,80,7.0,1.31,14.7,84.5,45.7,6,50,11.11,5.33,0.24,0,0,,LandGr00
27,Charley Johnson,30,STL,QB,7,2,1-1-0,29,67,43.3,330,1,1.5,1,1.5,30,4.9,4.55,11.4,47.1,57.4,7,64,9.46,3.59,3.26,2,2,,JohnCh02
28,Karl Sweetan,26,NOR,QB,5,3,0-2-1,27,78,34.6,318,1,1.3,9,11.5,42,4.1,-0.86,11.8,63.6,12.6,5,29,6.02,3.48,-1.16,0,0,,SweeKa00
29,Gary Cuozzo,27,MIN,QB,4,0,,24,33,72.7,297,1,3.0,0,0.0,31,9.0,9.61,12.4,74.3,110.3,4,32,10.81,7.16,7.70,0,0,,CuozGa00
30,Harry Theofiledes,24,WAS,QB,5,0,,11,20,55.0,211,2,10.0,1,5.0,39,10.6,10.30,19.2,42.2,104.4,4,29,16.67,7.58,7.38,1,1,,TheoHa00
31,Dick Hoak,29,PIT,RB,14,13,,7,16,43.8,188,0,0.0,1,6.3,62,11.8,8.94,26.9,13.4,61.5,0,0,0.00,11.75,8.94,0,0,PB,HoakDi00
32,Don Horn,23,GNB,QB,1,0,,10,16,62.5,187,2,12.5,0,0.0,67,11.7,14.19,18.7,187.0,142.4,1,8,5.88,10.53,12.88,0,0,,HornDo00
33,Johnny Unitas,35,BAL,QB,5,0,,11,32,34.4,139,2,6.3,4,12.5,37,4.3,-0.03,12.6,27.8,30.1,2,15,5.88,3.65,-0.47,0,1,,UnitJo00
34,Ronnie Lee South,23,NOR,QB,4,0,,14,38,36.8,129,1,2.6,3,7.9,19,3.4,0.37,9.2,32.3,22.8,2,14,5.00,2.88,0.00,0,0,,SoutRo00
35,Gary Wood,26,NYG,QB,14,0,,9,24,37.5,123,0,0.0,5,20.8,43,5.1,-4.25,13.7,8.8,15.1,3,18,11.11,3.89,-4.44,0,0,,WoodGa00
36,John Huarte,25,PHI,QB,2,1,0-1-0,7,15,46.7,110,1,6.7,2,13.3,48,7.3,2.67,15.7,55.0,54.2,2,17,11.76,5.47,1.35,0,0,,HuarJo00
37,Sam Baker,39,PHI,K,14,0,,1,1,100.0,58,1,100.0,0,0.0,58,58.0,78.00,58.0,4.1,158.3,0,0,0.00,58.00,78.00,0,0,PB,BakeSa20
38,Milt Plum,33,RAM,QB,4,0,,5,12,41.7,49,1,8.3,1,8.3,25,4.1,2.00,9.8,12.3,46.9,1,15,7.69,2.62,0.69,0,0,,PlumMi00
39,Jim Ward,24,BAL,QB,5,0,,3,9,33.3,46,0,0.0,1,11.1,22,5.1,0.11,15.3,9.2,11.6,3,27,25.00,1.58,-2.17,0,0,,WardJi00
40,George Mira,26,SFO,QB,13,0,,4,11,36.4,44,1,9.1,1,9.1,43,4.0,1.73,11.0,3.4,41.5,2,23,15.38,1.62,-0.31,0,0,,MiraGe00
41,Clifton McNeil,28,SFO,FL,14,14,,1,2,50.0,43,1,50.0,1,50.0,43,21.5,9.00,43.0,3.1,95.8,0,0,0.00,21.50,9.00,0,0,PBAP-1,McNeCl00
42,Dan Reeves,24,DAL,RB,4,4,,2,4,50.0,43,0,0.0,0,0.0,24,10.8,10.75,21.5,10.8,88.5,0,0,0.00,10.75,10.75,0,0,,ReevDa00
43,Tom Barrington,24,NOR,RB,14,1,,2,6,33.3,42,0,0.0,0,0.0,23,7.0,7.00,21.0,3.0,59.0,0,0,0.00,7.00,7.00,0,0,,BarrTo00
44,Bruce Lemmerman,23,ATL,QB,4,0,,3,15,20.0,40,0,0.0,1,6.7,18,2.7,-0.33,13.3,10.0,11.8,0,0,0.00,2.67,-0.33,0,0,,LemmBr00
45,Leroy Kelly,26,CLE,RB,14,14,,1,4,25.0,34,1,25.0,0,0.0,34,8.5,13.50,34.0,2.4,102.1,0,0,0.00,8.50,13.50,0,0,PBAP-1AP MVP-2,KellLe00
46,Bobby Duhon,22,NYG,RB,13,11,,2,2,100.0,24,0,0.0,0,0.0,19,12.0,12.00,12.0,1.8,116.7,0,0,0.00,12.00,12.00,0,0,AP ORoY-4,DuhoBo00
47,Rudy Bukich,38,CHI,QB,2,0,,2,7,28.6,23,0,0.0,0,0.0,13,3.3,3.29,11.5,11.5,40.8,3,21,30.00,0.20,0.20,0,0,,BukiRu00
48,Harmon Wages,22,ATL,RB,13,5,,1,2,50.0,21,0,0.0,0,0.0,21,10.5,10.50,21.0,1.6,87.5,0,0,0.00,10.50,10.50,0,0,,WageHa00
49,Ernie Koy,26,NYG,RB,13,9,,2,3,66.7,13,0,0.0,0,0.0,11,4.3,4.33,6.5,1.0,75.7,0,0,0.00,4.33,4.33,0,0,,KoyxEr00
50,Donny Anderson,25,GNB,RB,14,14,,1,3,33.3,12,1,33.3,0,0.0,12,4.0,10.67,12.0,0.9,86.1,0,0,0.00,4.00,10.67,0,0,PB,AndeDo00
51,Bill Brown,30,MIN,FB,14,14,,1,1,100.0,3,0,0.0,0,0.0,3,3.0,3.00,3.0,0.2,79.2,0,0,0.00,3.00,3.00,0,0,PBAP-2,BrowBi00
52,Joe Scarpati,25,PHI,FS,14,14,,1,2,50.0,3,0,0.0,0,0.0,3,1.5,1.50,3.0,0.2,56.2,0,0,0.00,1.50,1.50,0,0,,ScarJo21
53,Craig Baynham,24,DAL,RB,14,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,BaynCr00
54,Gary Beban,22,WAS,QB,4,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,BebaGa00
55,Ronnie Bull,28,CHI,FB,13,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,BullRo00
56,Mike Dennis,24,RAM,RB,14,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,DennMi00
57,Willie Ellison,23,RAM,RB,14,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ElliWi00
58,Jon Kilgore,25,CHI,P,7,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,KilgJo20
59,Chuck Latourette,23,STL,DB,14,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,LatoCh20
60,Billy Lothridge,26,ATL,FS,14,7,,0,0,,0,0,,0,,,,,,0.0,,1,10,100.00,-10.00,-10.00,0,0,,LothBi20
61,Tommy Mason,29,RAM,RB,12,7,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,MasoTo00
62,Tom Matte,29,BAL,RB,14,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,MattTo00
63,Don McCall,24,NOR,RB,13,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,McCaDo01
64,Dave Parks,27,NOR,LE,10,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ParkDa00
65,Johnny Roland,25,STL,RB,14,13,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,1,9,50.00,-4.50,-27.00,0,0,,RolaJo00
66,Gale Sayers,25,CHI,RB,9,9,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,AP-1AP MVP-4,SayeGa00
67,Billy Stevens,23,GNB,QB,2,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,StevBi00
68,Pat Studstill,30,RAM,SE,14,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,StudPa00
69,Bobby Walden,30,PIT,P,14,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,WaldBo20
,League Average,,,,,,,,,51.6,,,5.1,,5.5,,7.0,5.59,13.6,60.2,68.7,,,8.32,5.77,4.46,,,,-9999
