Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Norm Van Brocklin,28,RAM,QB,12,11,6-4-1,139,260,53.5,2637,13,5.0,21,8.1,80,10.1,7.51,19.0,219.8,71.9,80,1,0,PB,VanBNo00
2,Tobin Rote,26,GNB,QB,12,12,4-8-0,180,382,47.1,2311,14,3.7,18,4.7,82,6.0,4.66,12.8,192.6,59.1,295,0,0,,RoteTo00
3,Y.A. Tittle,28,SFO,QB,12,11,6-4-1,170,295,57.6,2205,9,3.1,9,3.1,70,7.5,6.71,13.0,183.8,78.7,185,1,1,PB,TittY.00
4,Otto Graham,33,CLE,QB,12,12,9-3-0,142,240,59.2,2092,11,4.6,17,7.1,64,8.7,6.45,14.7,174.3,73.5,197,0,0,PBAP-1,GrahOt00
5,Jim Finks,27,PIT,QB,12,12,5-7-0,164,306,53.6,2003,14,4.6,19,6.2,78,6.5,4.67,12.2,166.9,63.4,49,2,2,,FinkJi00
6,George Blanda,27,CHI,QB,8,7,4-3-0,131,281,46.6,1929,15,5.3,17,6.0,76,6.9,5.21,14.7,241.1,62.1,108,3,3,,BlanGe00
7,Bobby Layne,28,DET,QB,12,8,6-1-1,135,246,54.9,1818,14,5.7,12,4.9,55,7.4,6.33,13.5,151.5,77.3,86,3,2,AP-2,LaynBo00
8,Adrian Burk,27,PHI,QB,12,8,5-2-1,123,231,53.2,1740,23,10.0,17,7.4,84,7.5,6.21,14.1,145.0,80.4,183,1,1,PB,BurkAd00
9,Gary Kerkorian,24,BAL,QB,10,10,3-7-0,117,217,53.9,1515,9,4.1,12,5.5,78,7.0,5.32,12.9,151.5,66.9,290,1,1,,KerkGa20
10,Lamar McHan,22,CRD,QB,12,11,1-10-0,105,255,41.2,1475,6,2.4,22,8.6,70,5.8,2.37,14.0,122.9,32.4,176,0,0,,McHaLa00
11,Charlie Conerly,33,NYG,QB,10,10,6-4-0,103,210,49.0,1439,17,8.1,11,5.2,68,6.9,6.11,14.0,143.9,76.7,52,0,0,,ConeCh00
12,Bobby Thomason,26,PHI,QB,10,4,2-2-0,83,170,48.8,1242,10,5.9,13,7.6,63,7.3,5.04,15.0,124.2,61.0,192,0,0,,ThomBo02
13,Zeke Bratkowski,23,CHI,QB,12,5,4-1-0,67,130,51.5,1087,8,6.2,17,13.1,71,8.4,3.71,16.2,90.6,60.8,52,0,0,,BratZe00
14,Tom Dublinski,24,DET,QB,12,4,3-1-0,77,138,55.8,1073,8,5.8,7,5.1,66,7.8,6.65,13.9,89.4,79.2,67,0,0,,DublTo00
15,Al Dorow,25,WAS,QB,11,6,2-4-0,70,138,50.7,997,8,5.8,17,12.3,80,7.2,2.84,14.2,90.6,54.2,91,0,0,,DoroAl00
16,Jack Scarbath,24,WAS,QB,10,6,1-5-0,44,109,40.4,798,7,6.4,13,11.9,60,7.3,3.24,18.1,79.8,48.1,214,0,0,,ScarJa20
17,Bob Clatterbuck,22,NYG,QB,10,2,1-1-0,50,101,49.5,781,6,5.9,7,6.9,72,7.7,5.80,15.6,78.1,66.5,87,0,0,,ClatBo00
18,Billy Wade,24,RAM,QB,10,1,0-1-0,31,59,52.5,509,2,3.4,1,1.7,48,8.6,8.54,16.4,50.9,86.1,53,0,0,,WadeBi00
19,George Ratterman,28,CLE,QB,6,0,,32,53,60.4,465,3,5.7,3,5.7,48,8.8,7.36,14.5,77.5,84.2,18,0,0,,RattGe00
20,Steve Romanik,30,CRD,QB,8,1,1-0-0,36,79,45.6,343,2,2.5,5,6.3,38,4.3,2.00,9.5,42.9,40.2,22,0,0,,RomaSt00
21,Cotton Davidson,23,BAL,QB,12,1,0-1-0,28,64,43.8,309,0,0.0,5,7.8,29,4.8,1.31,11.0,25.8,26.1,14,1,1,,DaviCo00
22,Paul Held,26,PIT,QB,8,0,,24,73,32.9,305,1,1.4,6,8.2,37,4.2,0.75,12.7,38.1,17.2,81,0,0,,HeldPa20
23,Ed Brown,26,CHI,QB,12,0,,10,17,58.8,283,3,17.6,1,5.9,69,16.6,17.53,28.3,23.6,118.3,28,1,1,,BrowEd01
24,Fred Enke,30,BAL,QB,3,1,0-1-0,17,28,60.7,171,0,0.0,3,10.7,42,6.1,1.29,10.1,57.0,38.5,32,0,0,,EnkeFr20
25,Frank Gifford,24,NYG,LH,9,9,,4,8,50.0,155,3,37.5,1,12.5,83,19.4,21.25,38.8,17.2,95.8,,0,0,PB,GiffFr00
26,Bobby Garrett,22,GNB,QB,9,0,,15,30,50.0,143,0,0.0,1,3.3,16,4.8,3.27,9.5,15.9,49.7,,0,0,,GarrBo20
27,Charley Trippi,33,CRD,HB,12,5,,7,13,53.8,85,0,0.0,3,23.1,22,6.5,-3.85,12.1,7.1,34.6,37,0,0,,TripCh00
28,Maury Duncan,23,SFO,QB,6,0,,4,14,28.6,82,0,0.0,2,14.3,29,5.9,-0.57,20.5,13.7,11.9,23,0,0,,DuncMa20
29,Bob Hoernschemeyer,29,DET,RH,11,6,,3,7,42.9,81,3,42.9,1,14.3,66,11.6,13.71,27.0,7.4,86.0,,0,0,,HoerBo00
30,Don Heinrich,24,NYG,QB,2,0,,4,9,44.4,56,0,0.0,2,22.2,31,6.2,-3.78,14.0,28.0,25.5,,0,0,,HeinDo00
31,Arnie Galiffa,27,SFO,QB,4,0,,3,12,25.0,54,0,0.0,0,0.0,25,4.5,4.50,18.0,13.5,45.8,4,0,0,,GaliAr20
32,Jim Cason,27,SFO,FS,12,12,1-0-0,7,13,53.8,40,0,0.0,1,7.7,25,3.1,-0.38,5.7,3.3,27.7,23,0,0,PB,CasoJi00
33,Kyle Rote,26,NYG,RH,11,8,,2,6,33.3,36,1,16.7,1,16.7,18,6.0,1.83,18.0,3.3,54.9,8,0,0,PB,RoteKy00
34,Joe Perry,27,SFO,FB,12,12,,1,1,100.0,34,0,0.0,0,0.0,34,34.0,34.00,34.0,2.8,118.7,,0,0,PBAP-1,PerrJo00
35,Skeet Quinlan,26,RAM,LH,11,10,,1,2,50.0,34,0,0.0,1,50.0,34,17.0,-5.50,34.0,3.1,56.2,,0,0,PB,QuinSk00
36,Pete Brown,24,SFO,LB,12,1,,1,1,100.0,19,0,0.0,0,0.0,19,19.0,19.00,19.0,1.6,118.7,,0,0,,BrowPe20
37,Harry Gilmer,28,WAS,LDH,12,5,,2,7,28.6,18,0,0.0,1,14.3,10,2.6,-3.86,9.0,1.5,0.0,14,0,0,,GilmHa00
38,Lynn Chandnois,29,PIT,HB,11,1,,1,3,33.3,13,0,0.0,0,0.0,13,4.3,4.33,13.0,1.2,47.9,,0,0,,ChanLy00
39,John Henry Johnson,25,SFO,LH,12,11,,1,2,50.0,10,1,50.0,0,0.0,10,5.0,15.00,10.0,0.8,104.2,3,0,0,PB,JohnJo02
40,Vic Janowicz,24,WAS,LDH,10,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,JanoVi20
41,Charlie Justice,30,WAS,LH,12,8,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,,0,0,,JustCh00
42,Tom Keane,28,BAL,SS,12,12,,1,1,100.0,0,0,0.0,0,0.0,,0.0,0.00,0.0,0.0,79.2,,0,0,,KeanTo00
43,Warren Lahr,31,CLE,LDH,12,12,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,LahrWa20
44,Jimmy Lesane,24,CHI,DB,3,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,LesaJi20
45,Ray Mathews,25,PIT,LH,12,12,,0,4,0.0,0,0,0.0,1,25.0,,0.0,-11.25,,0.0,0.0,18,0,0,,MathRa00
46,Ollie Matson,24,CRD,LH,12,8,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,6,0,0,PBAP-1,MatsOl00
47,Ray Renfro,25,CLE,LH,7,7,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,RenfRa00
48,Pete Schabarum,25,SFO,LDH,12,7,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,SchaPe20
49,George Taliaferro,27,BAL,LH,11,9,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,,0,0,,TaliGe00
50,Billy Tidwell,24,SFO,HB,10,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,TidwBi20
51,Zollie Toth,30,BAL,FB,12,11,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,TothZo00
52,Doak Walker,27,DET,LH,12,12,,0,4,0.0,0,0,0.0,1,25.0,,0.0,-11.25,,0.0,0.0,5,0,0,PBAP-1,WalkDo00
,League Average,,,,,,,,,50.4,,,5.0,,6.9,,7.2,5.05,14.2,57.2,61.7,,,,,-9999
