Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Fran Tarkenton,38,MIN,QB,16,16,8-7-1,345,572,60.3,3468,25,4.4,32,5.6,174,43.9,58,6.1,4.42,10.1,216.8,68.9,27,254,4.51,5.37,3.80,2,1,,TarkFr00
2,Archie Manning,29,NOR,QB,16,16,7-9-0,291,471,61.8,3416,17,3.6,16,3.4,154,44.3,71,7.3,6.45,11.7,213.5,81.7,37,301,7.28,6.13,5.38,2,4,PB,MannAr00
3,Jim Zorn,25,SEA,QB,16,16,9-7-0,248,443,56.0,3283,15,3.4,20,4.5,149,43.7,64,7.4,6.06,13.2,205.2,72.1,44,284,9.03,6.16,4.93,3,4,AP-2AP MVP-3AP OPoY-3,ZornJi00
4,Roger Staubach,36,DAL,QB,15,15,11-4-0,231,413,55.9,3190,25,6.1,16,3.9,152,43.8,91,7.7,7.19,13.8,212.7,84.9,32,219,7.19,6.68,6.18,1,3,PBAP MVP-4,StauRo00
5,Jim Hart,34,STL,QB,15,15,6-9-0,240,477,50.3,3121,16,3.4,18,3.8,151,39.4,74,6.5,5.52,13.0,208.1,66.7,20,166,4.02,5.95,4.96,0,1,,HartJi00
6,Dan Fouts,27,SDG,QB,15,14,9-5-0,224,381,58.8,2999,24,6.3,20,5.2,146,45.4,55,7.9,6.77,13.4,199.9,83.0,22,130,5.46,7.12,6.08,1,2,,FoutDa00
7,Pat Haden,25,RAM,QB,16,16,12-4-0,229,444,51.6,2995,13,2.9,19,4.3,142,38.7,68,6.7,5.41,13.1,187.2,65.1,32,216,6.72,5.84,4.59,3,6,,HadePa00
8,Ken Stabler,33,OAK,QB,16,16,9-7-0,237,406,58.4,2944,16,3.9,30,7.4,155,44.7,49,7.3,4.71,12.4,184.0,63.3,37,347,8.35,5.86,3.54,3,3,,StabKe00
9,Terry Bradshaw,30,PIT,QB,16,16,14-2-0,207,368,56.3,2915,28,7.6,20,5.4,145,45.0,70,7.9,7.00,14.1,182.2,84.7,21,222,5.40,6.92,6.05,2,2,PBAP-1AP MVP-1AP OPoY-2,BradTe00
10,Brian Sipe,29,CLE,QB,16,16,8-8-0,222,399,55.6,2906,21,5.3,15,3.8,121,38.1,69,7.3,6.64,13.1,181.6,80.7,29,229,6.78,6.25,5.66,2,2,,SipeBr00
11,Steve Grogan,25,NWE,QB,16,16,11-5-0,181,362,50.0,2824,15,4.1,23,6.4,116,40.5,75,7.8,5.77,15.6,176.5,63.6,21,184,5.48,6.89,4.97,3,6,,GrogSt00
12,Joe Theismann,29,WAS,QB,16,14,7-7-0,187,390,47.9,2593,13,3.3,18,4.6,118,36.1,63,6.6,5.24,13.9,162.1,61.6,42,391,9.72,5.10,3.82,2,2,,TheiJo00
13,Steve Bartkowski,26,ATL,QB,14,13,8-5-0,187,369,50.7,2489,10,2.7,18,4.9,115,37.3,71,6.7,5.09,13.3,177.8,61.1,39,349,9.56,5.25,3.75,4,5,,BartSt00
14,Ron Jaworski,27,PHI,QB,16,16,9-7-0,206,398,51.8,2487,16,4.0,16,4.0,112,33.9,56,6.2,5.24,12.1,155.4,67.9,41,288,9.34,5.01,4.10,1,2,,JawoRo00
15,Dan Pastorini,29,HOU,QB,16,16,10-6-0,199,368,54.1,2473,16,4.3,17,4.6,117,36.8,80,6.7,5.51,12.4,154.6,70.4,15,123,3.92,6.14,4.97,6,6,,PastDa00
16,Gary Danielson,27,DET,QB,16,11,6-5-0,199,351,56.7,2294,18,5.1,17,4.8,123,42.3,47,6.5,5.38,11.5,143.4,73.5,25,237,6.65,5.47,4.39,1,1,,DaniGa00
17,Ken Anderson,29,CIN,QB,12,12,4-8-0,173,319,54.2,2219,10,3.1,22,6.9,101,40.4,57,7.0,4.48,12.8,184.9,58.0,30,237,8.60,5.68,3.42,1,1,,AndeKe00
18,Joe Ferguson,28,BUF,QB,16,16,5-11-0,175,330,53.0,2136,16,4.8,15,4.5,92,37.3,92,6.5,5.40,12.2,133.5,70.5,29,243,8.08,5.27,4.28,1,1,,FergJo00
