Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
34,Bob Hoernschemeyer,30,DET,B,5,2,,1,2,50.0,17,1,50.0,1,50.0,17,8.5,-4.00,17.0,3.4,79.2,,0,0,,HoerBo00
35,Joe Arenas,30,SFO,RDH/LH,12,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,ArenJo00
36,Charlie Brackins,23,GNB,QB,7,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,7,0,0,,BracCh20
37,Lynn Chandnois,30,PIT,RH,9,9,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,ChanLy00
38,Vic Eaton,22,PIT,P,12,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,EatoVi20
39,Jug Girard,28,DET,HB,12,6,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,GiraJu20
40,Vic Janowicz,25,WAS,LH,12,11,,0,5,0.0,0,0,0.0,1,20.0,,0.0,-9.00,,0.0,0.0,,0,0,,JanoVi20
41,Dave Leggett,22,CRD,DB,4,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,LeggDa20
42,Dicky Moegle,21,SFO,FS/LH,11,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,MoegDi00
43,Jerry Norton,24,PHI,LH,12,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,NortJe00
44,Joe Perry,28,SFO,FB,11,11,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,PerrJo00
45,Ray Renfro,26,CLE,FL,12,12,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,RenfRa00
46,Kyle Rote,27,NYG,LE,12,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,RoteKy00
47,Doak Walker,28,DET,LH,12,9,,0,3,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,WalkDo00
48,Ron Waller,22,RAM,LH,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-2,WallRo00
,League Average,,,,,,,,,47.9,,,4.7,,6.8,,6.6,4.52,13.8,51.2,57.1,,,,,-9999
