Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Jim Finks,28,PIT,QB,12,12,4-8-0,165,344,48.0,2270,10,2.9,26,7.6,62,6.6,3.78,13.8,189.2,47.7,143,1,2,,FinkJi00
2,Y.A. Tittle,29,SFO,QB,12,12,4-8-0,147,287,51.2,2185,17,5.9,28,9.8,78,7.6,4.41,14.9,182.1,56.6,287,1,1,,TittY.00
3,Tobin Rote,27,GNB,QB,12,12,6-6-0,157,342,45.9,1977,17,5.0,19,5.6,60,5.8,4.27,12.6,164.8,57.8,218,3,3,AP-2,RoteTo00
4,Norm Van Brocklin,29,RAM,QB,12,12,8-3-1,144,272,52.9,1890,8,2.9,15,5.5,74,6.9,5.06,13.1,157.5,62.0,106,4,3,PB,VanBNo00
5,Bobby Layne,29,DET,QB,12,10,3-7-0,143,270,53.0,1830,11,4.1,17,6.3,77,6.8,4.76,12.8,152.5,61.8,72,1,2,,LaynBo00
6,Otto Graham,34,CLE,QB,12,12,9-2-1,98,185,53.0,1721,15,8.1,8,4.3,61,9.3,8.98,17.6,143.4,94.0,241,3,2,AP-1,GrahOt00
7,George Shaw,22,BAL,QB,12,12,5-6-1,119,237,50.2,1586,10,4.2,19,8.0,82,6.7,3.93,13.3,132.2,52.5,111,0,0,,ShawGe00
8,Adrian Burk,28,PHI,QB,12,8,3-5-0,110,228,48.2,1359,9,3.9,17,7.5,59,6.0,3.39,12.4,113.3,49.2,192,2,1,PB,BurkAd00
9,Bobby Thomason,27,PHI,QB,10,4,1-2-1,88,171,51.5,1337,10,5.8,7,4.1,,7.8,7.15,15.2,133.7,80.0,32,0,1,PB,ThomBo02
10,Charlie Conerly,34,NYG,QB,12,4,1-3-0,98,202,48.5,1310,13,6.4,13,6.4,71,6.5,4.88,13.4,109.2,64.2,97,1,1,,ConeCh00
11,Ed Brown,27,CHI,QB,12,12,8-4-0,85,164,51.8,1307,9,5.5,10,6.1,86,8.0,6.32,15.4,108.9,71.4,95,1,1,PB,BrowEd01
12,Eddie LeBaron,25,WAS,QB,12,8,4-4-0,79,178,44.4,1270,9,5.1,15,8.4,70,7.1,4.35,16.1,105.8,50.5,153,2,2,PB,LeBaEd00
13,Lamar McHan,23,CRD,QB,12,11,4-6-1,78,207,37.7,1085,11,5.3,19,9.2,74,5.2,2.17,13.9,90.4,34.8,133,1,0,,McHaLa00
14,Harry Gilmer,29,DET,QB,8,2,0-2-0,58,122,47.5,633,2,1.6,4,3.3,34,5.2,4.04,10.9,79.1,55.1,67,0,0,,GilmHa00
15,George Ratterman,29,CLE,QB,10,0,,32,47,68.1,504,6,12.8,3,6.4,35,10.7,10.40,15.8,50.4,116.5,34,1,1,,RattGe00
16,George Blanda,28,CHI,QB,12,0,,42,97,43.3,459,4,4.1,7,7.2,51,4.7,2.31,10.9,38.3,41.6,57,0,0,,BlanGe00
17,Don Heinrich,25,NYG,QB,10,8,5-2-1,31,67,46.3,413,2,3.0,2,3.0,37,6.2,5.42,13.3,41.3,63.8,8,0,0,,HeinDo00
18,Ogden Compton,23,CRD,QB,9,1,0-1-0,22,61,36.1,339,1,1.6,6,9.8,98,5.6,1.46,15.4,37.7,21.2,47,0,0,,CompOg20
19,Billy Wade,25,RAM,QB,7,0,,31,71,43.7,316,1,1.4,3,4.2,25,4.5,2.83,10.2,45.1,44.1,69,0,0,,WadeBi00
20,Ted Marchibroda,24,PIT,QB,7,0,,24,43,55.8,280,2,4.7,3,7.0,47,6.5,4.30,11.7,40.0,62.2,11,0,0,,MarcTe20
21,Bob Williams,25,CHI,QB,10,0,,15,40,37.5,256,3,7.5,5,12.5,37,6.4,2.28,17.1,25.6,45.4,28,0,0,,WillBo20
22,Ralph Guglielmi,22,WAS,QB,9,3,3-0-0,20,62,32.3,242,2,3.2,4,6.5,43,3.9,1.65,12.1,26.9,29.1,46,0,0,,GuglRa00
23,Gary Kerkorian,25,BAL,QB,7,0,,15,29,51.7,209,1,3.4,3,10.3,48,7.2,3.24,13.9,29.9,47.1,53,0,0,,KerkGa20
24,Frank Gifford,25,NYG,LH,11,11,,2,6,33.3,96,2,33.3,0,0.0,71,16.0,22.67,48.0,8.7,121.5,,0,0,PBAP-1,GiffFr00
25,Bill Stits,24,DET,RDH,12,12,,2,2,100.0,62,1,50.0,0,0.0,41,31.0,41.00,31.0,5.2,158.3,,0,0,,StitBi00
26,Bill McColl,25,CHI,RE,12,8,,1,2,50.0,59,0,0.0,0,0.0,59,29.5,29.50,59.0,4.9,95.8,,0,0,,McCoBi20
27,Dave Mann,23,CRD,RH,12,12,,5,10,50.0,53,2,20.0,0,0.0,50,5.3,9.30,10.6,4.4,105.4,,0,0,,MannDa20
28,Bob Clatterbuck,23,NYG,QB,4,0,,6,16,37.5,46,0,0.0,0,0.0,14,2.9,2.88,7.7,11.5,45.8,,0,0,,ClatBo00
29,Ollie Matson,25,CRD,LH,12,12,,1,1,100.0,43,0,0.0,0,0.0,43,43.0,43.00,43.0,3.6,118.7,,0,0,PBAP-1,MatsOl00
30,Maury Duncan,24,SFO,QB,11,0,,4,12,33.3,40,0,0.0,0,0.0,27,3.3,3.33,10.0,3.6,43.7,,0,0,,DuncMa20
31,Al Dorow,26,WAS,QB,8,1,1-0-0,2,12,16.7,37,0,0.0,1,8.3,19,3.1,-0.67,18.5,4.6,5.2,2,0,0,,DoroAl00
32,Rick Casares,24,CHI,LH,12,5,,2,3,66.7,27,1,33.3,1,33.3,23,9.0,0.67,13.5,2.3,95.1,,0,0,PB,CasaRi00
33,Paul Held,27,GNB,QB,2,0,,2,4,50.0,27,0,0.0,0,0.0,18,6.8,6.75,13.5,13.5,71.9,,0,0,,HeldPa20
