Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Neil Lomax,28,STL,QB,12,12,6-6-0,275,463,59.4,3387,24,5.2,12,2.6,170,45.0,57,7.3,7.19,12.3,282.3,88.5,48,350,9.39,5.94,5.83,2,2,PB,LomaNe00
2,Boomer Esiason,26,CIN,QB,12,12,3-9-0,240,440,54.5,3321,16,3.6,19,4.3,152,44.2,61,7.5,6.33,13.8,276.8,73.1,26,209,5.58,6.68,5.53,3,3,,EsiaBo00
3,Dan Marino,26,MIA,QB,12,12,7-5-0,263,444,59.2,3245,26,5.9,13,2.9,158,50.1,59,7.3,7.16,12.3,270.4,89.2,9,77,1.99,6.99,6.85,2,2,PB,MariDa00
4,John Elway,27,DEN,QB,12,12,8-3-1,224,410,54.6,3198,19,4.6,12,2.9,144,43.5,72,7.8,7.41,14.3,266.5,83.4,20,138,4.65,7.12,6.74,3,2,PBAP-2AP MVP-1AP OPoY-3,ElwaJo00
5,Joe Montana,31,SFO,QB,13,11,10-1-0,266,398,66.8,3054,31,7.8,13,3.3,158,52.6,57,7.7,7.76,11.5,234.9,102.1,22,158,5.24,6.90,6.98,3,3,PBAP-1AP MVP-3AP OPoY-2,MontJo01
6,Bernie Kosar,24,CLE,QB,12,12,8-4-0,241,389,62.0,3033,22,5.7,9,2.3,140,50.4,54,7.8,7.89,12.6,252.8,95.4,22,129,5.35,7.07,7.15,0,0,PBAP OPoY-3,KosaBe00
7,Warren Moon,31,HOU,QB,12,12,7-5-0,184,368,50.0,2806,21,5.7,18,4.9,121,39.4,83,7.6,6.57,15.3,233.8,74.2,25,198,6.36,6.64,5.64,3,3,,MoonWa00
8,Jim Kelly,27,BUF,QB,12,12,6-6-0,250,419,59.7,2798,19,4.5,11,2.6,131,43.5,47,6.7,6.40,11.2,233.2,83.8,27,239,6.05,5.74,5.48,2,2,PB,KellJi00
9,Randall Cunningham,24,PHI,QB,12,12,7-5-0,223,406,54.9,2786,23,5.7,12,3.0,117,38.7,70,6.9,6.67,12.5,232.2,83.0,54,380,11.74,5.23,5.06,2,3,,CunnRa00
10,Ken O'Brien,27,NYJ,QB,12,12,5-7-0,234,393,59.5,2696,13,3.3,8,2.0,132,42.9,59,6.9,6.61,11.5,224.7,82.8,50,364,11.29,5.26,5.04,2,1,,OBriKe00
