Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Sonny Jurgensen,27,PHI,QB,14,14,10-4-0,235,416,56.5,3723,32,7.7,24,5.8,69,8.9,7.89,15.8,265.9,88.1,28,211,6.31,7.91,6.92,3,3,PBAP-1,JurgSo00
2,Johnny Unitas,28,BAL,QB,14,14,8-6-0,229,420,54.5,2990,16,3.8,24,5.7,72,7.1,5.31,13.1,213.6,66.1,28,204,6.25,6.22,4.52,3,4,PB,UnitJo00
3,John Brodie,26,SFO,QB,14,14,7-6-1,155,283,54.8,2588,14,4.9,12,4.2,70,9.1,8.23,16.7,184.9,84.7,19,141,6.29,8.10,7.24,2,2,,BrodJo00
4,Bart Starr,27,GNB,QB,14,14,11-3-0,172,295,58.3,2418,16,5.4,16,5.4,78,8.2,6.84,14.1,172.7,80.3,15,138,4.84,7.35,6.06,3,3,PB,StarBa00
5,Milt Plum,26,CLE,QB,14,13,7-5-1,177,302,58.6,2416,18,6.0,10,3.3,77,8.0,7.70,13.6,172.6,90.3,17,145,5.33,7.12,6.84,2,2,PB,PlumMi00
6,Norm Snead,22,WAS,QB,14,14,1-12-1,172,375,45.9,2337,11,2.9,22,5.9,80,6.2,4.18,13.6,166.9,51.6,49,368,11.56,4.64,2.83,0,0,,SneaNo00
7,Y.A. Tittle,35,NYG,QB,13,10,8-1-1,163,285,57.2,2272,17,6.0,12,4.2,62,8.0,7.27,13.9,174.8,85.3,15,161,5.00,7.04,6.37,1,1,PB,TittY.00
8,Billy Wade,31,CHI,QB,13,9,5-4-0,139,250,55.6,2258,22,8.8,13,5.2,98,9.0,8.45,16.2,173.7,93.7,29,251,10.39,7.19,6.67,3,3,,WadeBi00
9,Fran Tarkenton,21,MIN,QB,14,10,2-8-0,157,280,56.1,1997,18,6.4,17,6.1,71,7.1,5.69,12.7,142.6,74.7,42,416,13.04,4.91,3.65,0,0,,TarkFr00
10,Jim Ninowski,25,DET,QB,13,8,4-3-1,117,247,47.4,1921,7,2.8,18,7.3,84,7.8,5.06,16.4,147.8,53.0,21,212,7.84,6.38,3.88,0,0,,NinoJi00
11,Eddie LeBaron,31,DAL,QB,14,10,2-8-0,120,236,50.8,1741,14,5.9,16,6.8,80,7.4,5.51,14.5,124.4,66.7,13,103,5.22,6.58,4.81,3,2,,LeBaEd00
12,Zeke Bratkowski,30,RAM,QB,13,11,2-9-0,124,230,53.9,1547,8,3.5,13,5.7,84,6.7,4.88,12.5,119.0,63.1,16,168,6.50,5.61,3.88,1,1,,BratZe00
13,Sam Etcheverry,31,STL,QB,14,9,4-5-0,96,196,49.0,1275,14,7.1,11,5.6,78,6.5,5.41,13.3,91.1,70.4,39,300,16.60,4.15,3.23,2,3,,EtchSa00
14,Rudy Bukich,31,PIT,QB,11,8,4-4-0,89,156,57.1,1253,11,7.1,16,10.3,88,8.0,4.83,14.1,113.9,67.0,20,193,11.36,6.02,3.18,1,1,,BukiRu00
15,Bobby Layne,35,PIT,QB,8,6,2-4-0,75,149,50.3,1205,11,7.4,16,10.7,53,8.1,4.73,16.1,150.6,62.8,12,89,7.45,6.93,3.83,0,0,,LaynBo00
16,Don Meredith,23,DAL,QB,8,4,2-1-1,94,182,51.6,1161,9,4.9,11,6.0,56,6.4,4.65,12.4,145.1,63.0,18,154,9.00,5.04,3.46,0,0,,MereDo00
17,Frank Ryan,25,RAM,QB,14,3,2-1-0,72,142,50.7,1115,5,3.5,7,4.9,96,7.9,6.34,15.5,79.6,68.3,25,204,14.97,5.46,4.17,0,2,,RyanFr00
18,Ralph Guglielmi,28,STL,QB,9,5,3-2-0,56,116,48.3,927,5,4.3,8,6.9,80,8.0,5.75,16.6,103.0,61.2,20,151,14.71,5.71,3.79,0,0,,GuglRa00
19,Earl Morrall,27,DET,QB,13,6,4-2-0,69,150,46.0,909,7,4.7,9,6.0,61,6.1,4.29,13.2,69.9,56.2,10,74,6.25,5.22,3.56,2,2,,MorrEa00
20,Ed Brown,33,CHI,QB,14,5,3-2-0,46,98,46.9,742,4,4.1,11,11.2,84,7.6,3.34,16.1,53.0,46.8,9,88,8.41,6.11,2.23,1,2,,BrowEd01
21,Charlie Conerly,40,NYG,QB,13,4,2-2-0,44,106,41.5,634,7,6.6,8,7.5,37,6.0,3.91,14.4,48.8,52.2,19,134,15.20,4.00,2.24,1,1,,ConeCh00
22,George Shaw,28,MIN,QB,8,4,1-3-0,46,91,50.5,530,4,4.4,4,4.4,42,5.8,4.73,11.5,66.3,64.8,13,122,12.50,3.92,2.96,0,0,,ShawGe00
23,Billy Kilmer,22,SFO,QB,11,0,,19,34,55.9,286,0,0.0,4,11.8,28,8.4,3.12,15.1,26.0,44.1,8,71,19.05,5.12,0.83,0,0,,KilmBi00
24,George Izo,24,WAS,QB,5,0,,16,40,40.0,214,1,2.5,6,15.0,33,5.4,-0.90,13.4,42.8,26.5,4,24,9.09,4.32,-1.36,0,0,,IzoxGe00
25,Bob Waters,23,SFO,QB,8,0,,13,28,46.4,183,1,3.6,2,7.1,26,6.5,4.04,14.1,22.9,50.1,5,41,15.15,4.30,2.18,0,0,,WateBo00
