Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,John Elway,33,DEN,QB,16,16,9-7-0,348,551,63.2,4030,25,4.5,10,1.8,184,45.3,63,7.3,7.40,11.6,251.9,92.8,39,293,6.61,6.33,6.42,1,1,PBAP-2AP MVP-4AP OPoY-4,ElwaJo00
2,Steve Young,32,SFO,QB,16,16,10-6-0,314,462,68.0,4023,29,6.3,16,3.5,188,54.6,80,8.7,8.40,12.8,251.4,101.5,31,160,6.29,7.84,7.55,0,0,PBAP-1AP MVP-2AP OPoY-2,YounSt00
3,Warren Moon,37,HOU,QB,15,14,10-4-0,303,520,58.3,3485,21,4.0,21,4.0,178,48.2,80,6.7,5.69,11.5,232.3,75.2,34,218,6.14,5.90,4.95,1,1,PBAP MVP-6,MoonWa00
4,Boomer Esiason,32,NYJ,QB,16,16,8-8-0,288,473,60.9,3421,16,3.4,11,2.3,170,48.3,77,7.2,6.86,11.9,213.8,84.5,18,139,3.67,6.68,6.33,0,0,PB,EsiaBo00
5,Jim Kelly,33,BUF,QB,16,16,12-4-0,288,470,61.3,3382,18,3.8,18,3.8,169,48.7,65,7.2,6.24,11.7,211.4,79.9,25,171,5.05,6.49,5.58,3,4,,KellJi00
6,Brett Favre,24,GNB,QB,16,16,9-7-0,318,522,60.9,3303,19,3.6,24,4.6,165,43.8,66,6.3,4.99,10.4,206.4,72.2,30,199,5.43,5.62,4.36,3,3,PB,FavrBr00
7,Jeff Hostetler,32,RAI,QB,15,15,10-5-0,236,419,56.3,3242,14,3.3,10,2.4,142,44.9,74,7.7,7.33,13.7,216.1,82.5,38,206,8.32,6.64,6.27,3,3,,HostJe00
8,Neil O'Donnell,27,PIT,QB,16,15,9-6-0,270,486,55.6,3208,14,2.9,7,1.4,165,42.1,71,6.6,6.53,11.9,200.5,79.5,41,331,7.78,5.46,5.39,2,2,,ODonNe00
9,Steve Beuerlein,28,PHO,QB,16,14,6-8-0,258,418,61.7,3164,18,4.3,17,4.1,149,48.1,65,7.6,6.60,12.3,197.8,82.5,29,206,6.49,6.62,5.71,1,1,,BeueSt00
10,Troy Aikman,27,DAL,QB,14,14,11-3-0,271,392,69.1,3100,15,3.8,6,1.5,152,51.0,80,7.9,7.98,11.4,221.4,99.0,26,153,6.22,7.05,7.12,0,1,PBAP MVP-5AP OPoY-6,AikmTr00
11,Craig Erickson,24,TAM,QB,16,15,5-10-0,233,457,51.0,3054,18,3.9,21,4.6,128,37.0,67,6.7,5.40,13.1,190.9,66.4,35,236,7.11,5.73,4.54,0,0,,EricCr00
12,Phil Simms,38,NYG,QB,16,16,11-5-0,247,400,61.8,3038,15,3.8,9,2.3,147,45.3,62,7.6,7.33,12.3,189.9,88.3,37,217,8.47,6.46,6.22,3,3,PBAP MVP-8,SimmPh00
13,Bobby Hebert,33,ATL,QB,14,12,4-8-0,263,430,61.2,2978,24,5.6,17,4.0,146,47.3,98,6.9,6.26,11.3,212.7,84.0,29,190,6.32,6.07,5.45,1,1,PB,HebeBo00
14,Rick Mirer,23,SEA,QB,16,16,6-10-0,274,486,56.4,2833,12,2.5,17,3.5,142,40.0,53,5.8,4.75,10.3,177.1,67.0,47,235,8.82,4.87,3.89,1,1,AP ORoY-2,MireRi00
15,Jeff George,26,IND,QB,13,11,2-9-0,234,407,57.5,2526,8,2.0,6,1.5,126,43.0,72,6.2,5.94,10.8,194.3,76.3,26,190,6.00,5.39,5.14,1,2,,GeorJe00
16,Drew Bledsoe,21,NWE,QB,13,12,5-7-0,214,429,49.9,2494,15,3.5,15,3.5,130,39.3,54,5.8,4.94,11.7,191.8,65.0,16,99,3.60,5.38,4.54,2,2,,BledDr00
17,Wade Wilson,34,NOR,QB,14,14,7-7-0,221,388,57.0,2457,12,3.1,15,3.9,125,42.8,42,6.3,5.21,11.1,175.5,70.1,37,225,8.71,5.25,4.23,1,4,,WilsWa00
18,Joe Montana,37,KAN,QB,11,11,8-3-0,181,298,60.7,2144,13,4.4,7,2.3,110,47.4,50,7.2,7.01,11.8,194.9,87.4,12,61,3.87,6.72,6.54,1,1,PB,MontJo01
19,Jim Harbaugh,30,CHI,QB,15,15,7-8-0,200,325,61.5,2002,7,2.2,11,3.4,98,38.3,48,6.2,5.07,10.0,133.5,72.1,43,210,11.68,4.87,3.90,1,1,,HarbJi00
20,Stan Humphries,28,SDG,QB,12,10,6-4-0,173,324,53.4,1981,12,3.7,10,3.1,102,41.2,48,6.1,5.47,11.5,165.1,71.5,18,142,5.26,5.38,4.76,2,2,,HumpSt00
21,Jim McMahon,34,MIN,QB,12,12,8-4-0,200,331,60.4,1968,9,2.7,8,2.4,111,42.9,58,5.9,5.40,9.8,164.0,76.2,23,104,6.50,5.27,4.76,2,2,,McMaJi00
22,David Klingler,24,CIN,QB,14,13,3-10-0,190,343,55.4,1935,6,1.7,9,2.6,86,37.1,51,5.6,4.81,10.2,138.2,66.6,40,202,10.44,4.52,3.78,1,1,,KlinDa00
23,Bubby Brister,31,PHI,QB,10,8,4-4-0,181,309,58.6,1905,14,4.5,5,1.6,97,41.8,58,6.2,6.34,10.5,190.5,84.9,19,148,5.79,5.36,5.52,2,2,,BrisBu00
24,Vinny Testaverde,30,CLE,QB,10,6,3-3-0,130,230,56.5,1797,14,6.1,9,3.9,85,41.7,62,7.8,7.27,13.8,179.7,85.7,17,101,6.88,6.87,6.36,1,1,,TestVi00
25,Scott Mitchell,25,MIA,QB,13,7,3-4-0,133,233,57.1,1773,12,5.2,8,3.4,83,47.9,77,7.6,7.09,13.3,136.4,84.2,7,49,2.92,7.18,6.68,0,0,,MitcSc00
26,Steve DeBerg,39,2TM,QB,8,5,2-3-0,136,227,59.9,1707,7,3.1,10,4.4,80,48.2,47,7.5,6.15,12.6,213.4,75.3,18,143,7.35,6.38,5.12,2,2,,DebeSt00
