Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Ken Anderson,25,CIN,QB,13,13,7-6-0,213,328,64.9,2667,18,5.5,10,3.0,77,8.1,7.86,12.5,205.2,95.7,36,292,9.89,6.52,6.28,0,0,,AndeKe00
2,Joe Namath,31,NYJ,QB,14,14,7-7-0,191,361,52.9,2616,20,5.5,22,6.1,89,7.2,5.61,13.7,186.9,69.4,19,195,5.00,6.37,4.82,3,3,,NamaJo00
3,Fran Tarkenton,34,MIN,QB,13,13,9-4-0,199,351,56.7,2598,17,4.8,12,3.4,80,7.4,6.83,13.1,199.8,82.1,17,142,4.62,6.67,6.13,1,1,PB,TarkFr00
4,Roger Staubach,32,DAL,QB,14,14,8-6-0,190,360,52.8,2552,11,3.1,15,4.2,58,7.1,5.83,13.4,182.3,68.4,45,309,11.11,5.54,4.41,2,3,,StauRo00
5,Ken Stabler,29,OAK,QB,14,13,11-2-0,178,310,57.4,2469,26,8.4,12,3.9,67,8.0,7.90,13.9,176.4,94.9,18,141,5.49,7.10,7.04,2,2,PBAP-1AP MVP-1AP OPoY-1,StabKe00
6,Jim Plunkett,27,NWE,QB,14,14,7-7-0,173,352,49.1,2457,19,5.4,22,6.3,69,7.0,5.25,14.2,175.5,64.1,21,174,5.63,6.12,4.49,1,1,,PlunJi00
7,Jim Hart,30,STL,QB,14,14,10-4-0,200,388,51.5,2411,20,5.2,8,2.1,80,6.2,6.32,12.1,172.2,79.5,16,134,3.96,5.64,5.74,1,2,PBAP-2,HartJi00
8,Charley Johnson,36,DEN,QB,14,12,6-5-1,136,244,55.7,1969,13,5.3,9,3.7,73,8.1,7.48,14.5,140.6,84.5,36,270,12.86,6.07,5.55,0,0,,JohnCh02
9,Bob Griese,29,MIA,QB,13,13,10-3-0,152,253,60.1,1968,16,6.3,15,5.9,54,7.8,6.38,12.9,151.4,80.9,27,202,9.64,6.31,5.04,2,3,PB,GrieBo00
10,Bill Munson,33,DET,QB,11,11,6-5-0,166,292,56.8,1874,8,2.7,7,2.4,56,6.4,5.89,11.3,170.4,75.3,24,172,7.59,5.39,4.90,3,3,,MunsBi00
11,Roman Gabriel,34,PHI,QB,11,11,4-7-0,193,338,57.1,1867,9,2.7,12,3.6,64,5.5,4.46,9.7,169.7,66.8,35,259,9.38,4.31,3.35,0,1,,GabrRo00
12,John Hadl,34,2TM,QB,14,11,6-5-0,142,299,47.5,1752,8,2.7,14,4.7,68,5.9,4.29,12.3,125.1,55.5,15,106,4.78,5.24,3.75,0,0,,HadlJo00
12,John Hadl,34,RAM,QB,6,5,3-2-0,53,115,46.1,680,5,4.3,6,5.2,38,5.9,4.43,12.8,113.3,57.9,6,36,4.96,5.32,3.92,0,0,,HadlJo00
12,John Hadl,34,GNB,QB,8,6,3-3-0,89,184,48.4,1072,3,1.6,8,4.3,68,5.8,4.20,12.0,134.0,54.0,9,70,4.66,5.19,3.64,0,0,,HadlJo00
13,Dan Fouts,23,SDG,QB,11,11,3-8-0,115,237,48.5,1732,8,3.4,13,5.5,75,7.3,5.51,15.1,157.5,61.4,12,99,4.82,6.56,4.85,2,2,,FoutDa00
14,Gary Huff,23,CHI,QB,13,11,3-8-0,142,283,50.2,1663,6,2.1,17,6.0,73,5.9,3.60,11.7,127.9,50.4,24,260,7.82,4.57,2.47,0,0,,HuffGa00
15,Billy Kilmer,35,WAS,QB,11,10,7-3-0,137,234,58.5,1632,10,4.3,6,2.6,51,7.0,6.68,11.9,148.4,83.5,13,96,5.26,6.22,5.94,0,0,,KilmBi00
