Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Otto Graham,32,CLE,QB,12,11,10-1-0,167,258,64.7,2722,11,4.3,9,3.5,70,10.6,9.83,16.3,226.8,99.7,245,2,2,PBAP-1,GrahOt00
2,Bobby Thomason,25,PHI,QB,12,8,6-2-0,162,304,53.3,2462,21,6.9,20,6.6,62,8.1,6.52,15.2,205.2,75.8,129,1,1,PB,ThomBo02
3,Norm Van Brocklin,27,RAM,QB,12,12,8-3-1,156,286,54.5,2393,19,6.6,14,4.9,70,8.4,7.49,15.3,199.4,84.1,61,1,2,PB,VanBNo00
4,George Blanda,26,CHI,QB,12,12,3-8-1,169,362,46.7,2164,14,3.9,23,6.4,72,6.0,3.89,12.8,180.3,52.3,110,2,2,,BlanGe00
5,Y.A. Tittle,27,SFO,QB,11,10,8-2-0,149,259,57.5,2121,20,7.7,16,6.2,71,8.2,6.95,14.2,192.8,84.1,221,2,2,PB,TittY.00
6,Bobby Layne,27,DET,QB,12,11,9-2-0,125,273,45.8,2088,16,5.9,21,7.7,97,7.6,5.36,16.7,174.0,59.6,127,2,2,PB,LaynBo00
7,Charlie Conerly,32,NYG,QB,12,11,3-8-0,143,303,47.2,1711,13,4.3,25,8.3,60,5.6,2.79,12.0,142.6,44.9,266,1,1,,ConeCh00
8,Jim Finks,26,PIT,QB,11,9,4-5-0,131,292,44.9,1484,8,2.7,14,4.8,77,5.1,3.47,11.3,134.9,49.8,100,3,3,,FinkJi00
9,Jim Root,22,CRD,QB,11,6,0-5-1,80,192,41.7,1149,8,4.2,11,5.7,77,6.0,4.24,14.4,104.5,51.8,193,0,0,,RootJi20
10,Fred Enke,29,BAL,QB,8,8,3-5-0,71,169,42.0,1054,8,4.7,15,8.9,55,6.2,3.19,14.8,131.8,41.9,150,0,0,,EnkeFr20
