Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
11,Tobin Rote,25,GNB,QB,12,7,2-4-1,72,185,38.9,1005,5,2.7,15,8.1,80,5.4,2.32,14.0,83.8,32.4,117,0,0,,RoteTo00
12,Eddie LeBaron,23,WAS,QB,12,8,4-3-1,62,149,41.6,874,3,2.0,17,11.4,66,5.9,1.13,14.1,72.8,28.3,111,3,3,,LeBaEd00
13,Jack Scarbath,23,WAS,QB,12,4,2-2-0,45,129,34.9,862,9,7.0,12,9.3,71,6.7,3.89,19.2,71.8,43.5,120,1,2,,ScarJa20
14,Babe Parilli,23,GNB,QB,12,5,0-5-0,74,166,44.6,830,4,2.4,19,11.4,45,5.0,0.33,11.2,69.2,28.5,161,1,0,,PariBa00
15,Adrian Burk,26,PHI,QB,10,4,1-2-1,56,119,47.1,788,4,3.4,9,7.6,61,6.6,3.89,14.1,78.8,48.6,120,1,0,,BurkAd00
16,Steve Romanik,29,2TM,QB,7,4,1-3-0,51,125,40.8,650,4,3.2,11,8.8,42,5.2,1.88,12.7,92.9,31.7,64,0,0,,RomaSt00
16,Steve Romanik,29,CHI,QB,1,0,,1,8,12.5,9,0,0.0,2,25.0,9,1.1,-10.13,9.0,9.0,0.0,5,0,0,,RomaSt00
16,Steve Romanik,29,CRD,QB,6,4,1-3-0,50,117,42.7,641,4,3.4,9,7.7,42,5.5,2.70,12.8,106.8,39.9,59,0,0,,RomaSt00
17,Bill Mackrides,28,2TM,QB,7,3,2-1-0,54,109,49.5,506,2,1.8,8,7.3,36,4.6,1.71,9.4,72.3,38.2,27,1,1,,MackBi20
17,Bill Mackrides,28,NYG,QB,3,0,,6,15,40.0,53,1,6.7,3,20.0,,3.5,-4.13,8.8,17.7,32.8,,0,0,,MackBi20
17,Bill Mackrides,28,PIT,QB,4,3,2-1-0,48,94,51.1,453,1,1.1,5,5.3,36,4.8,2.64,9.4,113.3,46.1,27,1,1,,MackBi20
18,Tommy O'Connell,23,CHI,QB,12,0,,33,67,49.3,437,1,1.5,4,6.0,40,6.5,4.13,13.2,36.4,50.4,14,0,0,,OConTo00
19,George Ratterman,27,CLE,QB,9,1,1-0-0,23,41,56.1,301,4,9.8,0,0.0,45,7.3,9.29,13.1,33.4,111.9,,0,0,,RattGe00
20,Jim Powers,25,SFO,QB,12,2,1-1-0,22,49,44.9,259,1,2.0,2,4.1,28,5.3,3.86,11.8,21.6,51.3,18,0,1,,PoweJi20
21,Jack Del Bello,26,BAL,QB,5,0,,27,61,44.3,229,1,1.6,5,8.2,66,3.8,0.39,8.5,45.8,25.9,164,0,0,,DelBJa20
22,George Taliaferro,26,BAL,LH/QB,11,11,0-3-0,15,55,27.3,211,2,3.6,5,9.1,45,3.8,0.47,14.1,19.2,17.3,87,0,0,PB,TaliGe00
23,Charley Trippi,32,CRD,LH,12,11,,20,34,58.8,195,2,5.9,1,2.9,21,5.7,5.59,9.8,16.3,82.4,46,1,0,PB,TripCh00
24,Ray Nagel,26,CRD,QB,4,2,0-2-0,30,62,48.4,192,0,0.0,5,8.1,27,3.1,-0.53,6.4,48.0,21.7,30,0,0,,NageRa20
25,Tom Dublinski,23,DET,QB,7,1,1-0-0,14,30,46.7,174,0,0.0,5,16.7,26,5.8,-1.70,12.4,24.9,25.6,26,0,0,,DublTo00
26,Rudy Bukich,23,RAM,QB,8,0,,14,32,43.8,169,0,0.0,3,9.4,30,5.3,1.06,12.1,21.1,21.5,46,0,0,,BukiRu00
27,Arnie Galiffa,26,NYG,QB,3,1,0-1-0,4,13,30.8,129,1,7.7,5,38.5,75,9.9,-5.85,32.3,43.0,55.1,16,1,1,,GaliAr20
28,Ed Mioduszewski,22,BAL,QB,12,2,0-1-0,11,30,36.7,113,2,6.7,2,6.7,17,3.8,2.10,10.3,9.4,42.8,,0,0,,MiodEd20
29,Bob Gambold,24,PHI,QB,3,0,,6,14,42.9,107,0,0.0,2,14.3,41,7.6,1.21,17.8,35.7,30.1,19,0,0,,GambBo20
30,Ted Marchibroda,22,PIT,QB,4,0,,9,22,40.9,66,1,4.5,2,9.1,16,3.0,-0.18,7.3,16.5,25.9,12,0,0,,MarcTe20
31,Skeet Quinlan,25,RAM,LH,12,11,,2,4,50.0,60,0,0.0,1,25.0,40,15.0,3.75,30.0,5.0,56.2,,0,0,,QuinSk00
32,Vitamin Smith,30,RAM,HB,11,3,,1,2,50.0,50,0,0.0,0,0.0,50,25.0,25.00,50.0,4.5,95.8,,0,0,,SmitVi21
33,Frank Gifford,23,NYG,FS/LH,12,9,,3,6,50.0,47,1,16.7,0,0.0,21,7.8,11.17,15.7,3.9,116.0,,0,0,PB,GiffFr00
34,Kyle Rote,25,NYG,RH,9,7,,2,8,25.0,45,0,0.0,1,12.5,23,5.6,0.00,22.5,5.0,10.9,,0,0,PB,RoteKy00
35,Ray Renfro,24,CLE,FL,12,0,,1,3,33.3,36,1,33.3,0,0.0,36,12.0,18.67,36.0,3.0,119.4,,0,0,PB,RenfRa00
36,Doak Walker,26,DET,LH,12,12,,3,7,42.9,31,1,14.3,0,0.0,23,4.4,7.29,10.3,2.6,95.8,,0,0,PBAP-1,WalkDo00
37,Willie Thrower,23,CHI,QB,1,0,,3,8,37.5,27,0,0.0,1,12.5,12,3.4,-2.25,9.0,27.0,7.8,9,0,0,,ThroWi20
38,Dick Flowers,26,BAL,QB,1,0,,2,4,50.0,18,0,0.0,0,0.0,12,4.5,4.50,9.0,18.0,62.5,10,0,0,,FlowDi20
39,Bob Hoernschemeyer,28,DET,RH,12,12,,2,5,40.0,16,1,20.0,1,20.0,8,3.2,-1.80,8.0,1.3,48.7,10,0,0,,HoerBo00
40,Joe Perry,26,SFO,FB,12,12,,1,1,100.0,14,0,0.0,0,0.0,14,14.0,14.00,14.0,1.2,118.7,,0,0,PBAP-1,PerrJo00
41,Hugh McElhenny,24,SFO,RH,12,12,,2,3,66.7,13,1,33.3,0,0.0,11,4.3,11.00,6.5,1.1,115.3,,0,0,PBAP-1,McElHu00
42,Don Paul,27,CRD,RDH/S,12,12,,1,2,50.0,13,0,0.0,0,0.0,13,6.5,6.50,13.0,1.1,70.8,,0,0,PB,PaulDo01
43,Lynn Chandnois,28,PIT,RH,12,11,,1,3,33.3,11,0,0.0,0,0.0,11,3.7,3.67,11.0,0.9,45.1,15,0,0,PB,ChanLy00
44,Joe Arenas,28,SFO,LH,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,ArenJo00
45,Pat Brady,27,PIT,P,12,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,BradPa21
46,Jim Brandt,24,PIT,S,12,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,BranJi20
47,Jug Girard,26,DET,HB,11,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,GiraJu20
48,Dub Jones,29,CLE,RH,12,6,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,JoneDu00
49,Hal Ledyard,22,SFO,QB,10,0,,0,9,0.0,0,0,0.0,1,11.1,,0.0,-5.00,,0.0,0.0,,0,0,,LedyHa20
50,Eddie Macon,26,CHI,LDH,12,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,MacoEd20
51,Ray Mathews,24,PIT,LH,12,12,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,10,0,0,,MathRa00
52,Johnny Olszewski,23,CRD,FB,12,12,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,PB,OlszJo00
53,Fran Rogel,26,PIT,FB,12,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,RogeFr00
54,Frank Ziegler,30,PHI,RH,12,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,ZiegFr00
55,J.R. Boone,28,GNB,HB,8,2,,1,1,100.0,-2,0,0.0,0,0.0,-4,-2.0,-2.00,-2.0,-0.3,79.2,,0,0,,BoonJ.20
,League Average,,,,,,,,,47.3,,,4.4,,7.2,,6.5,4.18,13.8,50.2,53.6,,,,,-9999
