Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
30,Mike Boryla,24,PHI,QB,7,5,2-3-0,87,166,52.4,996,6,3.6,12,7.2,46,6.0,3.47,11.4,142.3,52.7,12,69,6.74,5.21,2.85,0,0,PB,BoryMi00
31,Bob Avellini,22,CHI,QB,8,4,2-2-0,67,126,53.2,942,6,4.8,11,8.7,57,7.5,4.50,14.1,117.8,57.0,13,144,9.35,5.74,3.04,1,1,,AvelBo00
32,Bill Munson,34,DET,QB,5,3,1-2-0,65,109,59.6,626,5,4.6,2,1.8,32,5.7,5.83,9.6,125.2,83.4,8,65,6.84,4.79,4.88,0,0,,MunsBi00
33,Jim Plunkett,28,NWE,QB,5,5,2-3-0,36,92,39.1,571,3,3.3,7,7.6,76,6.2,3.43,15.9,114.2,39.7,13,89,12.38,4.59,2.16,0,0,,PlunJi00
34,Randy Johnson,31,WAS,QB,8,2,0-2-0,41,79,51.9,556,4,5.1,10,12.7,36,7.0,2.35,13.6,69.5,52.0,2,19,2.47,6.63,2.06,1,1,,JohnRa00
35,Jesse Freitas,24,SDG,QB,8,4,0-4-0,49,110,44.5,525,5,4.5,5,4.5,42,4.8,3.64,10.7,65.6,55.3,20,138,15.38,2.98,2.02,0,0,,FreiJe00
36,Joe Gilliam,25,PIT,QB,4,0,,24,48,50.0,450,3,6.3,3,6.3,53,9.4,7.81,18.8,112.5,77.6,0,0,0.00,9.38,7.81,0,1,,GillJo00
37,Tony Adams,25,KAN,QB,6,2,0-2-0,36,77,46.8,445,2,2.6,4,5.2,32,5.8,3.96,12.4,74.2,52.1,11,85,12.50,4.09,2.50,0,0,,AdamTo00
38,Brian Sipe,26,CLE,QB,7,2,0-2-0,45,88,51.1,427,1,1.1,3,3.4,22,4.9,3.55,9.5,61.0,54.5,8,58,8.33,3.84,2.65,0,0,,SipeBr00
39,Greg Landry,29,DET,QB,6,3,2-1-0,31,56,55.4,403,1,1.8,0,0.0,36,7.2,7.55,13.0,67.2,84.2,17,129,23.29,3.75,4.03,1,1,,LandGr00
40,Pat Sullivan,25,ATL,QB,6,1,0-1-0,28,70,40.0,380,3,4.3,5,7.1,49,5.4,3.07,13.6,63.3,42.6,8,52,10.26,4.21,2.09,0,0,,SullPa00
41,Tom Owen,23,SFO,QB,4,1,0-1-0,24,51,47.1,318,1,2.0,2,3.9,24,6.2,4.86,13.3,79.5,57.5,6,57,10.53,4.58,3.35,0,0,,OwenTo00
42,Ron Jaworski,24,RAM,QB,14,1,1-0-0,24,48,50.0,302,0,0.0,2,4.2,25,6.3,4.42,12.6,21.6,52.6,9,75,15.79,3.98,2.40,0,1,,JawoRo00
43,John Reaves,25,CIN,QB,7,1,1-0-0,25,51,49.0,297,2,3.9,3,5.9,51,5.8,3.96,11.9,42.4,55.8,2,9,3.77,5.43,3.64,0,0,,ReavJo00
44,John Hufnagel,24,DEN,QB,5,1,0-1-0,16,51,31.4,287,1,2.0,8,15.7,80,5.6,-1.04,17.9,57.4,18.6,13,84,20.31,3.17,-2.14,0,1,,HufnJo00
45,Earl Morrall,41,MIA,QB,13,1,1-0-0,26,43,60.5,273,3,7.0,2,4.7,31,6.3,5.65,10.5,21.0,82.8,4,27,8.51,5.23,4.60,1,1,,MorrEa00
46,Kim McQuilken,24,ATL,QB,3,2,0-2-0,20,61,32.8,253,1,1.6,9,14.8,31,4.1,-2.16,12.7,84.3,12.6,5,45,7.58,3.15,-2.68,0,0,,McQuKi00
47,David Humm,23,OAK,QB,7,0,,18,38,47.4,246,3,7.9,2,5.3,43,6.5,5.68,13.7,35.1,72.9,2,9,5.00,5.93,5.18,0,0,,HummDa00
48,Gary Marangi,23,BUF,QB,5,0,,13,33,39.4,235,3,9.1,2,6.1,64,7.1,6.21,18.1,47.0,69.6,2,15,5.71,6.29,5.43,0,0,,MaraGa00
49,Don Strock,25,MIA,QB,6,3,2-1-0,26,45,57.8,230,2,4.4,2,4.4,25,5.1,4.00,8.8,38.3,67.8,3,29,6.25,4.19,3.15,0,0,,StroDo00
