Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Tobin Rote,28,GNB,QB,12,11,4-7-0,146,308,47.4,2203,18,5.8,15,4.9,69,7.2,6.13,15.1,183.6,70.6,177,2,2,PBAP-2,RoteTo00
2,Bobby Layne,30,DET,QB,12,12,9-3-0,129,244,52.9,1909,9,3.7,17,7.0,70,7.8,5.43,14.8,159.1,62.0,44,0,1,PBAP-1,LaynBo00
3,Ed Brown,28,CHI,QB,12,12,9-2-1,96,168,57.1,1667,11,6.5,12,7.1,70,9.9,8.02,17.4,138.9,83.1,103,1,0,PB,BrowEd01
4,Y.A. Tittle,30,SFO,QB,11,8,4-3-1,124,218,56.9,1641,7,3.2,12,5.5,77,7.5,5.69,13.2,149.2,68.6,249,4,2,,TittY.00
5,Ted Marchibroda,25,PIT,QB,12,11,4-7-0,124,275,45.1,1585,12,4.4,19,6.9,75,5.8,3.53,12.8,132.1,49.4,91,0,0,,MarcTe20
6,Johnny Unitas,23,BAL,QB,12,7,3-4-0,110,198,55.6,1498,9,4.5,10,5.1,54,7.6,6.20,13.6,124.8,74.0,202,1,3,,UnitJo00
7,Billy Wade,26,RAM,QB,12,8,2-6-0,91,178,51.1,1461,10,5.6,13,7.3,76,8.2,6.04,16.1,121.8,67.2,127,0,0,,WadeBi00
8,Lamar McHan,24,CRD,QB,12,10,6-4-0,72,152,47.4,1159,10,6.6,8,5.3,75,7.6,6.57,16.1,96.6,73.3,79,2,2,,McHaLa00
9,Charlie Conerly,35,NYG,QB,12,0,,90,174,51.7,1143,10,5.7,7,4.0,48,6.6,5.91,12.7,95.3,75.0,22,0,0,PB,ConeCh00
10,Bobby Thomason,28,PHI,QB,12,10,3-6-1,82,164,50.0,1119,4,2.4,21,12.8,52,6.8,1.55,13.6,93.3,40.7,175,1,1,PB,ThomBo02
