Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
11,Norm Van Brocklin,30,RAM,QB,12,4,2-2-0,68,124,54.8,966,7,5.6,12,9.7,58,7.8,4.56,14.2,80.5,59.5,15,0,0,,VanBNo00
12,Al Dorow,27,WAS,QB,12,7,3-4-0,55,112,49.1,730,8,7.1,8,7.1,51,6.5,4.73,13.3,60.8,64.2,80,1,1,PB,DoroAl00
13,George Shaw,23,BAL,QB,5,5,2-3-0,45,75,60.0,645,3,4.0,7,9.3,49,8.6,5.20,14.3,129.0,62.4,87,0,0,,ShawGe00
14,Earl Morrall,22,SFO,QB,12,4,1-3-0,38,78,48.7,621,1,1.3,6,7.7,37,8.0,4.76,16.3,51.8,48.1,36,0,0,,MorrEa00
15,Eddie LeBaron,26,WAS,QB,10,5,3-2-0,47,98,48.0,554,3,3.1,10,10.2,33,5.7,1.67,11.8,55.4,36.2,37,1,1,,LeBaEd00
16,Tommy O'Connell,26,CLE,QB,7,5,3-2-0,42,96,43.8,551,4,4.2,8,8.3,46,5.7,2.82,13.1,78.7,41.6,41,0,1,,OConTo00
17,George Blanda,29,CHI,QB,12,0,,37,69,53.6,439,7,10.1,4,5.8,69,6.4,5.78,11.9,36.6,82.9,21,0,0,,BlanGe00
18,Adrian Burk,29,PHI,QB,12,2,0-2-0,39,82,47.6,426,1,1.2,6,7.3,40,5.2,2.15,10.9,35.5,36.9,139,0,0,,BurkAd00
19,Babe Parilli,26,CLE,QB,5,3,1-2-0,24,49,49.0,409,3,6.1,7,14.3,68,8.3,3.14,17.0,81.8,58.5,63,0,0,,PariBa00
20,George Ratterman,30,CLE,QB,4,4,1-3-0,39,57,68.4,398,1,1.8,3,5.3,46,7.0,4.96,10.2,99.5,72.1,79,1,1,,RattGe00
21,Don Heinrich,26,NYG,QB,12,12,8-3-1,37,88,42.0,369,5,5.7,5,5.7,43,4.2,2.77,10.0,30.8,49.9,20,0,0,,HeinDo00
22,Jim Root,25,CRD,QB,9,2,1-1-0,28,57,49.1,333,3,5.3,5,8.8,34,5.8,2.95,11.9,37.0,48.4,38,0,0,,RootJi20
23,Bart Starr,22,GNB,QB,9,1,0-1-0,24,44,54.5,325,2,4.5,3,6.8,39,7.4,5.23,13.5,36.1,65.1,16,0,0,,StarBa00
24,Harry Gilmer,30,DET,QB,11,0,,27,46,58.7,303,4,8.7,3,6.5,41,6.6,5.39,11.2,27.5,80.3,11,0,0,,GilmHa00
25,Jack Scarbath,26,PIT,QB,7,1,1-0-0,12,41,29.3,208,2,4.9,5,12.2,47,5.1,0.56,17.3,29.7,24.9,51,0,0,,ScarJa20
26,Rudy Bukich,26,RAM,QB,3,0,,10,23,43.5,130,1,4.3,3,13.0,34,5.7,0.65,13.0,43.3,36.8,40,0,0,,BukiRu00
27,Bill McColl,26,CHI,RE/FL,12,9,,1,4,25.0,79,1,25.0,2,50.0,79,19.8,2.25,79.0,6.6,79.2,,0,0,,McCoBi20
28,Jack Losch,22,GNB,HB,12,5,,1,1,100.0,63,1,100.0,0,0.0,63,63.0,83.00,63.0,5.3,158.3,,0,0,,LoscJa20
29,Gary Kerkorian,26,BAL,QB,3,0,,2,2,100.0,59,1,50.0,0,0.0,40,29.5,39.50,29.5,19.7,158.3,,0,0,,KerkGa20
30,Bob Clatterbuck,24,NYG,QB,2,0,,4,7,57.1,54,0,0.0,1,14.3,21,7.7,1.29,13.5,27.0,42.3,16,0,0,,ClatBo00
31,Ron Waller,23,RAM,LH,9,5,,1,3,33.3,44,0,0.0,0,0.0,44,14.7,14.67,44.0,4.9,81.9,,0,0,,WallRo00
32,Frank Gifford,26,NYG,LH,12,12,,2,5,40.0,35,2,40.0,1,20.0,29,7.0,6.00,17.5,2.9,64.6,,0,0,PBAP-1,GiffFr00
33,Tommy Runnels,22,WAS,LH,11,8,,1,3,33.3,34,0,0.0,0,0.0,34,11.3,11.33,34.0,3.1,77.1,,0,0,,RunnTo20
34,Jug Girard,29,DET,HB,10,2,,1,1,100.0,19,0,0.0,0,0.0,19,19.0,19.00,19.0,1.9,118.7,,0,0,,GiraJu20
35,Jerry Reichow,22,DET,QB,8,0,,3,6,50.0,19,0,0.0,1,16.7,14,3.2,-4.33,6.3,2.4,17.4,,0,0,,ReicJe00
36,Fred Wyant,22,WAS,QB,10,0,,1,2,50.0,17,0,0.0,0,0.0,17,8.5,8.50,17.0,1.7,79.2,,0,0,,WyanFr20
37,Don Schaefer,22,PHI,FB,12,8,,1,3,33.3,11,1,33.3,0,0.0,11,3.7,10.33,11.0,0.9,84.7,,0,0,,SchaDo20
38,Jim Haluska,24,CHI,QB,5,0,,1,4,25.0,8,0,0.0,0,0.0,8,2.0,2.00,8.0,1.6,39.6,,0,0,,HaluJi20
39,Lenny Moore,23,BAL,RH,12,12,,1,4,25.0,8,1,25.0,1,25.0,8,2.0,-4.25,8.0,0.7,39.6,,0,0,PB,MoorLe00
40,Lou Baldacci,22,PIT,HB,10,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,BaldLo00
41,Rick Casares,25,CHI,FB,12,12,,0,3,0.0,0,0,0.0,1,33.3,,0.0,-15.00,,0.0,0.0,,0,0,PBAP-1,CasaRi00
42,Howard Cassady,22,DET,LH,12,4,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,,0,0,,CassHo00
43,Lynn Chandnois,31,PIT,HB,5,3,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,ChanLy00
44,Harlon Hill,24,CHI,LE,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-1,HillHa00
45,Perry Jeter,25,CHI,HB,7,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,JetePe20
46,Dave Mann,24,CRD,RH,12,9,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,,0,0,,MannDa20
47,Ollie Matson,26,CRD,LH,12,12,,0,3,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,6,0,0,PBAP-1,MatsOl00
48,Hugh McElhenny,28,SFO,LH,12,11,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,PBAP-2,McElHu00
49,Don McIlhenny,22,DET,RH,9,5,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,McIlDo00
50,Kyle Rote,28,NYG,LE,12,7,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-2,RoteKy00
51,Bill Stits,25,DET,HB,12,2,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,StitBi00
52,Tommy Wilson,24,RAM,LH,12,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,WilsTo00
,League Average,,,,,,,,,50.5,,,4.9,,7.3,,7.1,4.78,14.0,44.9,59.6,,,,,-9999
