Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Joe Ferguson,27,BUF,QB,14,14,3-11-0,221,457,48.4,2803,12,2.6,24,5.3,42,6.1,4.30,12.7,200.2,54.8,36,273,7.30,5.13,3.43,1,1,,FergJo00
2,Bert Jones,26,BAL,QB,14,14,10-4-0,224,393,57.0,2686,17,4.3,11,2.8,78,6.8,6.44,12.0,191.9,80.8,26,221,6.21,5.88,5.51,1,2,AP-2,JoneBe00
3,Roger Staubach,35,DAL,QB,14,14,12-2-0,210,361,58.2,2620,18,5.0,9,2.5,67,7.3,7.13,12.5,187.1,87.0,30,219,7.67,6.14,6.03,2,3,PB,StauRo00
4,Jim Hart,33,STL,QB,14,14,7-7-0,186,355,52.4,2542,13,3.7,20,5.6,69,7.2,5.36,13.7,181.6,64.3,13,89,3.53,6.67,4.93,2,2,PB,HartJi00
5,Terry Bradshaw,29,PIT,QB,14,14,9-5-0,162,314,51.6,2523,17,5.4,19,6.1,65,8.0,6.39,15.6,180.2,71.4,26,235,7.65,6.73,5.21,0,1,,BradTe00
6,Bob Griese,32,MIA,QB,14,14,10-4-0,180,307,58.6,2252,22,7.2,13,4.2,73,7.3,6.86,12.5,160.9,87.8,36,303,10.50,5.68,5.26,0,0,PBAP-1AP MVP-2AP OPoY-2,GrieBo00
7,Ron Jaworski,26,PHI,QB,14,14,5-9-0,166,346,48.0,2183,18,5.2,21,6.1,55,6.3,4.62,13.2,155.9,60.4,47,342,11.96,4.68,3.20,1,1,,JawoRo00
8,Ken Stabler,32,OAK,QB,13,13,10-3-0,169,294,57.5,2176,20,6.8,20,6.8,44,7.4,5.70,12.9,167.4,75.2,16,141,5.16,6.56,4.95,1,1,PB,StabKe00
9,Steve Grogan,24,NWE,QB,14,14,9-5-0,160,305,52.5,2162,17,5.6,21,6.9,68,7.1,5.10,13.5,154.4,65.2,14,155,4.39,6.29,4.39,2,2,,GrogSt00
10,Ken Anderson,28,CIN,QB,14,13,7-6-0,166,323,51.4,2145,11,3.4,11,3.4,94,6.6,5.79,12.9,153.2,69.7,28,197,7.98,5.55,4.77,1,2,,AndeKe00
11,Bob Avellini,24,CHI,QB,14,14,9-5-0,154,293,52.6,2004,11,3.8,18,6.1,75,6.8,4.83,13.0,143.1,61.3,23,200,7.28,5.71,3.84,3,4,,AvelBo00
12,Dan Pastorini,28,HOU,QB,14,12,8-4-0,169,319,53.0,1987,13,4.1,18,5.6,85,6.2,4.50,11.8,141.9,62.3,20,198,5.90,5.28,3.65,0,0,,PastDa00
13,Craig Morton,34,DEN,QB,14,14,12-2-0,131,254,51.6,1929,14,5.5,8,3.1,81,7.6,7.28,14.7,137.8,82.0,43,338,14.48,5.36,5.09,2,3,AP MVP-2,MortCr00
14,Richard Todd,24,NYJ,QB,12,11,3-8-0,133,265,50.2,1863,11,4.2,17,6.4,87,7.0,4.97,14.0,155.3,60.3,24,203,8.30,5.74,3.86,1,3,,ToddRi00
15,Mike Livingston,32,KAN,QB,13,11,1-10-0,143,282,50.7,1823,9,3.2,15,5.3,49,6.5,4.71,12.7,140.2,59.8,30,285,9.62,4.93,3.34,0,0,,LiviMi00
16,Fran Tarkenton,37,MIN,QB,9,9,6-3-0,155,258,60.1,1734,9,3.5,14,5.4,59,6.7,4.98,11.2,192.7,69.2,22,232,7.86,5.36,3.76,1,2,,TarkFr00
17,Jim Plunkett,30,SFO,QB,14,14,5-9-0,128,248,51.6,1693,9,3.6,14,5.6,47,6.8,5.01,13.2,120.9,62.1,30,242,10.79,5.22,3.60,0,2,,PlunJi00
18,Jim Zorn,24,SEA,QB,10,10,4-6-0,104,251,41.4,1687,16,6.4,19,7.6,82,6.7,4.59,16.2,168.7,54.3,11,43,4.20,6.27,4.23,1,1,,ZornJi00
19,Pat Haden,24,RAM,QB,12,10,8-2-0,122,216,56.5,1551,11,5.1,6,2.8,58,7.2,6.95,12.7,129.3,84.5,17,151,7.30,6.01,5.79,1,1,PB,HadePa00
20,Greg Landry,31,DET,QB,11,11,4-7-0,135,240,56.3,1359,6,2.5,7,2.9,39,5.7,4.85,10.1,123.5,68.7,34,302,12.41,3.86,3.15,1,1,,LandGr00
21,Lynn Dickey,28,GNB,QB,9,9,2-7-0,113,220,51.4,1346,5,2.3,14,6.4,95,6.1,3.71,11.9,149.6,51.4,21,187,8.71,4.81,2.61,0,0,,DickLy00
22,Joe Pisarcik,25,NYG,QB,13,11,4-7-0,103,241,42.7,1346,4,1.7,14,5.8,82,5.6,3.30,13.1,103.5,42.3,32,262,11.72,3.97,1.96,0,0,,PisaJo00
23,Archie Manning,28,NOR,QB,10,9,1-8-0,113,205,55.1,1284,8,3.9,9,4.4,59,6.3,5.07,11.4,128.4,68.8,36,288,14.94,4.13,3.12,1,1,,MannAr00
24,James Harris,30,SDG,QB,9,9,4-5-0,109,211,51.7,1240,5,2.4,11,5.2,78,5.9,4.00,11.4,137.8,55.8,12,106,5.38,5.09,3.31,1,1,,HarrJa01
25,Brian Sipe,28,CLE,QB,9,9,5-4-0,112,195,57.4,1233,9,4.6,14,7.2,52,6.3,4.02,11.0,137.0,61.8,16,114,7.58,5.30,3.17,2,2,,SipeBr00
