Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,John Brodie,30,SFO,QB,13,13,7-5-1,242,391,61.9,3112,30,7.7,16,4.1,59,8.0,7.65,12.9,239.4,95.3,14,101,3.46,7.43,7.14,3,2,PBAP-2AP CPoY-1,BrodJo00
2,Rudy Bukich,35,CHI,QB,14,12,9-3-0,176,312,56.4,2641,20,6.4,9,2.9,80,8.5,8.45,15.0,188.6,93.7,25,214,7.42,7.20,7.19,1,0,AP CPoY-3,BukiRu00
3,Fran Tarkenton,25,MIN,QB,14,14,7-7-0,171,329,52.0,2609,19,5.8,11,3.3,72,7.9,7.58,15.3,186.4,83.8,28,250,7.84,6.61,6.29,2,2,PB,TarkFr00
4,Johnny Unitas,32,BAL,QB,11,11,8-2-1,164,282,58.2,2530,23,8.2,12,4.3,61,9.0,8.69,15.4,230.0,97.4,29,221,9.32,7.42,7.17,3,2,AP-1AP MVP-2,UnitJo00
5,Earl Morrall,31,NYG,QB,14,14,7-7-0,155,302,51.3,2446,22,7.3,12,4.0,89,8.1,7.77,15.8,174.7,86.3,27,214,8.21,6.78,6.48,2,2,,MorrEa00
6,Charley Johnson,27,STL,QB,11,11,5-6-0,155,322,48.1,2439,18,5.6,15,4.7,78,7.6,6.60,15.7,221.7,73.0,20,184,5.85,6.59,5.67,1,1,,JohnCh02
7,Don Meredith,27,DAL,QB,14,11,7-4-0,141,305,46.2,2415,22,7.2,13,4.3,65,7.9,7.44,17.1,172.5,79.9,38,257,11.08,6.29,5.87,2,3,,MereDo00
8,Sonny Jurgensen,31,WAS,QB,13,13,6-7-0,190,356,53.4,2367,15,4.2,16,4.5,55,6.6,5.47,12.5,182.1,69.6,29,245,7.53,5.51,4.42,1,1,,JurgSo00
9,Norm Snead,26,PHI,QB,11,10,4-6-0,150,288,52.1,2346,15,5.2,13,4.5,78,8.1,7.16,15.6,213.3,78.0,26,191,8.28,6.86,5.96,1,3,PB,SneaNo00
10,Bart Starr,31,GNB,QB,14,14,10-3-1,140,251,55.8,2055,16,6.4,9,3.6,77,8.2,7.85,14.7,146.8,89.0,34,303,11.93,6.15,5.85,2,1,,StarBa00
11,Bill Nelsen,24,PIT,QB,12,12,2-10-0,121,270,44.8,1917,8,3.0,17,6.3,87,7.1,4.86,15.8,159.8,52.7,42,333,13.46,5.08,3.14,0,0,,NelsBi00
12,Frank Ryan,29,CLE,QB,12,12,10-2-0,119,243,49.0,1751,18,7.4,13,5.3,80,7.2,6.28,14.7,145.9,75.3,23,202,8.65,5.82,4.98,3,3,PB,RyanFr00
13,Milt Plum,30,DET,QB,14,11,4-6-1,143,308,46.4,1710,12,3.9,19,6.2,55,5.6,3.56,12.0,122.1,51.2,22,213,6.67,4.54,2.67,1,2,,PlumMi00
14,Bill Munson,24,RAM,QB,10,10,1-9-0,144,267,53.9,1701,10,3.7,14,5.2,47,6.4,4.76,11.8,170.1,64.2,30,244,10.10,4.91,3.46,1,1,,MunsBi00
15,Roman Gabriel,25,RAM,QB,7,4,3-1-0,83,173,48.0,1321,11,6.4,5,2.9,60,7.6,7.61,15.9,188.7,83.0,14,97,7.49,6.55,6.52,0,0,,GabrRo00
16,King Hill,29,PHI,QB,7,4,1-3-0,60,113,53.1,857,5,4.4,10,8.8,50,7.6,4.49,14.3,122.4,55.8,4,21,3.42,7.15,4.15,0,0,,HillKi00
17,Buddy Humphrey,30,STL,QB,7,3,0-3-0,58,105,55.2,736,1,1.0,9,8.6,53,7.0,3.34,12.7,105.1,44.8,8,72,7.08,5.88,2.47,0,0,,HumpBu00
18,Gary Cuozzo,24,BAL,QB,7,2,1-1-0,54,105,51.4,700,7,6.7,4,3.8,44,6.7,6.29,13.0,100.0,79.1,10,73,8.70,5.45,5.10,0,0,,CuozGa00
19,Jim Ninowski,29,CLE,QB,6,2,1-1-0,40,83,48.2,549,4,4.8,3,3.6,32,6.6,5.95,13.7,91.5,70.8,8,70,8.79,5.26,4.66,1,1,,NinoJi00
20,Dick Shiner,23,WAS,QB,14,1,0-1-0,28,65,43.1,470,3,4.6,4,6.2,80,7.2,5.38,16.8,33.6,57.9,10,92,13.33,5.04,3.44,0,0,,ShinDi00
