Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Johnny Unitas,27,BAL,QB,12,12,6-6-0,190,378,50.3,3099,25,6.6,24,6.3,80,8.2,6.66,16.3,258.3,73.7,18,190,4.55,7.35,5.88,1,2,PB,UnitJo00
2,Norm Van Brocklin,34,PHI,QB,12,12,10-2-0,153,284,53.9,2471,24,8.5,17,6.0,64,8.7,7.70,16.2,205.9,86.5,10,96,3.40,8.08,7.11,5,4,PBAP-1,VanBNo00
3,Milt Plum,25,CLE,QB,12,12,8-3-1,151,250,60.4,2297,21,8.4,5,2.0,86,9.2,9.97,15.2,191.4,110.4,6,275,2.34,7.90,8.66,0,0,PBAP-2,PlumMi00
4,Bobby Layne,34,PIT,QB,12,9,5-4-0,103,209,49.3,1814,13,6.2,17,8.1,70,8.7,6.26,17.6,151.2,66.2,1,52,0.48,8.39,5.99,1,2,,LaynBo00
5,Eddie LeBaron,30,DAL,QB,11,10,0-9-1,111,225,49.3,1736,12,5.3,25,11.1,76,7.7,3.78,15.6,157.8,53.5,24,205,9.64,6.15,2.59,1,0,,LeBaEd00
6,Jim Ninowski,24,DET,QB,11,10,5-5-0,134,283,47.3,1599,2,0.7,18,6.4,55,5.7,2.93,11.9,145.4,40.9,25,283,8.12,4.27,1.77,0,1,,NinoJi00
7,Ralph Guglielmi,27,WAS,QB,11,11,1-8-2,125,223,56.1,1547,9,4.0,19,8.5,50,6.9,3.91,12.4,140.6,55.7,12,320,5.11,5.22,2.35,2,0,,GuglRa00
8,John Roach,27,STL,QB,12,10,4-5-1,87,188,46.3,1423,17,9.0,19,10.1,57,7.6,4.83,16.4,118.6,62.7,10,159,5.05,6.38,3.78,2,1,,RoacJo00
9,Bart Starr,26,GNB,QB,12,8,4-4-0,98,172,57.0,1358,4,2.3,8,4.7,91,7.9,6.27,13.9,113.2,70.8,7,78,3.91,7.15,5.59,1,1,PB,StarBa00
10,Billy Wade,30,RAM,QB,11,6,1-5-0,106,182,58.2,1294,12,6.6,11,6.0,63,7.1,5.71,12.2,117.6,77.0,25,257,12.08,5.01,3.78,1,1,,WadeBi00
11,George Shaw,27,NYG,QB,9,5,1-3-1,76,155,49.0,1263,11,7.1,13,8.4,,8.1,5.79,16.6,140.3,65.6,3,38,1.90,7.75,5.44,1,1,,ShawGe00
12,John Brodie,25,SFO,QB,11,8,4-4-0,103,207,49.8,1111,6,2.9,9,4.3,65,5.4,3.99,10.8,101.0,57.5,13,189,5.91,4.19,2.90,2,2,,BrodJo00
13,Ed Brown,32,CHI,QB,12,11,4-6-1,59,149,39.6,1079,7,4.7,11,7.4,91,7.2,4.86,18.3,89.9,50.2,15,185,9.15,5.45,3.29,0,0,,BrowEd01
14,Zeke Bratkowski,29,CHI,QB,11,1,1-0-0,87,175,49.7,1051,6,3.4,21,12.0,59,6.0,1.29,12.1,95.5,40.4,10,105,5.41,5.11,0.65,2,1,,BratZe00
15,Charlie Conerly,39,NYG,QB,12,7,5-1-1,66,134,49.3,954,8,6.0,7,5.2,70,7.1,5.96,14.5,79.5,70.9,5,40,3.60,6.58,5.46,2,2,,ConeCh00
16,Frank Ryan,24,RAM,QB,11,5,3-1-1,62,128,48.4,816,7,5.5,9,7.0,61,6.4,4.30,13.2,74.2,57.9,6,73,4.48,5.54,3.57,0,0,,RyanFr00
17,Y.A. Tittle,34,SFO,QB,9,4,3-1-0,69,127,54.3,694,4,3.1,3,2.4,45,5.5,5.03,10.1,77.1,70.8,13,98,9.29,4.26,3.86,1,1,,TittY.00
18,Lamar McHan,28,GNB,QB,12,4,4-0-0,33,91,36.3,517,3,3.3,5,5.5,47,5.7,3.87,15.7,43.1,44.1,5,33,5.21,5.04,3.32,0,0,,McHaLa00
19,Sonny Jurgensen,26,PHI,QB,12,0,,24,44,54.5,486,5,11.4,1,2.3,71,11.0,12.30,20.3,40.5,122.0,5,45,10.20,9.00,10.12,0,0,,JurgSo00
20,Earl Morrall,26,DET,QB,12,2,2-0-0,32,49,65.3,423,4,8.2,3,6.1,65,8.6,7.51,13.2,35.3,94.2,8,55,14.04,6.46,5.49,1,1,,MorrEa00
21,Don Heinrich,30,DAL,QB,12,1,0-1-0,23,61,37.7,371,3,4.9,3,4.9,64,6.1,4.85,16.1,30.9,54.7,4,40,6.15,5.09,3.94,0,0,,HeinDo00
22,Rudy Bukich,30,PIT,QB,12,3,0-2-1,25,51,49.0,358,2,3.9,3,5.9,51,7.0,5.16,14.3,29.8,60.7,1,27,1.92,6.37,4.54,1,0,,BukiRu00
23,Tom Tracy,26,PIT,HB,12,12,,9,22,40.9,322,4,18.2,1,4.5,70,14.6,16.23,35.8,26.8,108.9,1,10,4.35,13.57,15.09,0,0,PBAP-2,TracTo00
24,Don Meredith,22,DAL,QB,6,1,0-1-0,29,68,42.6,281,2,2.9,5,7.4,23,4.1,1.41,9.7,46.8,34.0,4,39,5.56,3.36,0.79,0,0,,MereDo00
25,John David Crow,25,STL,LHB,12,12,,9,18,50.0,247,2,11.1,1,5.6,52,13.7,13.44,27.4,20.6,109.7,1,15,5.26,12.21,11.95,0,0,PBAP-2,CrowJo00
26,King Hill,24,STL,QB,12,1,1-0-0,20,55,36.4,205,1,1.8,5,9.1,25,3.7,0.00,10.3,17.1,16.1,1,5,1.79,3.57,-0.09,0,0,,HillKi00
27,M.C. Reynolds,25,WAS,QB,8,0,,13,30,43.3,154,0,0.0,3,10.0,31,5.1,0.63,11.8,19.3,20.0,0,17,0.00,4.57,0.07,0,0,,ReynM.00
28,Lee Grosscup,24,NYG,QB,4,0,,11,25,44.0,144,1,4.0,1,4.0,26,5.8,4.76,13.1,36.0,59.4,6,53,19.35,2.94,2.13,0,0,,GrosLe00
29,Paul Hornung,25,GNB,HB,12,12,,6,16,37.5,118,2,12.5,0,0.0,40,7.4,9.88,19.7,9.8,103.6,1,7,5.88,6.53,8.88,0,0,PBAP-1,HornPa00
30,Eagle Day,28,WAS,QB,12,1,0-1-0,9,19,47.4,115,0,0.0,1,5.3,27,6.1,3.68,12.8,9.6,44.8,0,48,0.00,3.53,1.16,0,0,,DayxEa00
31,George Izo,23,STL,QB,2,1,1-0-0,10,24,41.7,115,0,0.0,0,0.0,24,4.8,4.79,11.5,57.5,56.8,,,,,,0,0,,IzoxGe00
32,Buddy Humphrey,25,RAM,QB,4,1,0-1-0,9,24,37.5,78,0,0.0,2,8.3,16,3.3,-0.50,8.7,19.5,12.2,3,26,11.11,1.93,-1.41,0,0,,HumpBu00
33,Ray Brown,24,BAL,QB,12,0,,6,13,46.2,65,1,7.7,0,0.0,21,5.0,6.54,10.8,5.4,87.0,2,18,13.33,3.13,4.47,0,0,,BrowRa21
34,Bob Waters,22,SFO,QB,8,0,,2,2,100.0,61,1,50.0,0,0.0,41,30.5,40.50,30.5,7.6,158.3,,,,,,1,1,,WateBo00
35,Frank Gifford,30,NYG,LHB,8,8,,3,6,50.0,24,0,0.0,1,16.7,13,4.0,-3.50,8.0,3.0,20.8,,,,,,0,0,,GiffFr00
36,Len Dawson,25,CLE,QB,2,0,,8,13,61.5,23,0,0.0,0,0.0,23,1.8,1.77,2.9,11.5,65.9,1,24,7.14,-0.07,-0.07,0,0,,DawsLe00
37,Bobby Mitchell,25,CLE,HB,12,11,,1,1,100.0,23,1,100.0,0,0.0,23,23.0,43.00,23.0,1.9,158.3,,,,,,0,0,PB,MitcBo00
38,John Henry Johnson,31,PIT,FB,12,10,,1,1,100.0,15,1,100.0,0,0.0,15,15.0,35.00,15.0,1.3,158.3,,,,,,0,0,,JohnJo02
39,Preston Carpenter,26,PIT,RE,12,11,,1,2,50.0,2,0,0.0,0,0.0,2,1.0,1.00,2.0,0.2,56.2,,,,,,0,0,,CarpPr00
40,John Adams,23,CHI,FB,12,1,,0,0,,0,0,,0,,,,,,0.0,,1,14,100.00,-14.00,-14.00,0,0,,AdamJo00
41,Jon Arnett,25,RAM,LHB,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,10,50.00,-5.00,-5.00,0,0,PB,ArneJo00
42,Billy Ray Barnes,25,PHI,LHB,12,12,,0,3,0.0,0,0,0.0,2,66.7,,0.0,-30.00,,0.0,0.0,,,,,,0,0,,BarnBi00
43,Terry Barr,25,DET,LHB,12,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,6,50.00,-3.00,-3.00,0,0,,BarrTe00
44,Dick James,26,WAS,LHB,12,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,,,,,0,0,,JameDi00
45,Lenny Moore,27,BAL,RHB,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,,,,,0,0,PBAP-1,MoorLe00
46,Joe Morrison,23,NYG,RHB,12,10,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,,,,,0,0,,MorrJo01
47,Pat Summerall,30,NYG,K,12,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,,,,,0,0,,SummPa20
48,Ed Vereb,26,WAS,HB,9,3,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,,,,,0,0,,VereEd00
,League Average,,,,,,,,,50.2,,,5.4,,6.7,,7.2,5.31,14.4,58.8,64.2,,,5.77,6.10,4.30,,,,-9999
