Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Dan Marino,23,MIA,QB,16,16,14-2-0,362,564,64.2,5084,48,8.5,17,3.0,239,54.9,80,9.0,9.36,14.0,317.8,108.9,13,120,2.25,8.60,8.94,2,3,PBAP-1AP MVP-1AP OPoY-1,MariDa00
2,Neil Lomax,25,STL,QB,16,16,9-7-0,345,560,61.6,4614,28,5.0,16,2.9,200,47.3,83,8.2,7.95,13.4,288.4,92.5,49,377,8.05,6.96,6.69,3,4,PB,LomaNe00
3,Phil Simms,29,NYG,QB,16,16,9-7-0,286,533,53.7,4044,22,4.1,18,3.4,197,42.3,65,7.6,6.89,14.1,252.8,78.1,55,434,9.35,6.14,5.51,1,1,,SimmPh00
4,Dan Fouts,33,SDG,QB,13,13,6-7-0,317,507,62.5,3740,19,3.7,17,3.4,189,51.1,61,7.4,6.62,11.8,287.7,83.4,29,228,5.41,6.55,5.83,1,1,,FoutDa00
5,Dave Krieg,26,SEA,QB,16,16,12-4-0,276,480,57.5,3671,32,6.7,24,5.0,168,43.3,80,7.6,6.73,13.3,229.4,83.3,40,314,7.69,6.46,5.61,1,2,PB,KrieDa00
6,Joe Montana,28,SFO,QB,16,15,14-1-0,279,432,64.6,3630,28,6.5,10,2.3,184,50.2,80,8.4,8.66,13.0,226.9,102.9,22,138,4.85,7.69,7.93,2,2,PBAP-2,MontJo01
7,Steve DeBerg,30,TAM,QB,16,13,5-8-0,308,509,60.5,3554,19,3.7,18,3.5,194,47.8,55,7.0,6.14,11.5,222.1,79.3,35,308,6.43,5.97,5.18,2,3,,DebeSt00
8,Paul McDonald,26,CLE,QB,16,16,5-11-0,271,493,55.0,3472,14,2.8,23,4.7,176,40.8,64,7.0,5.51,12.8,217.0,67.3,53,345,9.71,5.73,4.34,1,3,,McDoPa00
9,Joe Theismann,35,WAS,QB,16,16,11-5-0,283,477,59.3,3391,24,5.0,13,2.7,163,47.4,80,7.1,6.89,12.0,211.9,86.6,48,341,9.14,5.81,5.61,3,3,,TheiJo00
10,Warren Moon,28,HOU,QB,16,16,3-13-0,259,450,57.6,3338,12,2.7,14,3.1,153,45.3,76,7.4,6.55,12.9,208.6,76.9,47,371,9.46,5.97,5.19,1,2,,MoonWa00
