Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Johnny Unitas,24,BAL,QB,12,12,7-5-0,172,301,57.1,2550,24,8.0,17,5.6,82,8.5,7.52,14.8,212.5,88.0,212,3,3,PBAP-2AP MVP-3,UnitJo00
2,Y.A. Tittle,31,SFO,QB,12,11,7-4-0,176,279,63.1,2157,13,4.7,15,5.4,46,7.7,6.24,12.3,179.8,80.0,362,5,6,PBAP-1AP MVP-2,TittY.00
3,Norm Van Brocklin,31,RAM,QB,12,12,6-6-0,132,265,49.8,2105,20,7.5,21,7.9,70,7.9,5.89,15.9,175.4,68.8,119,1,1,,VanBNo00
4,Earl Morrall,23,PIT,QB,12,11,6-5-0,139,289,48.1,1900,11,3.8,12,4.2,64,6.6,5.47,13.7,158.3,64.9,274,0,0,PB,MorrEa00
5,Charlie Conerly,36,NYG,QB,12,8,6-2-0,128,232,55.2,1712,11,4.7,11,4.7,70,7.4,6.19,13.4,142.7,74.9,58,0,0,,ConeCh00
6,Lamar McHan,25,CRD,QB,12,12,3-9-0,87,200,43.5,1568,11,5.5,15,7.5,83,7.8,5.57,18.0,130.7,58.1,135,1,1,,McHaLa00
7,Eddie LeBaron,27,WAS,QB,12,12,5-6-1,99,167,59.3,1508,11,6.6,10,6.0,82,9.0,7.65,15.2,125.7,86.1,107,0,1,PB,LeBaEd00
8,Bart Starr,23,GNB,QB,12,11,3-8-0,117,215,54.4,1489,8,3.7,10,4.7,77,6.9,5.58,12.7,124.1,69.3,231,0,0,,StarBa00
9,Ed Brown,29,CHI,QB,12,8,3-5-0,84,185,45.4,1321,6,3.2,16,8.6,74,7.1,3.90,15.7,110.1,44.4,124,0,0,,BrowEd01
10,Tommy O'Connell,27,CLE,QB,11,9,7-1-1,63,110,57.3,1229,9,8.2,8,7.3,65,11.2,9.54,19.5,111.7,93.3,56,1,1,PB,OConTo00
11,Bobby Layne,31,DET,QB,11,7,4-3-0,87,179,48.6,1169,6,3.4,12,6.7,65,6.5,4.18,13.4,106.3,53.0,110,1,1,,LaynBo00
12,Tobin Rote,29,DET,QB,12,5,4-1-0,76,177,42.9,1070,11,6.2,10,5.6,48,6.0,4.75,14.1,89.2,60.2,94,0,0,,RoteTo00
13,Babe Parilli,27,GNB,QB,12,1,0-1-0,39,102,38.2,669,4,3.9,12,11.8,75,6.6,2.05,17.2,55.8,34.8,125,2,2,,PariBa00
14,Bobby Thomason,29,PHI,QB,12,8,1-7-0,46,92,50.0,630,4,4.3,10,10.9,67,6.8,2.83,13.7,52.5,47.2,46,0,0,,ThomBo02
15,Milt Plum,22,CLE,QB,9,3,2-1-0,41,76,53.9,590,2,2.6,5,6.6,58,7.8,5.33,14.4,65.6,60.7,85,1,1,,PlumMi00
16,Zeke Bratkowski,26,CHI,QB,12,4,2-2-0,37,80,46.3,527,1,1.3,9,11.3,44,6.6,1.78,14.2,43.9,32.7,56,0,1,,BratZe00
17,Sonny Jurgensen,23,PHI,QB,10,4,3-1-0,33,70,47.1,470,5,7.1,8,11.4,61,6.7,3.00,14.2,47.0,53.6,88,0,0,,JurgSo00
18,Ted Marchibroda,26,CRD,QB,7,0,,15,45,33.3,238,1,2.2,5,11.1,75,5.3,0.73,15.9,34.0,19.7,26,0,0,,MarcTe20
19,Don Heinrich,27,NYG,QB,4,4,1-3-0,11,26,42.3,224,1,3.8,1,3.8,63,8.6,7.65,20.4,56.0,70.0,,0,0,,HeinDo00
20,Al Dorow,28,PHI,QB,6,0,,17,36,47.2,212,1,2.8,4,11.1,49,5.9,1.44,12.5,35.3,35.6,90,0,0,,DoroAl00
21,John Brodie,22,SFO,QB,5,1,1-0-0,11,21,52.4,160,2,9.5,3,14.3,28,7.6,3.10,14.5,32.0,69.6,,1,1,,BrodJo00
22,Frank Gifford,27,NYG,LH,12,12,,4,6,66.7,143,2,33.3,0,0.0,66,23.8,30.50,35.8,11.9,149.3,,0,0,PBAP-1,GiffFr00
