Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
23,Billy Wade,27,RAM,QB,5,0,,10,24,41.7,116,1,4.2,1,4.2,35,4.8,3.79,11.6,23.2,53.5,136,0,0,,WadeBi00
24,Rudy Bukich,27,WAS,QB,7,0,,6,28,21.4,103,0,0.0,3,10.7,35,3.7,-1.14,17.2,14.7,2.8,13,0,0,,BukiRu00
25,Ed Sutton,22,WAS,LH,12,8,,3,5,60.0,95,0,0.0,0,0.0,51,19.0,19.00,31.7,7.9,104.2,,0,0,,SuttEd00
26,Joe Arenas,32,SFO,HB,12,1,,3,3,100.0,92,2,66.7,0,0.0,33,30.7,44.00,30.7,7.7,158.3,,0,0,,ArenJo00
27,Jack Kemp,22,PIT,QB,4,0,,8,18,44.4,88,0,0.0,2,11.1,21,4.9,-0.11,11.0,22.0,19.9,22,0,0,,KempJa00
28,George Blanda,30,CHI,QB,12,0,,8,19,42.1,65,0,0.0,3,15.8,13,3.4,-3.68,8.1,5.4,11.8,13,0,0,,BlanGe00
29,Paul Larson,25,CRD,QB,5,0,,6,14,42.9,61,0,0.0,1,7.1,21,4.4,1.14,10.2,12.2,26.2,22,0,0,,LarsPa00
30,Ollie Matson,27,CRD,LH,12,11,,2,5,40.0,59,0,0.0,0,0.0,32,11.8,11.80,29.5,4.9,84.6,5,0,0,PBAP-1,MatsOl00
31,George Shaw,24,BAL,QB,7,0,,5,9,55.6,58,1,11.1,1,11.1,17,6.4,3.67,11.6,8.3,72.7,8,0,0,,ShawGe00
32,Clarence Peaks,22,PHI,FB,12,12,,2,3,66.7,56,0,0.0,1,33.3,37,18.7,3.67,28.0,4.7,70.1,,0,0,,PeakCl00
33,Joe Childress,24,CRD,FB,12,1,,1,2,50.0,43,0,0.0,1,50.0,43,21.5,-1.00,43.0,3.6,56.2,,0,0,,ChilJo00
34,Don Chandler,23,NYG,P,12,0,,2,2,100.0,40,0,0.0,0,0.0,27,20.0,20.00,20.0,3.3,118.7,,0,0,,ChanDo20
35,Bob Clatterbuck,25,NYG,QB,1,0,,2,2,100.0,39,1,50.0,0,0.0,28,19.5,29.50,19.5,39.0,158.3,,0,0,,ClatBo00
36,Tommy Runnels,23,WAS,HB,10,3,,1,1,100.0,35,0,0.0,0,0.0,35,35.0,35.00,35.0,3.5,118.7,,0,0,,RunnTo20
37,Ron Waller,24,RAM,HB,11,3,,2,6,33.3,35,0,0.0,0,0.0,30,5.8,5.83,17.5,3.2,54.2,10,0,0,,WallRo00
38,Rick Casares,26,CHI,FB,12,12,,1,2,50.0,32,0,0.0,0,0.0,32,16.0,16.00,32.0,2.7,95.8,,0,0,PBAP-2,CasaRi00
39,Chet Hanulak,24,CLE,LH,12,8,,1,2,50.0,32,1,50.0,0,0.0,32,16.0,26.00,32.0,2.7,135.4,,0,0,,HanuCh20
40,Len Dawson,22,PIT,QB,3,1,0-1-0,2,4,50.0,25,0,0.0,0,0.0,15,6.3,6.25,12.5,8.3,69.8,1,0,0,,DawsLe00
41,John Borton,25,CLE,QB,5,0,,3,6,50.0,22,0,0.0,1,16.7,8,3.7,-3.83,7.3,4.4,19.4,20,0,0,,BortJo20
42,Tommy McDonald,23,PHI,WR,12,3,,1,1,100.0,11,0,0.0,0,0.0,11,11.0,11.00,11.0,0.9,112.5,,0,0,,McDoTo00
43,Billy Ray Barnes,22,PHI,LH,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,BarnBi00
44,Frank Bernardi,24,CRD,SS,12,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,6,0,0,,BernFr20
45,Milt Campbell,24,CLE,HB,9,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,CampMi20
46,Cotton Davidson,26,BAL,QB,12,0,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,,0,0,,DaviCo00
47,Bobby Epps,25,NYG,FB,12,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,EppsBo20
48,Howie Ferguson,27,GNB,FB,12,5,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,FergHo00
49,Gene Gedman,25,DET,LH,10,10,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,13,0,0,,GedmGe20
50,Jug Girard,30,PIT,LE,12,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,GiraJu20
51,Ron Kramer,22,GNB,FL,11,9,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,KramRo00
52,Yale Lary,27,DET,FS,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PBAP-2,LaryYa00
53,Dave Mann,25,CRD,RH,12,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,MannDa20
54,Lenny Moore,24,BAL,RH,12,12,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,MoorLe00
55,Jerry Norton,26,PHI,SS,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,PB,NortJe00
56,Joe Perry,30,SFO,FB,10,5,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,PerrJo00
57,Jerry Reichow,23,DET,FL,12,6,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,ReicJe00
58,Jimmy Sears,26,CRD,HB,12,3,,0,3,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,,0,0,,SearJi20
59,Tank Younger,29,RAM,FB,12,9,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,,0,0,,YounTa00
60,Paul Hornung,22,GNB,FB,12,7,,1,6,16.7,-1,0,0.0,0,0.0,-1,-0.2,-0.17,-1.0,-0.1,39.6,10,0,0,,HornPa00
61,Larry Barnes,26,SFO,FB,12,1,,1,1,100.0,-2,0,0.0,0,0.0,-2,-2.0,-2.00,-2.0,-0.2,79.2,,0,0,,BarnLa20
,League Average,,,,,,,,,50.5,,,5.1,,6.9,,7.4,5.32,14.7,39.3,63.2,,,,,-9999
