Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Roman Gabriel,33,PHI,QB,14,14,5-8-1,270,460,58.7,3219,23,5.0,12,2.6,80,7.0,6.82,11.9,229.9,86.0,31,219,6.31,6.11,5.95,3,2,PB,GabrRo00
2,Jim Plunkett,26,NWE,QB,14,14,5-9-0,193,376,51.3,2550,13,3.5,17,4.5,64,6.8,5.44,13.2,182.1,65.8,37,350,8.96,5.33,4.10,2,2,,PlunJi00
3,Charley Johnson,35,DEN,QB,14,14,7-5-2,184,346,53.2,2465,20,5.8,17,4.9,62,7.1,6.07,13.4,176.1,74.9,26,177,6.99,6.15,5.17,2,2,,JohnCh02
4,Ken Anderson,24,CIN,QB,14,14,10-4-0,179,329,54.4,2428,18,5.5,12,3.6,78,7.4,6.83,13.6,173.4,81.2,24,163,6.80,6.42,5.91,0,2,,AndeKe00
5,Roger Staubach,31,DAL,QB,14,14,10-4-0,179,286,62.6,2428,23,8.0,15,5.2,53,8.5,7.74,13.6,173.4,94.6,43,269,13.07,6.56,5.91,0,1,,StauRo00
6,Jim Hart,29,STL,QB,12,12,3-8-1,178,320,55.6,2223,15,4.7,10,3.1,69,6.9,6.48,12.5,185.3,80.0,22,168,6.43,6.01,5.57,1,0,,HartJi00
7,Fran Tarkenton,33,MIN,QB,14,14,12-2-0,169,274,61.7,2113,15,5.5,7,2.6,54,7.7,7.66,12.5,150.9,93.2,31,270,10.16,6.04,5.99,0,0,,TarkFr00
8,John Hadl,33,RAM,QB,14,14,12-2-0,135,258,52.3,2008,22,8.5,11,4.3,69,7.8,7.57,14.9,143.4,88.8,17,126,6.18,6.84,6.64,0,0,PBAP-1AP MVP-2,HadlJo00
9,Ken Stabler,28,OAK,QB,14,11,8-2-1,163,260,62.7,1997,14,5.4,10,3.8,80,7.7,7.03,12.3,142.6,88.3,34,261,11.56,5.90,5.33,1,3,PB,StabKe00
10,Bob Lee,27,ATL,QB,12,10,8-2-0,120,230,52.2,1786,10,4.3,8,3.5,57,7.8,7.07,14.9,148.8,77.9,28,256,10.85,5.93,5.31,1,2,,LeexBo00
11,Mike Phipps,26,CLE,QB,14,14,7-5-2,148,299,49.5,1719,9,3.0,20,6.7,51,5.7,3.34,11.6,122.8,49.4,44,362,12.83,3.96,1.86,4,2,,PhipMi00
12,Billy Kilmer,34,WAS,QB,10,10,7-3-0,122,227,53.7,1656,14,6.2,9,4.0,64,7.3,6.74,13.6,165.6,81.3,15,88,6.20,6.48,5.96,0,0,,KilmBi00
13,Archie Manning,24,NOR,QB,13,13,5-8-0,140,267,52.4,1642,10,3.7,12,4.5,65,6.1,4.88,11.7,126.3,65.2,28,177,9.49,4.97,3.81,1,1,,MannAr00
14,Norm Snead,34,NYG,QB,10,7,1-5-1,131,235,55.7,1483,7,3.0,22,9.4,46,6.3,2.69,11.3,148.3,45.8,9,67,3.69,5.80,2.32,1,1,,SneaNo00
15,Dan Pastorini,24,HOU,QB,14,10,0-10-0,154,290,53.1,1482,5,1.7,17,5.9,50,5.1,2.82,9.6,105.9,49.0,30,313,9.38,3.65,1.58,0,0,,PastDa00
16,Bob Griese,28,MIA,QB,13,13,12-1-0,116,218,53.2,1422,17,7.8,8,3.7,46,6.5,6.43,12.3,109.4,84.3,11,75,4.80,5.88,5.79,1,1,PB,GrieBo00
17,Randy Johnson,29,NYG,QB,9,7,1-6-0,99,177,55.9,1279,7,4.0,8,4.5,48,7.2,5.98,12.9,142.1,73.2,19,134,9.69,5.84,4.72,0,0,,JohnRa00
18,Al Woodall,28,NYJ,QB,9,6,1-5-0,101,201,50.2,1228,9,4.5,8,4.0,56,6.1,5.21,12.2,136.4,67.8,19,127,8.64,5.00,4.19,0,0,,WoodAl00
19,Terry Bradshaw,25,PIT,QB,10,9,8-1-0,89,180,49.4,1183,10,5.6,15,8.3,67,6.6,3.93,13.3,118.3,54.5,24,186,11.76,4.89,2.56,0,1,,BradTe00
20,Marty Domres,26,BAL,QB,11,9,3-6-0,93,191,48.7,1153,9,4.7,13,6.8,66,6.0,3.92,12.4,104.8,55.2,18,145,8.61,4.82,2.89,1,1,,DomrMa00
21,Bill Munson,32,DET,QB,10,7,4-3-0,95,187,50.8,1129,9,4.8,8,4.3,54,6.0,5.07,11.9,112.9,67.8,14,94,6.97,5.15,4.25,0,1,,MunsBi00
22,John Brodie,38,SFO,QB,14,6,2-4-0,98,194,50.5,1126,3,1.5,12,6.2,66,5.8,3.33,11.5,80.4,47.7,4,29,2.02,5.54,3.12,1,1,,BrodJo00
23,Dan Fouts,22,SDG,QB,10,6,0-5-1,87,194,44.8,1126,6,3.1,13,6.7,69,5.8,3.41,12.9,112.6,46.0,14,129,6.73,4.79,2.56,1,0,,FoutDa00
24,Bobby Douglass,26,CHI,QB,13,12,3-9-0,81,174,46.6,1057,5,2.9,7,4.0,63,6.1,4.84,13.0,81.3,59.0,27,215,13.43,4.19,3.12,0,0,,DougBo00
25,Joe Namath,30,NYJ,QB,6,5,2-3-0,68,133,51.1,966,5,3.8,6,4.5,63,7.3,5.98,14.2,161.0,68.7,10,97,6.99,6.08,4.89,0,0,,NamaJo00
26,Joe Ferguson,23,BUF,QB,14,14,9-5-0,73,164,44.5,939,4,2.4,10,6.1,42,5.7,3.47,12.9,67.1,45.8,20,164,10.87,4.21,2.20,2,1,,FergJo00
27,Mike Livingston,28,KAN,QB,8,8,4-3-1,75,145,51.7,916,6,4.1,7,4.8,48,6.3,4.97,12.2,114.5,65.2,16,124,9.94,4.92,3.71,0,0,,LiviMi00
28,Greg Landry,27,DET,QB,7,7,2-4-1,70,128,54.7,908,3,2.3,10,7.8,84,7.1,4.05,13.0,129.7,52.5,13,98,9.22,5.74,2.98,1,0,,LandGr00
29,Sonny Jurgensen,39,WAS,QB,14,4,3-1-0,87,145,60.0,904,6,4.1,5,3.4,36,6.2,5.51,10.4,64.6,77.5,16,114,9.94,4.91,4.25,2,1,,JurgSo00
30,Lynn Dickey,24,HOU,QB,12,4,1-3-0,71,120,59.2,888,6,5.0,10,8.3,66,7.4,4.65,12.5,74.0,64.2,13,138,9.77,5.64,3.16,1,1,,DickLy00
31,Steve Spurrier,28,SFO,QB,11,5,2-3-0,83,157,52.9,882,4,2.5,7,4.5,58,5.6,4.12,10.6,80.2,59.5,13,79,7.65,4.72,3.34,0,0,,SpurSt00
32,Len Dawson,38,KAN,QB,8,6,3-2-1,66,101,65.3,725,2,2.0,5,5.0,48,7.2,5.35,11.0,90.6,72.4,14,104,12.17,5.40,3.79,2,1,,DawsLe00
33,Jerry Tagge,23,GNB,QB,7,6,3-3-0,56,106,52.8,720,2,1.9,7,6.6,50,6.8,4.20,12.9,102.9,53.2,9,54,7.83,5.79,3.40,0,0,,TaggJe00
34,Terry Hanratty,25,PIT,QB,9,4,2-2-0,31,69,44.9,643,8,11.6,5,7.2,53,9.3,8.38,20.7,71.4,86.8,3,27,4.17,8.56,7.65,1,1,,HanrTe00
35,Daryle Lamonica,32,OAK,QB,8,3,1-2-0,42,93,45.2,614,2,2.2,8,8.6,48,6.6,3.16,14.6,76.8,38.6,11,87,10.58,5.07,1.99,0,0,,LamoDa00
36,Joe Reed,25,SFO,QB,6,3,1-2-0,51,114,44.7,589,2,1.8,6,5.3,38,5.2,3.15,11.5,98.2,44.8,10,56,8.06,4.30,2.44,0,0,,ReedJo00
37,Bert Jones,22,BAL,QB,8,5,1-4-0,43,108,39.8,539,4,3.7,12,11.1,51,5.0,0.73,12.5,67.4,28.8,14,126,11.48,3.39,-0.39,0,0,,JoneBe00
38,Wayne Clark,26,SDG,QB,11,4,1-3-0,40,90,44.4,532,0,0.0,9,10.0,54,5.9,1.41,13.3,48.4,24.2,9,96,9.09,4.40,0.31,0,0,,ClarWa00
39,Gary Huff,22,CHI,QB,8,2,0-2-0,54,126,42.9,525,3,2.4,8,6.3,29,4.2,1.79,9.7,65.6,36.6,22,180,14.86,2.33,0.30,0,0,,HuffGa00
40,Johnny Unitas,40,SDG,QB,5,4,1-3-0,34,76,44.7,471,3,3.9,7,9.2,51,6.2,2.84,13.9,94.2,40.0,14,96,15.56,4.17,1.33,0,0,,UnitJo00
41,Scott Hunter,26,GNB,QB,8,5,1-2-2,35,84,41.7,442,2,2.4,4,4.8,30,5.3,3.60,12.6,55.3,46.8,10,89,10.64,3.76,2.27,1,1,,HuntSc00
42,Dick Shiner,31,2TM,QB,7,4,1-3-0,36,68,52.9,432,3,4.4,4,5.9,34,6.4,4.59,12.0,61.7,62.9,11,86,13.92,4.38,2.86,0,0,,ShinDi00
42,Dick Shiner,31,ATL,QB,4,4,1-3-0,34,64,53.1,401,3,4.7,4,6.3,34,6.3,4.39,11.8,100.3,62.0,11,86,14.67,4.20,2.60,0,0,,ShinDi00
42,Dick Shiner,31,NWE,QB,3,0,,2,4,50.0,31,0,0.0,0,0.0,23,7.8,7.75,15.5,10.3,76.0,0,0,0.00,7.75,7.75,0,0,,ShinDi00
43,Pete Beathard,31,KAN,QB,9,0,,31,64,48.4,389,2,3.1,1,1.6,44,6.1,6.00,12.5,43.2,71.7,9,68,12.33,4.40,4.33,0,0,,BeatPe00
44,Gary Keithley,22,STL,QB,14,2,1-1-0,32,73,43.8,369,1,1.4,5,6.8,80,5.1,2.25,11.5,26.4,35.7,5,41,6.41,4.21,1.58,0,0,,KeitGa00
45,Joe Gilliam,23,PIT,QB,5,1,0-1-0,20,60,33.3,331,2,3.3,6,10.0,46,5.5,1.68,16.6,66.2,24.4,3,17,4.76,4.98,1.33,0,0,,GillJo00
46,Jim Del Gaizo,26,GNB,QB,8,3,1-2-0,27,62,43.5,318,2,3.2,6,9.7,28,5.1,1.42,11.8,39.8,30.9,8,77,11.43,3.44,0.16,1,0,,DelGJi00
47,Dennis Shaw,26,BUF,QB,4,0,,22,46,47.8,300,0,0.0,4,8.7,40,6.5,2.61,13.6,75.0,32.9,11,75,19.30,3.95,0.79,0,0,,ShawDe00
48,Earl Morrall,39,MIA,QB,14,1,0-1-0,17,38,44.7,253,0,0.0,4,10.5,53,6.7,1.92,14.9,18.1,27.5,2,18,5.00,5.88,1.38,0,0,,MorrEa00
49,Bobby Scott,24,NOR,QB,6,1,0-1-0,18,54,33.3,245,1,1.9,3,5.6,42,4.5,2.41,13.6,40.8,31.8,4,29,6.90,3.72,1.74,0,0,,ScotBo00
50,Steve Ramsey,25,DEN,QB,5,0,,10,27,37.0,194,2,7.4,2,7.4,76,7.2,5.33,19.4,38.8,56.7,0,0,0.00,7.19,5.33,0,0,,RamsSt00
51,Pat Sullivan,23,ATL,QB,4,0,,14,26,53.8,175,1,3.8,0,0.0,21,6.7,7.50,12.5,43.8,87.8,2,19,7.14,5.57,6.29,0,0,,SullPa00
52,Craig Morton,30,DAL,QB,14,0,,13,32,40.6,174,3,9.4,1,3.1,53,5.4,5.91,13.4,12.4,76.8,0,0,0.00,5.44,5.91,0,0,,MortCr00
53,Bill Demory,23,NYJ,QB,6,3,1-2-0,12,39,30.8,159,2,5.1,8,20.5,31,4.1,-4.13,13.3,26.5,22.2,8,73,17.02,1.83,-4.98,1,1,,DemoBi00
54,Bob Berry,31,MIN,QB,6,0,,10,24,41.7,121,1,4.2,2,8.3,30,5.0,2.13,12.1,20.2,37.0,1,8,4.00,4.52,1.72,0,0,,BerrBo00
55,James Harris,26,RAM,QB,8,0,,7,11,63.6,68,0,0.0,0,0.0,27,6.2,6.18,9.7,8.5,80.9,0,0,0.00,6.18,6.18,0,0,,HarrJa01
56,Cotton Speyrer,24,BAL,WR,14,10,,1,1,100.0,54,1,100.0,0,0.0,54,54.0,74.00,54.0,3.9,158.3,0,0,0.00,54.00,74.00,0,0,,SpeyCo00
57,John Isenbarger,26,SFO,WR,14,4,,1,1,100.0,48,0,0.0,0,0.0,48,48.0,48.00,48.0,3.4,118.7,0,0,0.00,48.00,48.00,0,0,,IsenJo00
58,Bobby Anderson,26,DEN,RB,12,0,,2,3,66.7,47,0,0.0,0,0.0,28,15.7,15.67,23.5,3.9,109.7,0,0,0.00,15.67,15.67,0,0,,AndeBo00
59,Ike Hill,26,CHI,WR,14,1,,1,1,100.0,35,0,0.0,0,0.0,35,35.0,35.00,35.0,2.5,118.7,0,0,0.00,35.00,35.00,0,0,,HillIk01
60,Mickey Zofko,24,DET,RB,8,0,,1,1,100.0,35,0,0.0,0,0.0,35,35.0,35.00,35.0,4.4,118.7,0,0,0.00,35.00,35.00,0,0,,ZofkMi00
61,Bill Cappleman,26,DET,QB,7,0,,5,11,45.5,33,0,0.0,1,9.1,8,3.0,-1.09,6.6,4.7,14.6,0,0,0.00,3.00,-1.09,0,0,,CappBi00
62,Larry Smith,26,RAM,RB,14,2,,2,2,100.0,31,0,0.0,0,0.0,21,15.5,15.50,15.5,2.2,118.7,0,0,0.00,15.50,15.50,0,0,,SmitLa02
63,MacArthur Lane,31,GNB,FB,13,13,,1,2,50.0,23,1,50.0,0,0.0,23,11.5,21.50,23.0,1.8,131.2,0,0,0.00,11.50,21.50,0,0,,LaneMa00
64,Don Horn,28,CLE,QB,14,0,,4,8,50.0,22,1,12.5,0,0.0,12,2.8,5.25,5.5,1.6,95.8,1,6,11.11,1.78,4.00,0,0,,HornDo00
65,John Reaves,23,PHI,QB,1,0,,5,19,26.3,17,0,0.0,1,5.3,6,0.9,-1.47,3.4,17.0,17.7,3,19,13.64,-0.09,-2.14,0,0,,ReavJo00
66,Bob Davis,28,NOR,QB,2,0,,5,17,29.4,14,0,0.0,2,11.8,14,0.8,-4.47,2.8,7.0,0.0,5,36,22.73,-1.00,-5.09,0,0,,DaviBo00
67,Greg Cook,27,CIN,QB,1,0,,1,3,33.3,11,0,0.0,0,0.0,11,3.7,3.67,11.0,11.0,45.1,0,0,0.00,3.67,3.67,0,0,,CookGr00
68,Jerrel Wilson,32,KAN,P,14,0,,1,1,100.0,9,0,0.0,0,0.0,9,9.0,9.00,9.0,0.6,104.2,0,0,0.00,9.00,9.00,0,0,,WilsJe20
69,John Brockington,25,GNB,RB,14,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,BrocJo00
70,Bob Chandler,24,BUF,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ChanBo00
71,Carl Garrett,26,CHI,RB,13,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GarrCa00
72,Mike Garrett,29,SDG,RB,10,9,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GarrMi00
73,Walt Garrison,29,DAL,FB,13,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GarrWa00
74,Gary Hammond,24,STL,WR,9,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,HammGa00
75,Calvin Hill,26,DAL,RB,14,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,HillCa00
76,Ron Holliday,25,SDG,WR,11,6,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,0,0,0.00,0.00,-22.50,0,0,,HollRo00
77,Leroy Keyes,26,KAN,RB,3,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,KeyeLe20
78,Mike Montgomery,24,DAL,WR,9,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,MontMi00
79,Ed Podolak,26,KAN,RB,14,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,PodoEd00
80,Greg Pruitt,22,CLE,RB,13,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,PruiGr00
81,Earl Thomas,25,CHI,WR,14,14,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,ThomEa00
82,Jim Turner,32,DEN,K,14,0,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,TurnJi22
