Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,John Brodie,35,SFO,QB,14,14,10-3-1,223,378,59.0,2941,24,6.3,10,2.6,79,7.8,7.86,13.2,210.1,93.8,8,67,2.07,7.45,7.52,2,2,PBAP-1AP MVP-1,BrodJo00
2,Fran Tarkenton,30,NYG,QB,14,14,9-5-0,219,389,56.3,2777,19,4.9,12,3.1,59,7.1,6.73,12.7,198.4,82.2,36,249,8.47,5.95,5.57,2,5,PBAP MVP-3,TarkFr00
3,Jim Hart,26,STL,QB,14,14,8-5-1,171,373,45.8,2575,14,3.8,18,4.8,79,6.9,5.48,15.1,183.9,61.5,26,216,6.52,5.91,4.58,1,1,,HartJi00
4,Roman Gabriel,30,RAM,QB,14,14,9-4-1,211,407,51.8,2552,16,3.9,12,2.9,71,6.3,5.73,12.1,182.3,72.2,20,134,4.68,5.66,5.15,1,1,,GabrRo00
5,Daryle Lamonica,29,OAK,QB,14,14,8-4-2,179,356,50.3,2516,22,6.2,15,4.2,60,7.1,6.41,14.1,179.7,76.5,15,127,4.04,6.44,5.81,3,3,PB,LamoDa00
6,Dennis Shaw,23,BUF,QB,14,12,3-8-1,178,321,55.5,2507,10,3.1,20,6.2,48,7.8,5.63,14.1,179.1,65.3,41,387,11.33,5.86,3.92,3,2,AP ORoY-1,ShawDe00
7,John Hadl,30,SDG,QB,14,12,4-5-3,162,327,49.5,2388,22,6.7,15,4.6,67,7.3,6.58,14.7,170.6,77.1,42,327,11.38,5.59,4.95,1,0,,HadlJo00
8,Sonny Jurgensen,36,WAS,QB,14,14,6-8-0,202,337,59.9,2354,23,6.8,10,3.0,66,7.0,7.01,11.7,168.1,91.5,25,214,6.91,5.91,5.94,0,0,,JurgSo00
9,Norm Snead,31,PHI,QB,14,13,3-9-1,181,335,54.0,2323,15,4.5,20,6.0,79,6.9,5.14,12.8,165.9,66.1,21,181,5.90,6.02,4.33,1,2,,SneaNo00
10,Johnny Unitas,37,BAL,QB,14,13,10-2-1,166,321,51.7,2213,14,4.4,18,5.6,55,6.9,5.24,13.3,158.1,65.1,19,158,5.59,6.04,4.49,3,3,,UnitJo00
11,Bill Nelsen,29,CLE,QB,12,12,6-6-0,159,313,50.8,2156,16,5.1,16,5.1,78,6.9,5.61,13.6,179.7,68.9,8,79,2.49,6.47,5.22,1,1,,NelsBi00
12,Jack Concannon,27,CHI,QB,14,13,5-8-0,194,385,50.4,2130,16,4.2,18,4.7,69,5.5,4.26,11.0,152.1,61.5,24,206,5.87,4.70,3.51,0,0,,ConcJa00
13,Bob Griese,25,MIA,QB,14,14,10-4-0,142,245,58.0,2019,12,4.9,17,6.9,54,8.2,6.10,14.2,144.2,72.1,31,282,11.23,6.29,4.39,0,1,PB,GrieBo00
14,Len Dawson,35,KAN,QB,14,12,5-5-2,141,262,53.8,1876,13,5.0,14,5.3,61,7.2,5.75,13.3,134.0,71.0,34,277,11.49,5.40,4.15,1,0,,DawsLe00
15,Craig Morton,27,DAL,QB,12,11,8-3-0,102,207,49.3,1819,15,7.2,7,3.4,89,8.8,8.71,17.8,151.6,89.8,20,166,8.81,7.28,7.22,0,1,,MortCr00
16,Bob Berry,28,ATL,QB,12,12,3-7-2,156,269,58.0,1806,16,5.9,13,4.8,51,6.7,5.73,11.6,150.5,78.1,36,274,11.80,5.02,4.15,2,2,,BerrBo00
17,Gary Cuozzo,29,MIN,QB,12,12,10-2-0,128,257,49.8,1720,7,2.7,10,3.9,72,6.7,5.49,13.4,143.3,64.3,23,161,8.21,5.57,4.46,1,1,,CuozGa00
18,Charley Johnson,32,HOU,QB,10,10,3-7-0,144,281,51.2,1652,7,2.5,12,4.3,63,5.9,4.46,11.5,165.2,59.8,15,124,5.07,5.16,3.81,1,1,,JohnCh02
19,Virgil Carter,25,CIN,QB,13,11,7-4-0,143,278,51.4,1647,9,3.2,9,3.2,56,5.9,5.12,11.5,126.7,66.9,21,154,7.02,4.99,4.24,0,0,,CartVi00
20,Bart Starr,36,GNB,QB,14,13,6-7-0,140,255,54.9,1645,8,3.1,13,5.1,65,6.5,4.78,11.8,117.5,63.9,29,252,10.21,4.90,3.41,2,2,,StarBa00
21,Billy Kilmer,31,NOR,QB,13,10,2-8-0,135,237,57.0,1557,6,2.5,17,7.2,46,6.6,3.85,11.5,119.8,55.5,19,155,7.42,5.48,2.96,2,1,,KilmBi00
22,Terry Bradshaw,22,PIT,QB,13,8,3-5-0,83,218,38.1,1410,6,2.8,24,11.0,87,6.5,2.06,17.0,108.5,30.4,25,242,10.29,4.81,0.86,0,0,,BradTe00
23,Pete Liske,28,DEN,QB,11,9,5-4-0,112,238,47.1,1340,7,2.9,11,4.6,74,5.6,4.14,12.0,121.8,55.3,28,228,10.53,4.18,2.85,0,0,,LiskPe00
24,Al Woodall,25,NYJ,QB,10,9,3-6-0,96,188,51.1,1265,9,4.8,9,4.8,67,6.7,5.53,13.2,126.5,68.7,29,222,13.36,4.81,3.77,0,0,,WoodAl00
