Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Jeff George,30,OAK,QB,16,16,4-12-0,290,521,55.7,3917,29,5.6,9,1.7,167,39.6,76,7.5,7.85,13.5,244.8,91.2,58,430,10.02,6.02,6.32,0,1,,GeorJe00
2,Brett Favre,28,GNB,QB,16,16,13-3-0,304,513,59.3,3867,35,6.8,16,3.1,190,47.8,74,7.5,7.50,12.7,241.7,92.6,25,176,4.65,6.86,6.82,0,0,PBAP-1AP MVP-1AP OPoY-3,FavrBr00
3,Dan Marino,36,MIA,QB,16,16,9-7-0,319,548,58.2,3780,16,2.9,11,2.0,190,46.8,55,6.9,6.58,11.8,236.3,80.7,20,132,3.52,6.42,6.11,1,3,,MariDa00
4,Drew Bledsoe,25,NWE,QB,16,16,10-6-0,314,522,60.2,3706,28,5.4,15,2.9,168,44.2,76,7.1,6.88,11.8,231.6,87.7,30,258,5.43,6.25,6.04,0,1,PB,BledDr00
5,Warren Moon,41,SEA,QB,15,14,7-7-0,313,528,59.3,3678,25,4.7,16,3.0,179,44.8,60,7.0,6.55,11.8,245.2,83.7,30,192,5.38,6.25,5.85,3,4,PB,MoonWa00
6,John Elway,37,DEN,QB,16,16,12-4-0,280,502,55.8,3635,27,5.4,11,2.2,169,42.2,78,7.2,7.33,13.0,227.2,87.5,34,203,6.34,6.40,6.49,0,2,PB,ElwaJo00
7,Scott Mitchell,29,DET,QB,16,16,9-7-0,293,509,57.6,3484,19,3.7,14,2.8,160,41.8,79,6.8,6.35,11.9,217.8,79.6,41,271,7.45,5.84,5.39,3,3,,MitcSc00
8,Troy Aikman,31,DAL,QB,16,16,6-10-0,292,518,56.4,3283,19,3.7,12,2.3,163,42.1,64,6.3,6.03,11.2,205.2,78.0,33,269,5.99,5.47,5.18,3,3,,AikmTr00
9,Mark Brunell,27,JAX,QB,14,14,9-5-0,264,435,60.7,3281,18,4.1,7,1.6,160,46.4,75,7.5,7.65,12.4,234.4,91.2,33,189,7.05,6.61,6.70,1,1,PB,BrunMa00
10,Tony Banks,24,STL,QB,16,16,5-11-0,252,487,51.7,3254,14,2.9,13,2.7,153,38.1,76,6.7,6.06,12.9,203.4,71.5,43,317,8.11,5.54,4.97,1,2,,BankTo00
11,Brad Johnson,29,MIN,QB,13,13,8-5-0,275,452,60.8,3036,20,4.4,12,2.7,150,44.6,56,6.7,6.41,11.0,233.5,84.5,26,164,5.44,6.01,5.72,3,4,,JohnBr00
12,Steve Young,36,SFO,QB,15,15,12-3-0,241,356,67.7,3029,19,5.3,6,1.7,147,48.6,82,8.5,8.82,12.6,201.9,104.7,35,220,8.95,7.18,7.47,1,1,PBAP-2AP MVP-4,YounSt00
13,Kordell Stewart,25,PIT,QB,16,16,11-5-0,236,440,53.6,3020,21,4.8,17,3.9,143,41.1,69,6.9,6.08,12.8,188.8,75.2,20,152,4.35,6.23,5.48,4,5,,StewKo00
14,Erik Kramer,33,CHI,QB,15,13,4-9-0,275,477,57.7,3011,14,2.9,14,2.9,158,42.8,78,6.3,5.58,10.9,200.7,74.0,25,149,4.98,5.70,5.00,1,1,,KramEr00
15,Vinny Testaverde,34,BAL,QB,13,13,4-8-1,271,470,57.7,2971,18,3.8,15,3.2,139,43.5,54,6.3,5.65,11.0,228.5,75.9,20,129,4.08,5.80,5.16,1,1,,TestVi00
16,Neil O'Donnell,31,NYJ,QB,15,14,8-6-0,259,460,56.3,2796,17,3.7,7,1.5,133,38.2,70,6.1,6.13,10.8,186.4,80.3,45,289,8.91,4.96,5.01,0,0,,ODonNe00
17,Chris Chandler,32,ATL,QB,14,14,7-7-0,202,342,59.1,2692,20,5.8,7,2.0,128,45.7,56,7.9,8.12,13.3,192.3,95.1,39,261,10.24,6.38,6.60,1,3,PB,ChanCh00
18,Gus Frerotte,26,WAS,QB,13,13,6-6-1,204,402,50.7,2682,17,4.2,12,3.0,142,40.2,52,6.7,6.17,13.1,206.3,73.8,23,146,5.41,5.97,5.50,0,2,,FrerGu00
19,Steve McNair,24,TEN,QB,16,16,8-8-0,216,415,52.0,2665,14,3.4,13,3.1,134,39.9,55,6.4,5.69,12.3,166.6,70.4,31,190,6.95,5.55,4.87,1,1,,McNaSt00
20,Trent Dilfer,25,TAM,QB,16,16,10-6-0,217,386,56.2,2555,21,5.4,11,2.8,132,41.6,59,6.6,6.42,11.8,159.7,82.8,32,196,7.66,5.64,5.46,3,3,PB,DilfTr00
21,Todd Collins,26,BUF,QB,14,13,5-8-0,215,391,55.0,2367,12,3.1,13,3.3,107,38.1,77,6.1,5.17,11.0,169.1,69.5,39,278,9.07,4.86,4.06,2,4,,CollTo00
22,Jake Plummer,23,ARI,QB,10,9,3-6-0,157,296,53.0,2203,15,5.1,15,5.1,101,38.2,70,7.4,6.18,14.0,220.3,73.1,52,291,14.94,5.49,4.42,2,2,AP ORoY-3,PlumJa00
23,Jeff Blake,27,CIN,QB,11,11,3-8-0,184,317,58.0,2125,8,2.5,7,2.2,96,41.0,50,6.7,6.21,11.5,193.2,77.6,39,244,10.96,5.28,4.85,1,1,,BlakJe00
24,Kerry Collins,25,CAR,QB,13,13,6-7-0,200,381,52.5,2124,11,2.9,21,5.5,118,40.7,59,5.6,3.67,10.6,163.4,55.7,27,200,6.62,4.72,2.94,0,0,,CollKe00
25,Jim Harbaugh,34,IND,QB,12,11,2-9-0,189,309,61.2,2060,10,3.2,4,1.3,100,41.7,58,6.7,6.73,10.9,171.7,86.2,41,256,11.71,5.15,5.21,0,0,,HarbJi00
26,Elvis Grbac,27,KAN,QB,10,10,8-2-0,179,314,57.0,1943,11,3.5,6,1.9,102,39.6,55,6.2,6.03,10.9,194.3,79.1,19,150,5.71,5.38,5.23,2,3,,GrbaEl00
27,Danny Kanell,24,NYG,QB,16,10,7-2-1,156,294,53.1,1740,11,3.7,9,3.1,77,35.1,68,5.9,5.29,11.2,108.8,70.7,19,171,6.07,5.01,4.42,1,3,,KaneDa00
28,Bobby Hoying,25,PHI,QB,7,6,2-3-1,128,225,56.9,1573,11,4.9,6,2.7,79,40.3,72,7.0,6.77,12.3,224.7,83.8,28,183,11.07,5.49,5.30,2,1,,HoyiBo00
29,Ty Detmer,30,PHI,QB,8,7,2-5-0,134,244,54.9,1567,7,2.9,6,2.5,80,39.9,57,6.4,5.89,11.7,195.9,73.9,19,94,7.22,5.60,5.11,1,1,,DetmTy00
30,Stan Humphries,32,SDG,QB,8,8,3-5-0,121,225,53.8,1488,5,2.2,6,2.7,71,39.1,72,6.6,5.86,12.3,186.0,70.7,18,144,7.41,5.53,4.83,0,0,,HumpSt00
31,Boomer Esiason,36,CIN,QB,7,5,4-1-0,118,186,63.4,1478,13,7.0,2,1.1,75,52.8,77,7.9,8.86,12.5,211.1,106.9,7,43,3.63,7.44,8.32,0,0,,EsiaBo00
32,Kent Graham,29,ARI,QB,8,6,1-5-0,130,250,52.0,1408,4,1.6,5,2.0,68,38.3,47,5.6,5.05,10.8,176.0,65.9,16,115,6.02,4.86,4.32,2,2,,GrahKe00
33,Craig Whelihan,26,SDG,QB,9,7,0-7-0,118,237,49.8,1357,6,2.5,10,4.2,63,33.7,61,5.7,4.33,11.5,150.8,58.3,21,168,8.14,4.61,3.33,0,0,,WhelCr00
34,Heath Shuler,26,NOR,QB,10,9,4-5-0,106,203,52.2,1288,2,1.0,14,6.9,56,35.3,89,6.3,3.44,12.2,128.8,46.6,21,132,9.38,5.16,2.53,3,2,,ShulHe00
35,Rich Gannon,32,KAN,QB,9,6,5-1-0,98,175,56.0,1144,7,4.0,4,2.3,58,40.4,47,6.5,6.31,11.7,127.1,79.8,13,86,6.91,5.63,5.41,1,1,,GannRi00
36,Paul Justin,29,IND,QB,8,4,1-3-0,83,140,59.3,1046,5,3.6,5,3.6,51,46.7,44,7.5,6.58,12.6,130.8,79.6,10,86,6.67,6.40,5.57,1,1,,JustPa00
37,Steve Beuerlein,32,CAR,QB,7,3,1-2-0,89,153,58.2,1032,6,3.9,3,2.0,52,41.8,52,6.7,6.65,11.6,147.4,83.6,17,111,10.00,5.42,5.33,1,1,,BeueSt00
38,Billy Joe Hobert,26,2TM,QB,7,4,2-2-0,78,161,48.4,1024,6,3.7,10,6.2,45,39.5,49,6.4,4.31,13.1,146.3,55.5,6,36,3.59,5.92,3.94,0,2,,HobeBi00
