Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Dan Fouts,28,SDG,QB,16,16,12-4-0,332,530,62.6,4082,24,4.5,24,4.5,190,50.2,65,7.7,6.57,12.3,255.1,82.6,28,195,5.02,6.97,5.89,1,1,PBAP-1AP MVP-2AP OPoY-2,FoutDa00
2,Brian Sipe,30,CLE,QB,16,16,9-7-0,286,535,53.5,3793,28,5.2,26,4.9,187,42.0,74,7.1,5.95,13.3,237.1,73.4,43,347,7.44,5.96,4.91,5,7,AP-2AP MVP-3AP OPoY-3,SipeBr00
3,Terry Bradshaw,31,PIT,QB,16,16,12-4-0,259,472,54.9,3724,26,5.5,25,5.3,174,45.4,65,7.9,6.61,14.4,232.8,77.0,24,196,4.84,7.11,5.89,4,4,PBAP MVP-4,BradTe00
4,Jim Zorn,26,SEA,QB,16,16,9-7-0,285,505,56.4,3661,20,4.0,18,3.6,170,44.7,65,7.2,6.44,12.8,228.8,77.7,23,201,4.36,6.55,5.78,2,3,AP OPoY-4,ZornJi00
5,Steve DeBerg,25,SFO,QB,16,15,2-13-0,347,578,60.0,3652,17,2.9,21,3.6,194,46.4,50,6.3,5.27,10.5,228.3,73.1,17,119,2.86,5.94,4.92,1,1,,DebeSt00
6,Ken Stabler,34,OAK,QB,16,16,9-7-0,304,498,61.0,3615,26,5.2,22,4.4,185,49.6,66,7.3,6.32,11.9,225.9,82.2,34,284,6.39,6.26,5.38,1,1,AP MVP-8,StabKe00
7,Roger Staubach,37,DAL,QB,16,16,11-5-0,267,461,57.9,3586,27,5.9,11,2.4,180,46.1,75,7.8,7.88,13.4,224.1,92.3,36,240,7.24,6.73,6.82,4,4,PBAP MVP-4AP OPoY-4,StauRo00
8,Joe Ferguson,29,BUF,QB,16,16,7-9-0,238,458,52.0,3572,14,3.1,15,3.3,146,39.5,84,7.8,6.94,15.0,223.3,74.4,43,387,8.58,6.36,5.57,2,3,,FergJo00
9,Tommy Kramer,24,MIN,QB,16,16,7-9-0,315,566,55.7,3397,23,4.1,24,4.2,171,41.2,55,6.0,4.91,10.8,212.3,69.3,36,249,5.98,5.23,4.20,3,3,,KramTo00
10,Steve Grogan,26,NWE,QB,16,16,9-7-0,206,423,48.7,3286,28,6.6,20,4.7,141,38.2,63,7.8,6.96,16.0,205.4,77.4,45,341,9.62,6.29,5.57,1,1,,GrogSt00
11,Archie Manning,30,NOR,QB,16,16,8-8-0,252,420,60.0,3169,15,3.6,20,4.8,132,43.9,85,7.5,6.12,12.6,198.1,75.6,17,140,3.89,6.93,5.56,0,0,PB,MannAr00
12,Greg Landry,33,BAL,QB,16,12,2-10-0,270,457,59.1,2932,15,3.3,15,3.3,131,42.1,67,6.4,5.60,10.9,183.3,75.3,42,326,8.42,5.22,4.47,0,0,,LandGr00
13,Joe Theismann,30,WAS,QB,16,16,10-6-0,233,395,59.0,2797,20,5.1,13,3.3,143,42.2,62,7.1,6.61,12.0,174.8,83.9,34,263,7.93,5.91,5.48,3,4,,TheiJo00
14,Ron Jaworski,28,PHI,QB,16,16,11-5-0,190,374,50.8,2669,18,4.8,12,3.2,139,38.2,53,7.1,6.66,14.0,166.8,76.8,34,272,8.33,5.88,5.43,2,2,,JawoRo00
15,Richard Todd,26,NYJ,QB,15,15,8-7-0,171,334,51.2,2660,16,4.8,22,6.6,114,40.4,72,8.0,5.96,15.6,177.3,66.5,25,222,6.96,6.79,4.92,0,0,,ToddRi00
16,Craig Morton,36,DEN,QB,14,10,6-4-0,204,370,55.1,2626,16,4.3,19,5.1,117,43.0,64,7.1,5.65,12.9,187.6,70.6,30,241,7.50,5.96,4.63,1,3,,MortCr00
17,Steve Bartkowski,27,ATL,QB,14,14,6-8-0,204,380,53.7,2505,17,4.5,20,5.3,123,40.8,57,6.6,5.12,12.3,178.9,67.3,39,286,9.31,5.30,3.96,5,4,,BartSt00
18,Doug Williams,24,TAM,QB,16,16,10-6-0,166,397,41.8,2448,18,4.5,24,6.0,125,35.9,66,6.2,4.35,14.7,153.0,52.5,7,57,1.73,5.92,4.14,3,4,,WillDo01
19,Ken Anderson,30,CIN,QB,15,15,4-11-0,189,339,55.8,2340,16,4.7,10,2.9,111,39.7,73,6.9,6.52,12.4,156.0,80.7,46,324,11.95,5.24,4.90,0,0,,AndeKe00
20,David Whitehurst,24,GNB,QB,13,13,4-9-0,179,322,55.6,2247,10,3.1,18,5.6,95,37.9,78,7.0,5.08,12.6,172.8,64.5,32,256,9.04,5.62,3.90,0,0,,WhitDa02
21,Jeff Komlo,23,DET,QB,16,14,2-12-0,183,368,49.7,2238,11,3.0,23,6.3,115,38.2,40,6.1,3.87,12.2,139.9,52.8,40,361,9.80,4.60,2.60,1,1,,KomlJe00
22,Jim Hart,35,STL,QB,14,13,3-10-0,194,378,51.3,2218,9,2.4,20,5.3,105,37.0,51,5.9,3.96,11.4,158.4,55.2,25,183,6.20,5.05,3.26,1,1,,HartJi00
23,Bob Griese,34,MIA,QB,14,12,7-5-0,176,310,56.8,2160,14,4.5,16,5.2,102,42.3,51,7.0,5.55,12.3,154.3,72.0,26,223,7.74,5.76,4.46,1,1,,GrieBo00
24,Dan Pastorini,30,HOU,QB,15,15,10-5-0,163,324,50.3,2090,14,4.3,18,5.6,84,33.1,55,6.5,4.81,12.8,139.3,62.1,29,212,8.22,5.32,3.82,2,4,,PastDa00
25,Pat Haden,26,RAM,QB,10,10,5-5-0,163,290,56.2,1854,11,3.8,14,4.8,91,41.2,50,6.4,4.98,11.4,185.4,68.1,21,178,6.75,5.39,4.07,0,0,,HadePa00
