Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Mark Brunell,26,JAX,QB,16,16,9-7-0,353,557,63.4,4367,19,3.4,20,3.6,208,48.6,62,7.8,6.91,12.4,272.9,84.0,50,257,8.24,6.77,5.91,3,3,PB,BrunMa00
2,Vinny Testaverde,33,BAL,QB,16,16,4-12-0,325,549,59.2,4177,33,6.0,19,3.5,200,47.7,86,7.6,7.25,12.9,261.1,88.7,34,270,5.83,6.70,6.37,2,3,PB,TestVi00
3,Drew Bledsoe,24,NWE,QB,16,16,11-5-0,373,623,59.9,4086,27,4.3,15,2.4,206,45.6,84,6.6,6.34,11.0,255.4,83.7,30,190,4.59,5.97,5.76,3,4,PB,BledDr00
4,Brett Favre,27,GNB,QB,16,16,13-3-0,325,543,59.9,3899,39,7.2,13,2.4,194,45.6,80,7.2,7.54,12.0,243.7,95.8,40,241,6.86,6.27,6.61,1,1,PBAP-1AP MVP-1AP OPoY-2,FavrBr00
5,Jeff Blake,26,CIN,QB,16,16,8-8-0,308,549,56.1,3624,24,4.4,14,2.6,184,43.8,61,6.6,6.33,11.8,226.5,80.3,44,278,7.42,5.64,5.39,3,5,,BlakJe00
6,Gus Frerotte,25,WAS,QB,16,16,9-7-0,270,470,57.4,3453,12,2.6,11,2.3,174,42.9,52,7.3,6.80,12.8,215.8,79.3,22,134,4.47,6.75,6.23,0,0,PB,FrerGu00
7,John Elway,36,DEN,QB,15,15,13-2-0,287,466,61.6,3328,26,5.6,14,3.0,165,48.2,51,7.1,6.91,11.6,221.9,89.2,26,194,5.28,6.37,6.15,4,4,PBAP-2AP MVP-2AP OPoY-3,ElwaJo00
8,Bobby Hebert,36,ATL,QB,14,13,3-10-0,294,488,60.2,3152,22,4.5,25,5.1,168,45.6,57,6.5,5.06,10.7,225.1,72.9,27,150,5.24,5.83,4.50,0,0,,HebeBo00
9,Troy Aikman,30,DAL,QB,15,15,10-5-0,296,465,63.7,3126,12,2.6,13,2.8,158,47.4,61,6.7,5.98,10.6,208.4,80.1,18,120,3.73,6.22,5.51,2,2,PB,AikmTr00
10,Scott Mitchell,28,DET,QB,14,14,4-10-0,253,437,57.9,2917,17,3.9,17,3.9,151,43.8,62,6.7,5.70,11.5,208.4,74.9,36,199,7.61,5.75,4.85,0,0,,MitcSc00
11,Ty Detmer,29,PHI,QB,13,11,7-4-0,238,401,59.4,2911,15,3.7,13,3.2,144,47.7,42,7.3,6.55,12.2,223.9,80.8,27,171,6.31,6.40,5.74,2,3,,DetmTy00
12,Trent Dilfer,24,TAM,QB,16,16,6-10-0,267,482,55.4,2859,12,2.5,19,3.9,150,43.1,45,5.9,4.66,10.7,178.7,64.8,28,207,5.49,5.20,3.99,3,3,,DilfTr00
13,Jim Kelly,36,BUF,QB,13,13,8-5-0,222,379,58.6,2810,14,3.7,19,5.0,122,42.5,67,7.4,5.90,12.7,216.2,73.2,37,287,8.89,6.06,4.68,3,4,,KellJi00
14,Jim Everett,33,NOR,QB,15,15,3-12-0,267,464,57.5,2797,12,2.6,16,3.4,124,40.0,51,6.0,4.99,10.5,186.5,69.4,19,154,3.93,5.47,4.48,2,2,,EverJi00
